Semana (Semana),DDT (DDT),FECHA,FECHA (Cambios),Nitrato de Amonio (Lbs),Nitrato de Amonio (Cambios),DAP 18-46-0 (Lbs),DAP 18-46-0 (Cambios),Kcl Soluble (Lbs),Kcl Soluble (Cambios),Sulfato de Magnesio (Lbs),Sulfato de Magnesio (Cambios),Nitrato de Calcio (Lbs),Nitrato de Calcio (Cambios),Solubor (Gramos),Solubor (Cambios),Melaza (Lts),Melaza (Cambios),Admin_Costo / Aplicación (Costo / Aplicación)
1,3,39399,,8.145893765199352,,16.834317499999997,,10.656479166666665,,4.274685853344436,,7.048988636504628,,87.03377609756097,,20.019999999999996,,217.58026022860685
2,10,39406,,8.145893765199352,,16.834317499999997,,10.656479166666665,,4.274685853344436,,7.048988636504628,,126.82084048780487,,20.019999999999996,,218.83753146333854
3,17,39413,,25.250275870656942,,16.834317499999997,,24.5245,,9.837633196737881,,16.22233001277778,,186.50070463414633,,20.019999999999996,,383.67920619552825
4,24,39420,,25.250275870656942,,16.834317499999997,,24.5245,,9.837633196737881,,16.22233001277778,,208.88037902439024,,20.019999999999996,,384.38640390625994
5,31,39427,,30.728717117693773,,11.577544239130432,,26.422287558333327,,10.59890204561211,,17.47766798359989,,246.18130121951222,,20.019999999999996,,400.55852355566793
6,38,39434,,36.446069741963456,,11.577544239130432,,30.487223433333323,,12.229489747971416,,20.16651918321781,,295.9158641463415,,20.019999999999996,,452.1471731917064
7,45,39441,,25.849808378397213,,11.577544239130432,,30.483331412539613,,12.227928522545302,,20.16394471092552,,325.75591829268296,,20.019999999999996,,419.15171040636847
8,52,39448,,23.75538041572974,,11.577544239130432,,28.48903953320262,,11.427948421171148,,18.844771597981012,,400.35605365853655,,20.019999999999996,,399.2440648920428
9,59,39455,,23.75538041572974,,11.577544239130432,,28.48903953320262,,11.427948421171148,,18.844771597981012,,415.27632487804874,,20.019999999999996,,399.71554546257937
10,66,39462,,23.75538041572974,,11.577544239130432,,28.48903953320262,,11.427948421171148,,18.844771597981012,,504.797952195122,,20.019999999999996,,402.5444288857989
11,73,39469,,23.75538041572974,,11.577544239130432,,28.48903953320262,,11.427948421171148,,18.844771597981012,,504.797952195122,,20.019999999999996,,402.5444288857989
12,80,39476,,23.75538041572974,,11.577544239130432,,28.48903953320262,,11.427948421171148,,18.844771597981012,,564.4780604878048,,20.019999999999996,,404.43032030784764
13,87,39483,,23.75538041572974,,11.577544239130432,,28.48903953320262,,11.427948421171148,,18.844771597981012,,609.2381417073171,,20.019999999999996,,405.84473887438423
