Semana,N,Nitrato de Amonio,P2O5,DAP 18-46-0,K2O,Kcl Soluble,MgO,Sulfato de Magnesio,Ca,Nitrato de Calcio,B,Solubor
1,1.955657142857143,2.3250731454829037,2.2103,4.805,1.825,3.0416666666666665,0.19521899144715565,1.2201186965447228,0.5432358875000001,2.0119847685185186,5.0926,24.841951219512197
2,1.955657142857143,2.3250731454829037,2.2103,4.805,1.825,3.0416666666666665,0.19521899144715565,1.2201186965447228,0.5432358875000001,2.0119847685185186,5.0926,24.841951219512197
3,3.9969974935494883,7.207157377096316,2.2103,4.805,4.2,7.000000000000001,0.449271103604413,2.8079443975275815,1.2501867000000002,4.630321111111112,9.1667,44.715609756097564
4,3.9969974935494883,7.207157377096316,2.2103,4.805,4.2,7.000000000000001,0.449271103604413,2.8079443975275815,1.2501867000000002,4.630321111111112,12.2222,59.62048780487805
5,4.3062984829253255,8.770862599598624,1.5201,3.3045652173913043,4.525009999999999,7.541683333333332,0.4840371991716677,3.025232494822923,1.3469303141349998,4.988630793092591,12.2222,59.62048780487805
6,4.9719428571428566,10.402760023394736,1.5201,3.3045652173913043,5.221159999999999,8.701933333333333,0.5585038845940992,3.4906492787131196,1.5541487596599999,5.7561065172592585,17.3149,84.46292682926831
7,3.9586285714285716,7.3779412600685115,1.5201,3.3045652173913043,5.221159999999999,8.701933333333333,0.5585038845940992,3.4906492787131196,1.5541487596599999,5.7561065172592585,17.3149,84.46292682926831
8,3.7,6.780471076275081,1.5201,3.3045652173913043,4.878956392156863,8.131593986928106,0.5218986006528854,3.261866254080534,1.4522872360367844,5.378841614951053,23.426,114.27317073170731
9,3.7,6.780471076275081,1.5201,3.3045652173913043,4.878956392156863,8.131593986928106,0.5218986006528854,3.261866254080534,1.4522872360367844,5.378841614951053,23.426,114.27317073170731
10,3.7,6.780471076275081,1.5201,3.3045652173913043,4.878956392156863,8.131593986928106,0.5218986006528854,3.261866254080534,1.4522872360367844,5.378841614951053,29.5372,144.0839024390244
11,3.7,6.780471076275081,1.5201,3.3045652173913043,4.878956392156863,8.131593986928106,0.5218986006528854,3.261866254080534,1.4522872360367844,5.378841614951053,29.5372,144.0839024390244
12,3.7,6.780471076275081,1.5201,3.3045652173913043,4.878956392156863,8.131593986928106,0.5218986006528854,3.261866254080534,1.4522872360367844,5.378841614951053,29.5372,144.0839024390244
13,3.7,6.780471076275081,1.5201,3.3045652173913043,4.878956392156863,8.131593986928106,0.5218986006528854,3.261866254080534,1.4522872360367844,5.378841614951053,35.6483,173.89414634146343
