Semana,DDT,FECHA,Admin_col_3_Cambios,Nitrato de Amonio (Lbs),Admin_Nitrato de Amonio_Cambios,MAP 12-61-0 (Lbs),Admin_MAP 12-61-0_Cambios,Kcl Soluble (Lbs),Admin_Kcl Soluble_Cambios,Sulfato de Magnesio (Lbs),Admin_Sulfato de Magnesio_Cambios,Nitrato de Calcio (Lbs),Admin_Nitrato de Calcio_Cambios,Solubor (Gramos),Admin_Solubor_Cambios,Melaza (Lts),Admin_Melaza_Cambios,Admin_Costo / Aplicación
1,1,39815,,16.00036400838589,,5.874608446856159,,32.346173498263624,,20.760287235635303,,42.79233428933508,,174.06755219512195,,20.019999999999996,,1253.03076597866
2,8,39822,,22.857662869122706,,8.392297781223082,,46.20881928323374,,29.657553193764723,,61.131906127621534,,253.64168097560975,,20.019999999999996,,1766.218901368817
3,15,39829,,34.85793587541212,,12.798254116365198,,70.46844940693146,,45.2277686204912,,93.22615684462285,,373.00140926829266,,20.019999999999996,,2663.5023384186657
4,22,39836,,36.20102814149355,,14.686521117140394,,87.07326838086418,,55.8850048284487,,115.19348365638828,,417.7607580487805,,20.019999999999996,,3200.888126705842
5,29,39843,,45.50986394930619,,18.463055118690782,,109.4635373930864,,70.25543464147837,,144.814665168031,,492.36260243902444,,20.019999999999996,,4008.2463509801664
6,36,39850,,57.92164502638969,,23.498433787424634,,139.31722940938272,,89.41600772551793,,184.30957385022126,,591.831728292683,,20.019999999999996,,5084.7239833459325
7,43,39857,,45.24464638901856,,26.01612312179156,,185.092890501037,,118.79555312104527,,244.86843382957974,,651.5118365853659,,20.019999999999996,,6384.12387982189
8,50,39864,,56.190931805716566,,32.310346457708874,,229.87342852548144,,147.53641274710463,,304.1107968528652,,800.7121073170731,,20.019999999999996,,7914.771101866921
9,57,39871,,56.190931805716566,,32.310346457708874,,229.87342852548144,,147.53641274710463,,304.1107968528652,,830.5526497560975,,20.019999999999996,,7915.964723564482
10,64,39878,,56.190931805716566,,32.310346457708874,,229.87342852548144,,147.53641274710463,,304.1107968528652,,1009.595904390244,,20.019999999999996,,7923.126453749847
