Semana,DDT,FECHA,Seleccioné su opción (Preventivos),Nitrato de Amonio (Lbs),Admin_Nitrato de Amonio_Cambios,MAP 12-61-0 (Lbs),Admin_MAP 12-61-0_Cambios,Kcl Soluble (Lbs),Admin_Kcl Soluble_Cambios,Sulfato de Magnesio (Lbs),Admin_Sulfato de Magnesio_Cambios,Nitrato de Calcio (Lbs),Admin_Nitrato de Calcio_Cambios,Solubor (Gramos),Admin_Solubor_Cambios,Melaza (Lts),Preventivos (Dosis),Unidades,Admin_Costo / Aplicación
1,3,39817,,8.000182004192945,,2.9373042234280793,,16.173086749131812,,10.380143617817652,,21.39616714466754,,87.03377609756097,,20.019999999999996,0.0,0.0,654.54338298933
2,10,39824,,11.428831434561353,,4.196148890611541,,23.10440964161687,,14.828776596882362,,30.565953063810767,,126.82084048780487,,20.019999999999996,0.0,0.0,911.1374506844083
3,17,39831,,17.42896793770606,,6.399127058182599,,35.23422470346573,,22.6138843102456,,46.613078422311425,,186.50070463414633,,20.019999999999996,0.0,0.0,1359.7791692093328
4,24,39838,,18.100514070746776,,7.343260558570197,,43.53663419043209,,27.94250241422435,,57.59674182819414,,208.88037902439024,,20.019999999999996,0.0,0.0,1628.472063352921
5,31,39845,,22.754931974653093,,9.231527559345391,,54.7317686965432,,35.12771732073919,,72.4073325840155,,246.18130121951222,,20.019999999999996,0.0,0.0,2032.1511754900832
6,38,39852,,28.960822513194845,,11.749216893712317,,69.65861470469136,,44.708003862758964,,92.15478692511063,,295.9158641463415,,20.019999999999996,0.0,0.0,2570.3899916729665
7,45,39859,,22.62232319450928,,13.00806156089578,,92.5464452505185,,59.39777656052264,,122.43421691478987,,325.75591829268296,,20.019999999999996,0.0,0.0,3220.0899399109453
8,52,39866,,28.095465902858283,,16.155173228854437,,114.93671426274072,,73.76820637355232,,152.0553984264326,,400.35605365853655,,20.019999999999996,0.0,0.0,3985.4135509334606
9,59,39873,,28.095465902858283,,16.155173228854437,,114.93671426274072,,73.76820637355232,,152.0553984264326,,415.27632487804874,,20.019999999999996,0.0,0.0,3986.010361782241
10,66,39880,,28.095465902858283,,16.155173228854437,,114.93671426274072,,73.76820637355232,,152.0553984264326,,504.797952195122,,20.019999999999996,0.0,0.0,3989.591226874924
