Semana (Semana),DDT (DDT),FECHA,FECHA (Cambios),Nitrato de Amonio (Lbs),Nitrato de Amonio (Cambios),MAP 12-61-0 (Lbs),MAP 12-61-0 (Cambios),Kcl Soluble (Lbs),Kcl Soluble (Cambios),Sulfato de Magnesio (Lbs),Sulfato de Magnesio (Cambios),Nitrato de Calcio (Lbs),Nitrato de Calcio (Cambios),Solubor (Gramos),Solubor (Cambios),Melaza (Lts),Melaza (Cambios),Admin_Costo / Aplicación (Costo / Aplicación)
1,1,39815,,4.57153257382454,,1.6784595562446165,,9.241763856646749,,5.931510638752943,,12.226381225524309,,49.733586341463415,,20.019999999999996,,398.0487902796171
2,8,39822,,4.57153257382454,,1.6784595562446165,,9.241763856646749,,5.931510638752943,,12.226381225524309,,49.733586341463415,,20.019999999999996,,398.0487902796171
3,15,39829,,8.000182004192945,,2.9373042234280784,,16.17308674913181,,10.380143617817653,,21.39616714466754,,89.5206507317073,,20.019999999999996,,654.6428579746957
4,22,39836,,10.343150897569586,,4.196148890611541,,24.87807668024691,,15.967144236699628,,32.91242390182523,,119.36021658536585,,20.019999999999996,,954.5794647730977
5,29,39843,,10.343150897569586,,4.196148890611541,,24.87807668024691,,15.967144236699628,,32.91242390182523,,119.36021658536585,,20.019999999999996,,954.5794647730977
6,36,39850,,16.54904143611134,,6.713838224978466,,39.80492268839506,,25.547430778719406,,52.65987824292036,,169.09477951219515,,20.019999999999996,,1492.8182809559805
7,43,39857,,11.676037777811246,,6.713838224978466,,47.76590722607407,,30.656916934463293,,63.19185389150444,,169.09477951219515,,20.019999999999996,,1689.1442831439654
8,50,39864,,16.05455194449045,,9.231527559345391,,65.67812243585185,,42.15326078488703,,86.88879910081862,,228.774887804878,,20.019999999999996,,2301.403171961977
9,57,39871,,16.05455194449045,,9.231527559345391,,65.67812243585185,,42.15326078488703,,86.88879910081862,,228.774887804878,,20.019999999999996,,2301.403171961977
10,64,39878,,16.05455194449045,,9.231527559345391,,65.67812243585185,,42.15326078488703,,86.88879910081862,,288.4559726829268,,20.019999999999996,,2303.790415357099
