Semana (Semana),DDT (DDT),FECHA,Seleccioné su opción (Preventivos),Nitrato de Amonio (Lbs),Nitrato de Amonio (Cambios),MAP 12-61-0 (Lbs),MAP 12-61-0 (Cambios),Kcl Soluble (Lbs),Kcl Soluble (Cambios),Sulfato de Magnesio (Lbs),Sulfato de Magnesio (Cambios),Nitrato de Calcio (Lbs),Nitrato de Calcio (Cambios),Solubor (Gramos),Solubor (Cambios),Melaza (Lts),Preventivos (Dosis),Preventivos (Unidades),Admin_Costo / Aplicación (Costo / Aplicación)
1,1,39815,,2.28576628691227,,0.8392297781223083,,4.620881928323374,,2.9657553193764716,,6.113190612762154,,24.866793170731707,,20.019999999999996,0.0,0.0,227.05239513980854
2,8,39822,,2.28576628691227,,0.8392297781223083,,4.620881928323374,,2.9657553193764716,,6.113190612762154,,24.866793170731707,,20.019999999999996,0.0,0.0,227.05239513980854
3,15,39829,,4.000091002096473,,1.4686521117140392,,8.086543374565904,,5.190071808908827,,10.69808357233377,,44.76032536585365,,20.019999999999996,0.0,0.0,355.3494289873479
4,22,39836,,5.171575448784793,,2.0980744453057705,,12.439038340123455,,7.983572118349814,,16.456211950912614,,59.680108292682924,,20.019999999999996,0.0,0.0,505.31773238654887
5,29,39843,0,5.171575448784793,,2.0980744453057705,,12.439038340123455,,7.983572118349814,,16.456211950912614,,59.680108292682924,,20.019999999999996,0.0,0.0,505.31773238654887
6,36,39850,,8.27452071805567,,3.356919112489233,,19.90246134419753,,12.773715389359703,,26.32993912146018,,84.54738975609757,,20.019999999999996,0.0,0.0,774.4371404779902
7,43,39857,,5.838018888905623,,3.356919112489233,,23.882953613037035,,15.328458467231647,,31.59592694575222,,84.54738975609757,,20.019999999999996,0.0,0.0,872.6001415719827
8,50,39864,,8.027275972245224,,4.615763779672696,,32.839061217925924,,21.076630392443516,,43.44439955040931,,114.387443902439,,20.019999999999996,0.0,0.0,1178.7295859809885
9,57,39871,0,8.027275972245224,,4.615763779672696,,32.839061217925924,,21.076630392443516,,43.44439955040931,,114.387443902439,,20.019999999999996,0.0,0.0,1178.7295859809885
10,64,39878,,8.027275972245224,,4.615763779672696,,32.839061217925924,,21.076630392443516,,43.44439955040931,,144.2279863414634,,20.019999999999996,0.0,0.0,1179.9232076785495
