Semana (Semana),DDT (DDT),FECHA,FECHA (Cambios),Nitrato de Amonio (Lbs),Nitrato de Amonio (Cambios),DAP 18-46-0 (Lbs),DAP 18-46-0 (Cambios),Nitrato de Potasio (Lbs),Nitrato de Potasio (Cambios),Sulfato de Magnesio (Lbs),Sulfato de Magnesio (Cambios),Nitrato de Calcio (Lbs),Nitrato de Calcio (Cambios),Solubor (Gramos),Solubor (Cambios),Melaza (Lts),Melaza (Cambios),Admin_Costo / Aplicación (Costo / Aplicación)
1,1,40112,,0.6531056955975569,,1.138199269565217,,4.2401883724762435,,1.8777799080273876,,3.4405255309088467,,30.605283902439023,,14.0,,86.04996168515976
2,8,40119,,0.6531056955975569,,1.138199269565217,,4.2401883724762435,,1.8777799080273876,,3.4405255309088467,,30.605283902439023,,14.0,,86.04996168515976
3,15,40126,,0.6531056955975569,,1.138199269565217,,4.2401883724762435,,1.8777799080273876,,3.4405255309088467,,55.0896312195122,,14.0,,86.82366706037928
4,22,40133,,0.6531056955975569,,1.138199269565217,,4.2401883724762435,,1.8777799080273876,,3.4405255309088467,,73.45244097560976,,14.0,,87.40393184867196
5,29,40140,,0.9273205704028001,,1.6160869565217393,,6.0204863113043485,,2.666190093181895,,4.88507468134799,,73.45244097560976,,14.0,,108.43185786971628
6,36,40147,,0.9273205704028001,,1.6160869565217393,,6.0204863113043485,,2.666190093181895,,4.88507468134799,,104.05832585365854,,14.0,,109.39900383186261
7,43,40154,,0.9273205704028001,,1.6160869565217393,,6.0204863113043485,,2.666190093181895,,4.88507468134799,,104.05832585365854,,14.0,,109.39900383186261
8,50,40161,,0.7362846197214244,,1.9716260869565214,,6.0204863113043485,,2.666190093181895,,4.88507468134799,,140.78454634146343,,14.0,,111.12151648753162
9,57,40168,,0.6801263600193252,,1.9716260869565214,,6.7573938358079975,,2.9925317605873585,,5.483007822344982,,140.78454634146343,,14.0,,118.62978440594142
10,64,40175,,0.6801263600193252,,1.9716260869565214,,6.7573938358079975,,2.9925317605873585,,5.483007822344982,,177.51136780487803,,14.0,,119.79035196418532
11,71,40182,,0.5114221045832985,,2.1677113043478253,,7.739000681719998,,3.4272392431134824,,6.279492109834988,,177.51136780487803,,14.0,,130.13844154710847
12,78,40189,,0.5114221045832985,,2.1677113043478253,,7.739000681719998,,3.4272392431134824,,6.279492109834988,,177.51136780487803,,14.0,,130.13844154710847
13,85,40196,,0.0694035189082525,,2.1677113043478253,,7.022155628025707,,3.109782299989549,,5.697837831230234,,214.23758829268294,,14.0,,122.40586309785344
14,92,40203,,0.0694035189082525,,2.1677113043478253,,7.022155628025707,,3.109782299989549,,5.697837831230234,,214.23758829268294,,14.0,,122.40586309785344
15,99,40210,,0.0,,2.1677113043478253,,8.008739476591302,,3.5466938627979974,,6.4983605017336545,,214.23758829268294,,14.0,,132.47655766073677
16,106,40217,,0.0,,2.68593652173913,,8.008739476591302,,3.5466938627979974,,6.4983605017336545,,214.23758829268294,,14.0,,134.18670087812808
17,113,40224,,0.0,,2.68593652173913,,8.008739476591302,,3.5466938627979974,,6.4983605017336545,,214.23758829268294,,14.0,,134.18670087812808
18,120,40231,,0.0,,2.68593652173913,,8.008739476591302,,3.5466938627979974,,6.4983605017336545,,214.23758829268294,,14.0,,134.18670087812808
19,127,40238,,0.0,,2.68593652173913,,8.008739476591302,,3.5466938627979974,,6.4983605017336545,,214.23758829268294,,14.0,,134.18670087812808
20,134,40245,,0.0,,2.68593652173913,,9.92335363575652,,4.394586381687579,,8.05189499543837,,214.23758829268294,,14.0,,154.16139791312293
21,141,40252,,0.0,,2.68593652173913,,9.92335363575652,,4.394586381687579,,8.05189499543837,,214.23758829268294,,14.0,,154.16139791312293
22,148,40259,,0.0,,2.68593652173913,,9.427185953968692,,4.1748570626032,,7.649300245666452,,214.23758829268294,,14.0,,148.98500293305614
23,155,40266,,0.0,,2.68593652173913,,9.427185953968692,,4.1748570626032,,7.649300245666452,,214.23758829268294,,14.0,,148.98500293305614
24,162,40273,,0.0,,2.68593652173913,,9.427185953968692,,4.1748570626032,,7.649300245666452,,214.23758829268294,,14.0,,148.98500293305614
25,169,40280,,0.0,,2.68593652173913,,9.427185953968692,,4.1748570626032,,7.649300245666452,,214.23758829268294,,14.0,,148.98500293305614
26,176,40287,,0.0,,2.68593652173913,,9.427185953968692,,4.1748570626032,,7.649300245666452,,214.23758829268294,,14.0,,148.98500293305614
