Semana,DDT,FECHA,Admin_col_3_Cambios,Nitrato de Amonio (Lbs),Admin_Nitrato de Amonio_Cambios,DAP 18-46-0 (Lbs),Admin_DAP 18-46-0_Cambios,Nitrato de Potasio (Lbs),Admin_Nitrato de Potasio_Cambios,Sulfato de Magnesio (Lbs),Admin_Sulfato de Magnesio_Cambios,Nitrato de Calcio (Lbs),Admin_Nitrato de Calcio_Cambios,Solubor (Gramos),Admin_Solubor_Cambios,Melaza (Lts),Admin_Melaza_Cambios,Admin_Costo / Aplicación
1,1,40112,,0.32655284779877847,,0.5690996347826085,,2.1200941862381217,,0.9388899540136938,,1.7202627654544234,,15.302641951219512,,14.0,,60.52498084257988
2,8,40119,,0.32655284779877847,,0.5690996347826085,,2.1200941862381217,,0.9388899540136938,,1.7202627654544234,,15.302641951219512,,14.0,,60.52498084257988
3,15,40126,,0.32655284779877847,,0.5690996347826085,,2.1200941862381217,,0.9388899540136938,,1.7202627654544234,,27.5448156097561,,14.0,,60.91183353018964
4,22,40133,,0.32655284779877847,,0.5690996347826085,,2.1200941862381217,,0.9388899540136938,,1.7202627654544234,,36.72622048780488,,14.0,,61.20196592433598
5,29,40140,,0.46366028520140007,,0.8080434782608696,,3.0102431556521743,,1.3330950465909475,,2.442537340673995,,36.72622048780488,,14.0,,71.71592893485814
6,36,40147,,0.46366028520140007,,0.8080434782608696,,3.0102431556521743,,1.3330950465909475,,2.442537340673995,,52.02916292682927,,14.0,,72.19950191593131
7,43,40154,,0.46366028520140007,,0.8080434782608696,,3.0102431556521743,,1.3330950465909475,,2.442537340673995,,52.02916292682927,,14.0,,72.19950191593131
8,50,40161,,0.3681423098607122,,0.9858130434782607,,3.0102431556521743,,1.3330950465909475,,2.442537340673995,,70.39227317073171,,14.0,,73.0607582437658
9,57,40168,,0.3400631800096626,,0.9858130434782607,,3.3786969179039987,,1.4962658802936792,,2.741503911172491,,70.39227317073171,,14.0,,76.81489220297071
10,64,40175,,0.3400631800096626,,0.9858130434782607,,3.3786969179039987,,1.4962658802936792,,2.741503911172491,,88.75568390243902,,14.0,,77.39517598209267
11,71,40182,,0.25571105229164925,,1.0838556521739127,,3.869500340859999,,1.7136196215567412,,3.139746054917494,,88.75568390243902,,14.0,,82.56922077355424
12,78,40189,,0.25571105229164925,,1.0838556521739127,,3.869500340859999,,1.7136196215567412,,3.139746054917494,,88.75568390243902,,14.0,,82.56922077355424
13,85,40196,,0.03470175945412625,,1.0838556521739127,,3.5110778140128533,,1.5548911499947744,,2.848918915615117,,107.11879414634147,,14.0,,78.70293154892673
14,92,40203,,0.03470175945412625,,1.0838556521739127,,3.5110778140128533,,1.5548911499947744,,2.848918915615117,,107.11879414634147,,14.0,,78.70293154892673
15,99,40210,,0.0,,1.0838556521739127,,4.004369738295651,,1.7733469313989987,,3.2491802508668273,,107.11879414634147,,14.0,,83.73827883036839
16,106,40217,,0.0,,1.342968260869565,,4.004369738295651,,1.7733469313989987,,3.2491802508668273,,107.11879414634147,,14.0,,84.59335043906404
17,113,40224,,0.0,,1.342968260869565,,4.004369738295651,,1.7733469313989987,,3.2491802508668273,,107.11879414634147,,14.0,,84.59335043906404
18,120,40231,,0.0,,1.342968260869565,,4.004369738295651,,1.7733469313989987,,3.2491802508668273,,107.11879414634147,,14.0,,84.59335043906404
19,127,40238,,0.0,,1.342968260869565,,4.004369738295651,,1.7733469313989987,,3.2491802508668273,,107.11879414634147,,14.0,,84.59335043906404
20,134,40245,,0.0,,1.342968260869565,,4.96167681787826,,2.1972931908437894,,4.025947497719185,,107.11879414634147,,14.0,,94.58069895656146
21,141,40252,,0.0,,1.342968260869565,,4.96167681787826,,2.1972931908437894,,4.025947497719185,,107.11879414634147,,14.0,,94.58069895656146
22,148,40259,,0.0,,1.342968260869565,,4.713592976984346,,2.0874285313016,,3.824650122833226,,107.11879414634147,,14.0,,91.99250146652807
23,155,40266,,0.0,,1.342968260869565,,4.713592976984346,,2.0874285313016,,3.824650122833226,,107.11879414634147,,14.0,,91.99250146652807
24,162,40273,,0.0,,1.342968260869565,,4.713592976984346,,2.0874285313016,,3.824650122833226,,107.11879414634147,,14.0,,91.99250146652807
25,169,40280,,0.0,,1.342968260869565,,4.713592976984346,,2.0874285313016,,3.824650122833226,,107.11879414634147,,14.0,,91.99250146652807
26,176,40287,,0.0,,1.342968260869565,,4.713592976984346,,2.0874285313016,,3.824650122833226,,107.11879414634147,,14.0,,91.99250146652807
27,183,40294,,0.0,,1.342968260869565,,4.713592976984346,,2.0874285313016,,3.824650122833226,,107.11879414634147,,14.0,,91.99250146652807
28,190,40301,,0.0,,1.342968260869565,,4.713592976984346,,2.0874285313016,,3.824650122833226,,107.11879414634147,,14.0,,91.99250146652807
29,197,40308,,0.0,,1.342968260869565,,4.713592976984346,,2.0874285313016,,3.824650122833226,,107.11879414634147,,14.0,,91.99250146652807
30,204,40315,,0.0,,1.342968260869565,,4.713592976984346,,2.0874285313016,,3.824650122833226,,107.11879414634147,,14.0,,91.99250146652807
31,211,40322,,0.0,,1.342968260869565,,4.713592976984346,,2.0874285313016,,3.824650122833226,,107.11879414634147,,14.0,,91.99250146652807
32,218,40329,,0.0,,1.342968260869565,,4.713592976984346,,2.0874285313016,,3.824650122833226,,107.11879414634147,,14.0,,91.99250146652807
