Fase,Día después Siembra,Semana,N,P2O5,K20,MgO,Ca,B Gramos/Ha,Relación N:K N/(K2O/3.36),Relación Ca:Mg (1:0.5) (CaO/1.39)/MgO,Relación K:Ca (1:1)     (CaO/1.19)/K2O
,1.0,1,1.0772658730426454,0.37397975999999994,1.39320475095648,0.21460341806027286,0.6635299238181348,4.481488,2.6,0.45,0.4
,2.0,1,1.0772658730426454,0.37397975999999994,1.39320475095648,0.21460341806027286,0.6635299238181348,4.481488,2.6,0.45,0.4
,3.0,1,1.0772658730426454,0.37397975999999994,1.39320475095648,0.21460341806027286,0.6635299238181348,4.481488,2.6,0.45,0.4
,4.0,1,1.0772658730426454,0.37397975999999994,1.39320475095648,0.21460341806027286,0.6635299238181348,4.481488,2.6,0.45,0.4
,5.0,1,1.0772658730426454,0.37397975999999994,1.39320475095648,0.21460341806027286,0.6635299238181348,4.481488,2.6,0.45,0.4
,6.0,1,1.0772658730426454,0.37397975999999994,1.39320475095648,0.21460341806027286,0.6635299238181348,4.481488,2.6,0.45,0.4
,7.0,1,1.0772658730426454,0.37397975999999994,1.39320475095648,0.21460341806027286,0.6635299238181348,4.481488,2.6,0.45,0.4
,8.0,2,1.0772658730426454,0.37397975999999994,1.39320475095648,0.21460341806027286,0.6635299238181348,4.481488,2.6,0.45,0.4
,9.0,2,1.0772658730426454,0.37397975999999994,1.39320475095648,0.21460341806027286,0.6635299238181348,4.481488,2.6,0.45,0.4
,10.0,2,1.0772658730426454,0.37397975999999994,1.39320475095648,0.21460341806027286,0.6635299238181348,4.481488,2.6,0.45,0.4
,11.0,2,1.0772658730426454,0.37397975999999994,1.39320475095648,0.21460341806027286,0.6635299238181348,8.066696,2.6,0.45,0.4
,12.0,2,1.0772658730426454,0.37397975999999994,1.39320475095648,0.21460341806027286,0.6635299238181348,8.066696,2.6,0.45,0.4
,13.0,2,1.0772658730426454,0.37397975999999994,1.39320475095648,0.21460341806027286,0.6635299238181348,8.066696,2.6,0.45,0.4
,14.0,2,1.0772658730426454,0.37397975999999994,1.39320475095648,0.21460341806027286,0.6635299238181348,8.066696,2.6,0.45,0.4
,15.0,3,1.0772658730426454,0.37397975999999994,1.39320475095648,0.21460341806027286,0.6635299238181348,8.066696,2.6,0.45,0.4
,16.0,3,1.0772658730426454,0.37397975999999994,1.39320475095648,0.21460341806027286,0.6635299238181348,8.066696,2.6,0.45,0.4
,17.0,3,1.0772658730426454,0.37397975999999994,1.39320475095648,0.21460341806027286,0.6635299238181348,8.066696,2.6,0.45,0.4
