Semana (Semana),DDT (DDT),FECHA,FECHA (Cambios),Urea (Lbs),Urea (Cambios),DAP 18-46-0 (Lbs),DAP 18-46-0 (Cambios),Kcl Soluble (Lbs),Kcl Soluble (Cambios),Sulfato de Magnesio (Lbs),Sulfato de Magnesio (Cambios),Nitrato de Calcio (Lbs),Nitrato de Calcio (Cambios),Sin Boro,Sin Boro (Cambios),Melaza (Lts),Melaza (Cambios),Admin_Costo / Aplicación (Costo / Aplicación)
1,1,39960,,51.16818155645332,,24.117741012521737,,61.249845841100004,,39.3111226237588,,81.03041550009895,,0.0529019288,,29.68,,2448.042216480822
2,8,39967,,89.09870814764543,,29.018244106173913,,101.5215791184,,65.15815984312329,,134.3078602929327,,0.0770857864,,29.68,,3899.3734126876643
3,15,39974,,90.34983017206235,,56.399731898086976,,113.61440080409999,,72.91952462087444,,150.30604530556096,,0.11336112760000001,,29.68,,4580.198182673115
4,22,39981,,90.34983017206235,,56.399731898086976,,113.61440080409999,,72.91952462087444,,150.30604530556096,,0.12696421360000001,,29.68,,4580.198182673115
5,29,39988,,129.17230020111126,,68.36094391304349,,157.5798174890333,,101.13722644154284,,208.47004445843055,,0.14963691399999998,,29.68,,6227.163367180014
6,36,39995,,103.90829175724338,,68.36094391304349,,133.94284486567835,,85.9666424753114,,177.19953778966595,,0.17986718119999998,,29.68,,5390.331098957432
7,43,40002,,90.02869812917348,,68.36094391304349,,120.46179738833331,,77.31429236403957,,159.364801008454,,0.198004926,,29.68,,4916.49561590016
8,50,40009,,76.0330427752278,,68.36094391304349,,120.46179738833331,,77.31429236403957,,159.364801008454,,0.24334928799999997,,29.68,,4825.523856099512
9,57,40016,,41.04390439036356,,68.36094391304349,,120.46179738833331,,77.31429236403957,,159.364801008454,,0.2524183088,,29.68,,4598.094456597895
10,64,40023,,17.679895159500102,,68.36094391304349,,120.46179738833331,,77.31429236403957,,159.364801008454,,0.30683243359999995,,29.68,,4446.228396597283
11,71,40030,,17.679895159500102,,68.36094391304349,,120.46179738833331,,77.31429236403957,,159.364801008454,,0.30683243359999995,,29.68,,4446.228396597283
