Semana (Semana),DDT (DDT),FECHA,Seleccioné su opción (Preventivos),Urea (Lbs),Urea (Cambios),DAP 18-46-0 (Lbs),DAP 18-46-0 (Cambios),Kcl Soluble (Lbs),Kcl Soluble (Cambios),Sulfato de Magnesio (Lbs),Sulfato de Magnesio (Cambios),Nitrato de Calcio (Lbs),Nitrato de Calcio (Cambios),Sin Boro,Sin Boro (Cambios),Melaza (Lts),Preventivos (Dosis),Preventivos (Unidades),Admin_Costo / Aplicación (Costo / Aplicación)
1,3,39962,,25.58409077822666,,12.058870506260869,,30.624922920550002,,19.6555613118794,,40.51520775004948,,0.0264509644,,29.68,0.0,0.0,1265.573108240411
2,10,39969,,44.54935407382271,,14.509122053086957,,50.7607895592,,32.57907992156164,,67.15393014646635,,0.0385428932,,29.68,0.0,0.0,1991.2387063438323
3,17,39976,,45.17491508603118,,28.199865949043488,,56.80720040204999,,36.45976231043722,,75.15302265278048,,0.05668056380000001,,29.68,0.0,0.0,2331.6510913365573
4,24,39983,,45.17491508603118,,28.199865949043488,,56.80720040204999,,36.45976231043722,,75.15302265278048,,0.06348210680000001,,29.68,0.0,0.0,2331.6510913365573
5,31,39990,,64.58615010055563,,34.18047195652174,,78.78990874451665,,50.56861322077142,,104.23502222921528,,0.07481845699999999,,29.68,0.0,0.0,3155.1336835900065
6,38,39997,,51.95414587862169,,34.18047195652174,,66.97142243283918,,42.9833212376557,,88.59976889483298,,0.08993359059999999,,29.68,0.0,0.0,2736.7175494787157
7,45,40004,,45.01434906458674,,34.18047195652174,,60.230898694166655,,38.65714618201979,,79.682400504227,,0.099002463,,29.68,0.0,0.0,2499.79980795008
8,52,40011,,38.0165213876139,,34.18047195652174,,60.230898694166655,,38.65714618201979,,79.682400504227,,0.12167464399999998,,29.68,0.0,0.0,2454.3139280497558
9,59,40018,,20.52195219518178,,34.18047195652174,,60.230898694166655,,38.65714618201979,,79.682400504227,,0.1262091544,,29.68,0.0,0.0,2340.5992282989473
10,66,40025,,8.839947579750051,,34.18047195652174,,60.230898694166655,,38.65714618201979,,79.682400504227,,0.15341621679999998,,29.68,0.0,0.0,2264.666198298641
11,73,40032,,8.839947579750051,,34.18047195652174,,60.230898694166655,,38.65714618201979,,79.682400504227,,0.15341621679999998,,29.68,0.0,0.0,2264.666198298641
