Semana,DDT,FECHA,Admin_col_3_Cambios,Urea (Lbs),Admin_Urea_Cambios,DAP 18-46-0 (Lbs),Admin_DAP 18-46-0_Cambios,Kcl Soluble (Lbs),Admin_Kcl Soluble_Cambios,Sulfato de Magnesio (Lbs),Admin_Sulfato de Magnesio_Cambios,Nitrato de Calcio (Lbs),Admin_Nitrato de Calcio_Cambios,Sin Boro,Admin_Nitrato de Calcio_Cambios_1,Melaza (Lts),Admin_Melaza_Cambios,Admin_Costo / Aplicación
1,1,39960,,14.619480444700947,,6.890783146434782,,17.499955954599997,,11.231749321073943,,23.15154728574256,,0.0151148368,,29.68,,758.8006332802349
2,8,39967,,25.456773756470124,,8.29092688747826,,29.006165462400002,,18.616617098035224,,38.37367436940934,,0.0151148368,,29.68,,1173.4666893393328
3,15,39974,,25.81423719201781,,16.114209113739133,,32.461257372599995,,20.83414989167841,,42.94458437301742,,0.0272067656,,29.68,,1367.9880521923187
4,22,39981,,25.81423719201781,,16.114209113739133,,32.461257372599995,,20.83414989167841,,42.94458437301742,,0.0362754896,,29.68,,1367.9880521923187
5,29,39988,,36.90637148603179,,19.531698260869565,,45.02280499686666,,28.896350411869385,,59.56286984526587,,0.0362754896,,29.68,,1838.5495334800037
6,36,39995,,29.688083359212392,,19.531698260869565,,38.26938424733667,,24.56189785008897,,50.62843936847599,,0.051390623200000006,,29.68,,1599.4545997021235
7,43,40002,,25.722485179763854,,19.531698260869565,,34.417656396666665,,22.089797818297022,,45.532800288129714,,0.051390623200000006,,29.68,,1464.0730331143313
8,50,40009,,25.722485179763854,,19.531698260869565,,34.417656396666665,,22.089797818297022,,45.532800288129714,,0.069528368,,29.68,,1464.0730331143313
9,57,40016,,11.726829825818161,,19.531698260869565,,34.417656396666665,,22.089797818297022,,45.532800288129714,,0.069528368,,29.68,,1373.1012733136843
10,64,40023,,5.051398617000029,,19.531698260869565,,34.417656396666665,,22.089797818297022,,45.532800288129714,,0.0876664096,,29.68,,1329.7109704563666
11,71,40030,,5.051398617000029,,19.531698260869565,,34.417656396666665,,22.089797818297022,,45.532800288129714,,0.0876664096,,29.68,,1329.7109704563666
