Semana (Semana),DDT (DDT),FECHA,Seleccioné su opción (Preventivos),Preventivos (Dosis),Preventivos (Unidades),Urea (Lbs),Urea (Cambios),DAP 18-46-0 (Lbs),DAP 18-46-0 (Cambios),Kcl Soluble (Lbs),Kcl Soluble (Cambios),Sulfato de Magnesio (Lbs),Sulfato de Magnesio (Cambios),Nitrato de Calcio (Lbs),Nitrato de Calcio (Cambios),Sin Boro,Sin Boro (Cambios),Melaza (Lts),Admin_Costo / Aplicación (Costo / Aplicación)
1,1,39960,,0.0,0,7.309740222350474,,3.445391573217391,,8.749977977299999,,5.615874660536972,,11.57577364287128,,0.0075574184,,29.68,420.95231664011743
2,8,39967,TricoZam,356.15999999999997,g,12.728386878235062,,4.14546344373913,,14.503082731200001,,9.308308549017612,,19.18683718470467,,0.0075574184,,29.68,1192.2041574696664
3,15,39974,,0.0,0,12.907118596008905,,8.057104556869566,,16.230628686299998,,10.417074945839206,,21.47229218650871,,0.0136033828,,29.68,725.5460260961594
4,22,39981,BaZam,356.15999999999997,g,12.907118596008905,,8.057104556869566,,16.230628686299998,,10.417074945839206,,21.47229218650871,,0.0181377448,,29.68,1289.4659073761595
5,29,39988,0,0.0,0,18.453185743015894,,9.765849130434782,,22.51140249843333,,14.448175205934692,,29.781434922632936,,0.0181377448,,29.68,960.8267667400019
6,36,39995,,0.0,0,14.844041679606196,,9.765849130434782,,19.134692123668334,,12.280948925044486,,25.314219684237994,,0.025695311600000003,,29.68,841.2792998510618
7,43,40002,,0.0,0,12.861242589881927,,9.765849130434782,,17.208828198333332,,11.044898909148511,,22.766400144064857,,0.025695311600000003,,29.68,773.5885165571657
8,50,40009,TricoZam,356.15999999999997,g,12.861242589881927,,9.765849130434782,,17.208828198333332,,11.044898909148511,,22.766400144064857,,0.034764184,,29.68,1337.5073293571656
9,57,40016,0,0.0,0,5.8634149129090805,,9.765849130434782,,17.208828198333332,,11.044898909148511,,22.766400144064857,,0.034764184,,29.68,728.1026366568422
10,64,40023,,0.0,0,2.5256993085000143,,9.765849130434782,,17.208828198333332,,11.044898909148511,,22.766400144064857,,0.0438332048,,29.68,706.4074852281833
11,71,40030,,0.0,0,2.5256993085000143,,9.765849130434782,,17.208828198333332,,11.044898909148511,,22.766400144064857,,0.0438332048,,29.68,706.4074852281833
