Semana,DDT,FECHA,Admin_col_3_Cambios,Nitrato de Amonio (Lbs),Admin_Nitrato de Amonio_Cambios,DAP 18-46-0 (Lbs),Admin_DAP 18-46-0_Cambios,Kcl Soluble (Lbs),Admin_Kcl Soluble_Cambios,Sulfato de Magnesio (Lbs),Admin_Sulfato de Magnesio_Cambios,Sin Calcio,Admin_Sulfato de Magnesio_Cambios_1,Solubor (Gramos),Admin_Solubor_Cambios,Melaza (Lts),Admin_Melaza_Cambios,Admin_Costo / Aplicación
1,1,39815,,6.192407071313317,,3.536181467928072,,5.426010974471879,,3.482499912386625,,0.00019381505012396524,,174.06755219512195,,20.019999999999996,,190.50565683896025
2,8,39822,,8.84629581616188,,5.051687811325818,,7.751444249245542,,4.974999874838035,,0.0002768786430342361,,253.64168097560975,,20.019999999999996,,248.3258883121035
3,15,39829,,13.490601119646865,,7.703823912271873,,11.820952480099448,,7.586874809128004,,0.00042223993062720993,,373.00140926829266,,20.019999999999996,,348.71549350717726
4,22,39836,,15.481017678283287,,8.840453669820183,,13.565027436179696,,8.706249780966562,,0.000484537625309913,,417.7607580487805,,20.019999999999996,,391.4838171998396
5,29,39843,,19.46185079555614,,11.113713184916799,,17.053177348340192,,10.944999724643678,,0.0006091330146753192,,492.36260243902444,,20.019999999999996,,476.423790458335
6,36,39850,,24.76962828525327,,14.144725871712287,,21.704043897887516,,13.9299996495465,,0.000775260200495861,,591.831728292683,,20.019999999999996,,589.6770881363288
7,43,39857,,27.42351703010183,,15.660232215110033,,24.029477172661178,,15.422499611997909,,0.0008583237934061317,,651.5118365853659,,20.019999999999996,,646.7015587899598
8,50,39864,,34.05823889222324,,19.4489980736044,,29.843060359595327,,19.153749518126435,,0.0010659827756818088,,800.7121073170731,,20.019999999999996,,789.2627354240374
9,57,39871,,35.385183264647516,,20.206751245303273,,31.00577699698216,,19.89999949935214,,0.0011075145721369444,,830.5526497560975,,20.019999999999996,,817.7749902825601
10,64,39878,,43.34684949919321,,24.75327027549651,,37.98207682130316,,24.377499386706383,,0.0013567053508677569,,1009.595904390244,,20.019999999999996,,988.8485194336974
11,71,39885,,43.34684949919321,,24.75327027549651,,37.98207682130316,,24.377499386706383,,0.0013567053508677569,,1009.595904390244,,20.019999999999996,,988.8485194336974
12,78,39892,,48.65462698889035,,27.784282962291996,,42.632943370850484,,27.3624993116092,,0.0015228325366882986,,1128.9561209756096,,20.019999999999996,,1102.8974607409593
13,85,39899,,52.63546010616321,,30.057542477388612,,46.12109328301097,,29.601249255286316,,0.0016474279260537046,,1218.4762834146343,,20.019999999999996,,1188.4341667214062
14,92,39906,,52.63546010616321,,30.057542477388612,,46.12109328301097,,29.601249255286316,,0.0016474279260537046,,1218.4762834146343,,20.019999999999996,,1188.4341667214062
15,99,39913,,52.63546010616321,,30.057542477388612,,46.12109328301097,,29.601249255286316,,0.0016474279260537046,,1218.4762834146343,,20.019999999999996,,1188.4341667214062
16,106,39920,,52.63546010616321,,30.057542477388612,,46.12109328301097,,29.601249255286316,,0.0016474279260537046,,1218.4762834146343,,20.019999999999996,,1188.4341667214062
17,113,39927,,52.63546010616321,,30.057542477388612,,46.12109328301097,,29.601249255286316,,0.0016474279260537046,,1218.4762834146343,,20.019999999999996,,1188.4341667214062
18,120,39934,,52.63546010616321,,30.057542477388612,,46.12109328301097,,29.601249255286316,,0.0016474279260537046,,1218.4762834146343,,20.019999999999996,,1188.4341667214062
19,127,39941,,52.63546010616321,,30.057542477388612,,46.12109328301097,,29.601249255286316,,0.0016474279260537046,,1218.4762834146343,,20.019999999999996,,1188.4341667214062
20,134,39948,,52.63546010616321,,30.057542477388612,,46.12109328301097,,29.601249255286316,,0.0016474279260537046,,1218.4762834146343,,20.019999999999996,,1188.4341667214062
