Semana,DDT,FECHA,Admin_col_3_Cambios,Nitrato de Amonio (Lbs),Admin_Nitrato de Amonio_Cambios,DAP 18-46-0 (Lbs),Admin_DAP 18-46-0_Cambios,Kcl Soluble (Lbs),Admin_Kcl Soluble_Cambios,Sulfato de Magnesio (Lbs),Admin_Sulfato de Magnesio_Cambios,Nitrato de Calcio (Lbs),Admin_Nitrato de Calcio_Cambios,Sin Boro,Admin_Nitrato de Calcio_Cambios_1,Melaza (Lts),Admin_Melaza_Cambios,Admin_Costo / Aplicación
2,1,39449,,15.44839284644168,,16.237424681739125,,28.984819249065676,,16.742625083745644,,34.51089097817704,,0.08768039279999999,,20.019999999999996,,771.9811320883521
4,15,39463,,16.515497559532765,,17.359032125217382,,30.986958729606883,,17.899129473164848,,36.89474635924134,,0.16210624429999998,,20.019999999999996,,821.433983932925
6,29,39477,,17.186737525803945,,17.359032125217382,,31.79181480050576,,18.364041927013286,,37.85305145948138,,0.22225983779999992,,20.019999999999996,,840.0406891259524
8,43,39491,,17.112834002052956,,20.619705193043476,,33.80395497775296,,19.526323061634372,,40.24881421008146,,0.2977059085,,20.019999999999996,,895.7652035179647
10,57,39505,,16.6350148822087,,21.508979666086955,,33.80395497775296,,19.526323061634372,,40.24881421008146,,0.37723045359999985,,20.019999999999996,,898.2764084478129
12,71,39519,,21.930537737388875,,21.508979666086955,,40.15359733032647,,23.19409412522097,,47.80904127574252,,0.43840316519999994,,20.019999999999996,,1045.0677760069223
14,85,39533,,23.3747712433471,,21.508979666086955,,41.885317971937425,,24.194395324380952,,49.87092138455918,,0.4995752762000001,,20.019999999999996,,1085.1017853412245
16,99,39547,,23.3747712433471,,21.508979666086955,,41.885317971937425,,24.194395324380952,,49.87092138455918,,0.4995752762000001,,20.019999999999996,,1085.1017853412245
18,113,39561,,23.3747712433471,,21.508979666086955,,41.885317971937425,,24.194395324380952,,49.87092138455918,,0.4995752762000001,,20.019999999999996,,1085.1017853412245
20,127,39575,,23.3747712433471,,21.508979666086955,,41.885317971937425,,24.194395324380952,,49.87092138455918,,0.4995752762000001,,20.019999999999996,,1085.1017853412245
22,141,39589,,23.3747712433471,,21.508979666086955,,41.885317971937425,,24.194395324380952,,49.87092138455918,,0.4995752762000001,,20.019999999999996,,1085.1017853412245
24,155,39603,,23.3747712433471,,21.508979666086955,,41.885317971937425,,24.194395324380952,,49.87092138455918,,0.4995752762000001,,20.019999999999996,,1085.1017853412245
26,169,39617,,18.912737369403683,,21.508979666086955,,41.885317971937425,,24.194395324380952,,49.87092138455918,,0.4995752762000001,,20.019999999999996,,1067.0305481517537
28,183,39631,,13.175836674333574,,21.508979666086955,,41.885317971937425,,24.194395324380952,,49.87092138455918,,0.4995752762000001,,20.019999999999996,,1043.7961003367197
30,197,39645,,12.219686558488556,,21.508979666086955,,41.885317971937425,,24.194395324380952,,49.87092138455918,,0.4995752762000001,,20.019999999999996,,1039.9236923675476
32,211,39659,,12.219686558488556,,21.508979666086955,,41.885317971937425,,24.194395324380952,,49.87092138455918,,0.4995752762000001,,20.019999999999996,,1039.9236923675476
34,225,39673,,12.219686558488556,,21.508979666086955,,41.885317971937425,,24.194395324380952,,49.87092138455918,,0.4995752762000001,,20.019999999999996,,1039.9236923675476
36,239,39687,,12.219686558488556,,21.508979666086955,,41.885317971937425,,24.194395324380952,,49.87092138455918,,0.4995752762000001,,20.019999999999996,,1039.9236923675476
38,253,39701,,12.219686558488556,,21.508979666086955,,41.885317971937425,,24.194395324380952,,49.87092138455918,,0.4995752762000001,,20.019999999999996,,1039.9236923675476
40,267,39715,,12.219686558488556,,21.508979666086955,,41.885317971937425,,24.194395324380952,,49.87092138455918,,0.4995752762000001,,20.019999999999996,,1039.9236923675476
42,281,39729,,12.219686558488556,,21.508979666086955,,41.885317971937425,,24.194395324380952,,49.87092138455918,,0.4995752762000001,,20.019999999999996,,1039.9236923675476
44,295,39743,,15.891108748618855,,19.552785426086956,,46.501317599002924,,26.86075492726717,,55.36697980452322,,0.4995752762000001,,20.019999999999996,,1136.1336746869877
46,309,39757,,25.069664223944613,,14.662299826086949,,58.04131666666665,,33.526653934482695,,69.1071258544333,,0.4995752762000001,,20.019999999999996,,1376.6586304855873
48,223,39671,,25.069664223944613,,14.662299826086949,,58.04131666666665,,33.526653934482695,,69.1071258544333,,0.4995752762000001,,20.019999999999996,,1376.6586304855873
50,337,39785,,25.069664223944613,,14.662299826086949,,58.04131666666665,,33.526653934482695,,69.1071258544333,,0.4995752762000001,,20.019999999999996,,1376.6586304855873
52,351,39799,,25.069664223944613,,14.662299826086949,,58.04131666666665,,33.526653934482695,,69.1071258544333,,0.4995752762000001,,20.019999999999996,,1376.6586304855873
