Semana (Semana),DDT (DDT),FECHA,FECHA (Cambios),Nitrato de Amonio (Lbs),Nitrato de Amonio (Cambios),DAP 18-46-0 (Lbs),DAP 18-46-0 (Cambios),Kcl Soluble (Lbs),Kcl Soluble (Cambios),Sulfato de Magnesio (Lbs),Sulfato de Magnesio (Cambios),Nitrato de Calcio (Lbs),Nitrato de Calcio (Cambios),Sin Boro,Sin Boro (Cambios),Melaza (Lts),Melaza (Cambios),Admin_Costo / Aplicación (Costo / Aplicación)
1,1,39449,,2.145935851600749,,2.25554024347826,,4.0262804938356,,2.3257176182825665,,4.7939069751073315,,0.010195385199999999,,20.019999999999996,,155.5051416215033
2,8,39456,,2.145935851600749,,2.25554024347826,,4.0262804938356,,2.3257176182825665,,4.7939069751073315,,0.010195385199999999,,20.019999999999996,,155.5051416215033
3,15,39463,,2.3593567942189666,,2.4798617321739123,,4.4267083899438395,,2.557018496166407,,5.270678051320192,,0.018351733399999997,,20.019999999999996,,165.39571199041785
4,22,39470,,2.3593567942189666,,2.4798617321739123,,4.4267083899438395,,2.557018496166407,,5.270678051320192,,0.0244688444,,20.019999999999996,,165.39571199041785
5,29,39477,,2.3593567942189666,,2.4798617321739123,,4.4267083899438395,,2.557018496166407,,5.270678051320192,,0.0244688444,,20.019999999999996,,165.39571199041785
6,36,39484,,2.3593567942189666,,2.4798617321739123,,4.4267083899438395,,2.557018496166407,,5.270678051320192,,0.0346644298,,20.019999999999996,,165.39571199041785
7,43,39491,,2.6949767773545577,,2.4798617321739123,,4.829136425393279,,2.7894747230906245,,5.749830601440209,,0.0346644298,,20.019999999999996,,174.69906458693163
8,50,39498,,2.376430697458386,,3.072711380869565,,4.829136425393279,,2.7894747230906245,,5.749830601440209,,0.04689885199999999,,20.019999999999996,,176.3732012068304
9,57,39505,,2.376430697458386,,3.072711380869565,,4.829136425393279,,2.7894747230906245,,5.749830601440209,,0.04689885199999999,,20.019999999999996,,176.3732012068304
10,64,39512,,2.376430697458386,,3.072711380869565,,4.829136425393279,,2.7894747230906245,,5.749830601440209,,0.05913347439999999,,20.019999999999996,,176.3732012068304
11,71,39519,,2.376430697458386,,3.072711380869565,,4.829136425393279,,2.7894747230906245,,5.749830601440209,,0.05913347439999999,,20.019999999999996,,176.3732012068304
12,78,39526,,3.3392530347638725,,3.072711380869565,,5.983616853133919,,3.4563421891972794,,7.124417340651312,,0.05913347439999999,,20.019999999999996,,203.06254076303208
13,85,39533,,3.3392530347638725,,3.072711380869565,,5.983616853133919,,3.4563421891972794,,7.124417340651312,,0.0713678966,,20.019999999999996,,203.06254076303208
14,92,39540,,3.3392530347638725,,3.072711380869565,,5.983616853133919,,3.4563421891972794,,7.124417340651312,,0.0713678966,,20.019999999999996,,203.06254076303208
15,99,39547,,3.3392530347638725,,3.072711380869565,,5.983616853133919,,3.4563421891972794,,7.124417340651312,,0.0713678966,,20.019999999999996,,203.06254076303208
16,106,39554,,3.3392530347638725,,3.072711380869565,,5.983616853133919,,3.4563421891972794,,7.124417340651312,,0.0713678966,,20.019999999999996,,203.06254076303208
17,113,39561,,3.3392530347638725,,3.072711380869565,,5.983616853133919,,3.4563421891972794,,7.124417340651312,,0.0713678966,,20.019999999999996,,203.06254076303208
18,120,39568,,3.3392530347638725,,3.072711380869565,,5.983616853133919,,3.4563421891972794,,7.124417340651312,,0.0713678966,,20.019999999999996,,203.06254076303208
19,127,39575,,3.3392530347638725,,3.072711380869565,,5.983616853133919,,3.4563421891972794,,7.124417340651312,,0.0713678966,,20.019999999999996,,203.06254076303208
20,134,39582,,3.3392530347638725,,3.072711380869565,,5.983616853133919,,3.4563421891972794,,7.124417340651312,,0.0713678966,,20.019999999999996,,203.06254076303208
21,141,39589,,3.3392530347638725,,3.072711380869565,,5.983616853133919,,3.4563421891972794,,7.124417340651312,,0.0713678966,,20.019999999999996,,203.06254076303208
22,148,39596,,3.3392530347638725,,3.072711380869565,,5.983616853133919,,3.4563421891972794,,7.124417340651312,,0.0713678966,,20.019999999999996,,203.06254076303208
23,155,39603,,3.3392530347638725,,3.072711380869565,,5.983616853133919,,3.4563421891972794,,7.124417340651312,,0.0713678966,,20.019999999999996,,203.06254076303208
24,162,39610,,3.3392530347638725,,3.072711380869565,,5.983616853133919,,3.4563421891972794,,7.124417340651312,,0.0713678966,,20.019999999999996,,203.06254076303208
25,169,39617,,2.7018196242005255,,3.072711380869565,,5.983616853133919,,3.4563421891972794,,7.124417340651312,,0.0713678966,,20.019999999999996,,200.48093545025054
26,176,39624,,2.7018196242005255,,3.072711380869565,,5.983616853133919,,3.4563421891972794,,7.124417340651312,,0.0713678966,,20.019999999999996,,200.48093545025054
27,183,39631,,2.7018196242005255,,3.072711380869565,,5.983616853133919,,3.4563421891972794,,7.124417340651312,,0.0713678966,,20.019999999999996,,200.48093545025054
28,190,39638,,1.7456695083555074,,3.072711380869565,,5.983616853133919,,3.4563421891972794,,7.124417340651312,,0.0713678966,,20.019999999999996,,196.6085274810782
29,197,39645,,1.7456695083555074,,3.072711380869565,,5.983616853133919,,3.4563421891972794,,7.124417340651312,,0.0713678966,,20.019999999999996,,196.6085274810782
30,204,39652,,1.7456695083555074,,3.072711380869565,,5.983616853133919,,3.4563421891972794,,7.124417340651312,,0.0713678966,,20.019999999999996,,196.6085274810782
31,211,39659,,1.7456695083555074,,3.072711380869565,,5.983616853133919,,3.4563421891972794,,7.124417340651312,,0.0713678966,,20.019999999999996,,196.6085274810782
