Semana,DDT,FECHA,Admin_col_3_Cambios,Nitrato de Amonio (Lbs),Admin_Nitrato de Amonio_Cambios,FofatoMonoPotasico (Lbs),Admin_FofatoMonoPotasico_Cambios,Kcl Soluble (Lbs),Admin_Kcl Soluble_Cambios,Sulfato de Magnesio (Lbs),Admin_Sulfato de Magnesio_Cambios,Nitrato de Calcio (Lbs),Admin_Nitrato de Calcio_Cambios,Solubor (Gramos),Admin_Solubor_Cambios,Melaza (Lts),Admin_Melaza_Cambios,Admin_Costo / Aplicación
1,1,39610,,6.733462601457776,,3.1324398186907825,,6.07493493187238,,5.038244354210409,,10.38512782552689,,49.733586341463415,,20.019999999999996,,362.5788908583814
2,8,39617,,6.733462601457776,,3.1324398186907825,,6.07493493187238,,5.038244354210409,,10.38512782552689,,49.733586341463415,,20.019999999999996,,362.5788908583814
3,15,39624,,9.258511077004439,,4.307104750699827,,8.353035531324524,,6.927585987039313,,14.279550760099477,,89.5206507317073,,20.019999999999996,,478.3704537107622
4,22,39631,,6.272883988208975,,6.716016077604165,,19.456874711579857,,14.93031668886199,,30.77525351858982,,119.36021658536585,,20.019999999999996,,846.1732858754694
5,29,39638,,6.272883988208975,,6.716016077604165,,19.456874711579857,,14.93031668886199,,30.77525351858982,,119.36021658536585,,20.019999999999996,,846.1732858754694
6,36,39645,,27.16336892772458,,12.536563344861104,,23.912770311986108,,19.907088918482653,,41.03367135811976,,169.09477951219515,,20.019999999999996,,1271.560664382598
7,43,39652,,27.16336892772458,,12.536563344861104,,23.912770311986108,,19.907088918482653,,41.03367135811976,,169.09477951219515,,20.019999999999996,,1271.560664382598
8,50,39659,,30.928789674790412,,13.655899357795134,,31.2265407661383,,25.008280453843835,,51.54854964363795,,228.774887804878,,20.019999999999996,,1537.545591750364
9,57,39666,,34.694210421856255,,14.77523537072916,,38.5403112202905,,30.109471989205012,,62.063427929156134,,228.774887804878,,20.019999999999996,,1801.1433147864227
10,64,39673,,8.579269425881062,,14.77523537072916,,51.334750655846065,,38.32114616807912,,78.98981736438056,,288.4559726829268,,20.019999999999996,,2005.697856832393
11,71,39680,,6.2394686733680444,,10.74562572416666,,37.334364113342595,,27.86992448587572,,57.44713990136768,,288.4559726829268,,20.019999999999996,,1477.124142852827
12,78,39687,,6.2394686733680444,,10.74562572416666,,37.334364113342595,,27.86992448587572,,57.44713990136768,,288.4559726829268,,20.019999999999996,,1477.124142852827
13,85,39694,,6.2394686733680444,,10.74562572416666,,37.334364113342595,,27.86992448587572,,57.44713990136768,,348.13608097560973,,20.019999999999996,,1479.5113471845343
