Semana (Semana),DDT (DDT),FECHA,FECHA (Cambios),Nitrato de Amonio (Lbs),Nitrato de Amonio (Cambios),FofatoMonoPotasico (Lbs),FofatoMonoPotasico (Cambios),Kcl Soluble (Lbs),Kcl Soluble (Cambios),Sulfato de Magnesio (Lbs),Sulfato de Magnesio (Cambios),Nitrato de Calcio (Lbs),Nitrato de Calcio (Cambios),Solubor (Gramos),Solubor (Cambios),Melaza (Lts),Melaza (Cambios),Admin_Costo / Aplicación (Costo / Aplicación)
1,1,39610,,3.366731300728888,,1.5662199093453912,,3.03746746593619,,2.5191221771052046,,5.192563912763445,,24.866793170731707,,20.019999999999996,,209.31744542919068
2,8,39617,,3.366731300728888,,1.5662199093453912,,3.03746746593619,,2.5191221771052046,,5.192563912763445,,24.866793170731707,,20.019999999999996,,209.31744542919068
3,15,39624,,3.366731300728888,,1.5662199093453912,,3.03746746593619,,2.5191221771052046,,5.192563912763445,,44.76032536585365,,20.019999999999996,,210.11318671699556
4,22,39631,,3.1364419941044877,,3.3580080388020823,,9.728437355789929,,7.465158344430995,,15.38762675929491,,59.680108292682924,,20.019999999999996,,451.11464293773474
5,29,39638,BaZam,3.1364419941044877,,3.3580080388020823,,9.728437355789929,,7.465158344430995,,15.38762675929491,,59.680108292682924,,20.019999999999996,1.001,831.4946429377346
6,36,39645,,13.58168446386229,,6.268281672430552,,11.956385155993054,,9.953544459241327,,20.51683567905988,,84.54738975609757,,20.019999999999996,,663.8083321912989
7,43,39652,,13.58168446386229,,6.268281672430552,,11.956385155993054,,9.953544459241327,,20.51683567905988,,84.54738975609757,,20.019999999999996,,663.8083321912989
8,50,39659,,13.58168446386229,,6.268281672430552,,11.956385155993054,,9.953544459241327,,20.51683567905988,,114.387443902439,,20.019999999999996,,665.0019343571525
9,57,39666,TricoZam,17.347105210928127,,7.38761768536458,,19.27015561014525,,15.054735994602506,,31.031713964578067,,114.387443902439,,20.019999999999996,1.001,1308.9796573932113
10,64,39673,,4.289634712940531,,7.38761768536458,,25.667375327923033,,19.16057308403956,,39.49490868219028,,144.2279863414634,,20.019999999999996,,1030.8769284161965
11,71,39680,,3.1197343366840222,,5.37281286208333,,18.667182056671297,,13.93496224293786,,28.72356995068384,,144.2279863414634,,20.019999999999996,,766.5900714264135
12,78,39687,,3.1197343366840222,,5.37281286208333,,18.667182056671297,,13.93496224293786,,28.72356995068384,,144.2279863414634,,20.019999999999996,,766.5900714264135
13,85,39694,,3.1197343366840222,,5.37281286208333,,18.667182056671297,,13.93496224293786,,28.72356995068384,,174.06804048780486,,20.019999999999996,,767.7836735922672
