Semana (Semana),DDT (DDT),FECHA,FECHA (Cambios),Urea (Lbs),Urea (Cambios),DAP 18-46-0 (Lbs),DAP 18-46-0 (Cambios),Kcl Soluble (Lbs),Kcl Soluble (Cambios),Sulfato de Magnesio (Lbs),Sulfato de Magnesio (Cambios),Nitrato de Calcio (Lbs),Nitrato de Calcio (Cambios),Solubor (Gramos),Solubor (Cambios),Melaza (Lts),Melaza (Cambios),Admin_Costo / Aplicación (Costo / Aplicación)
2,1,39601,,3.356997009548617,,18.062178342308094,,16.279490958480746,,10.448435527192439,,21.53693447519882,,427.70923317073175,,20.019999999999996,,774.9819205635292
4,15,39615,,8.39249252387154,,45.15544585577023,,40.698727396201875,,26.121088817981093,,53.84233618799705,,790.7621673170731,,20.019999999999996,,1842.230364784433
6,29,39629,,13.427988038194473,,72.24871336923239,,65.11796383392299,,41.79374210876977,,86.14773790079525,,1084.1943307317076,,20.019999999999996,,2906.6939781760684
8,43,39643,,30.26412443076063,,78.69949134862814,,95.35130418538725,,61.19797951641287,,126.14490192616445,,1452.2239439024388,,20.019999999999996,,3968.5825417744954
10,57,39657,,59.064869724225275,,77.40933575274899,,139.53849392983497,,89.55801880450662,,184.6022955017042,,1840.148554146341,,20.019999999999996,,5413.217886408623
12,71,39671,,75.79991614608913,,99.34198088269453,,179.07440054328822,,114.93279079911686,,236.90627922718707,,2138.5520253658533,,20.019999999999996,,6922.1615427928555
14,85,39685,,75.79991614608913,,99.34198088269453,,179.07440054328822,,114.93279079911686,,236.90627922718707,,2436.952566829269,,20.019999999999996,,6934.097564451392
16,99,39699,,75.79991614608913,,99.34198088269453,,179.07440054328822,,114.93279079911686,,236.90627922718707,,2436.952566829269,,20.019999999999996,,6934.097564451392
18,113,39713,,75.79991614608913,,99.34198088269453,,179.07440054328822,,114.93279079911686,,236.90627922718707,,2436.952566829269,,20.019999999999996,,6934.097564451392
20,127,39727,,75.79991614608913,,99.34198088269453,,179.07440054328822,,114.93279079911686,,236.90627922718707,,2436.952566829269,,20.019999999999996,,6934.097564451392
22,141,39741,,75.79991614608913,,99.34198088269453,,179.07440054328822,,114.93279079911686,,236.90627922718707,,2436.952566829269,,20.019999999999996,,6934.097564451392
24,155,39755,,75.79991614608913,,99.34198088269453,,179.07440054328822,,114.93279079911686,,236.90627922718707,,2436.952566829269,,20.019999999999996,,6934.097564451392
26,169,39769,,37.899958073044566,,49.670990441347264,,89.53720027164412,,57.46639539955843,,118.45313961359349,,1218.4762834146343,,20.019999999999996,,3495.0767822256953
