Semana (Semana),DDT (DDT),FECHA,FECHA (Cambios),Urea (Lbs),Urea (Cambios),DAP 18-46-0 (Lbs),DAP 18-46-0 (Cambios),Kcl Soluble (Lbs),Kcl Soluble (Cambios),Sulfato de Magnesio (Lbs),Sulfato de Magnesio (Cambios),Nitrato de Calcio (Lbs),Nitrato de Calcio (Cambios),Solubor (Gramos),Solubor (Cambios),Melaza (Lts),Melaza (Cambios),Admin_Costo / Aplicación (Costo / Aplicación)
1,1,39601,,0.239785500682044,,1.2901555958791497,,1.1628207827486248,,0.7463168233708884,,1.538352462514201,,24.866793170731707,,20.019999999999996,,107.18049681516497
2,8,39608,,0.239785500682044,,1.2901555958791497,,1.1628207827486248,,0.7463168233708884,,1.538352462514201,,24.866793170731707,,20.019999999999996,,107.18049681516497
3,15,39615,,0.479571001364088,,2.5803111917582995,,2.3256415654972495,,1.492633646741777,,3.076704925028402,,44.76032536585365,,20.019999999999996,,158.10606319130557
4,22,39622,,0.7193565020461322,,3.8704667876374486,,3.4884623482458745,,2.2389504701126657,,4.6150573875426035,,59.680108292682924,,20.019999999999996,,208.83267959671446
5,29,39629,PaZam,0.7193565020461322,,3.8704667876374486,,3.4884623482458745,,2.2389504701126657,,4.6150573875426035,,59.680108292682924,,20.019999999999996,1.001,609.2326795967144
6,36,39636,,1.1989275034102207,,6.45077797939575,,5.814103913743125,,3.7315841168544437,,7.691762312571006,,84.54738975609757,,20.019999999999996,,310.0870210319225
7,43,39643,,1.1989275034102207,,6.45077797939575,,5.814103913743125,,3.7315841168544437,,7.691762312571006,,84.54738975609757,,20.019999999999996,,310.0870210319225
8,50,39650,,1.1989275034102207,,6.45077797939575,,5.814103913743125,,3.7315841168544437,,7.691762312571006,,114.387443902439,,20.019999999999996,,311.2806231977762
9,57,39657,TricoZam,3.445450733913144,,4.515544585577025,,8.139745479240373,,5.22421776359622,,10.768467237599408,,114.387443902439,,20.019999999999996,1.001,769.2389278369258
10,64,39664,,4.429865229316896,,5.805700181456174,,10.465387044737623,,6.716851410337998,,13.84517216262781,,144.2279863414634,,20.019999999999996,,458.09181527186615
11,71,39671,,5.414279724720653,,7.0958557773353235,,12.791028610234873,,8.209485057079775,,16.921877087656217,,144.2279863414634,,20.019999999999996,,546.1510810092458
12,78,39678,,5.414279724720653,,7.0958557773353235,,12.791028610234873,,8.209485057079775,,16.921877087656217,,144.2279863414634,,20.019999999999996,,546.1510810092458
13,85,39685,PaZam,5.414279724720653,,7.0958557773353235,,12.791028610234873,,8.209485057079775,,16.921877087656217,,174.06804048780486,,20.019999999999996,1.001,947.7446831750993
14,92,39692,,5.414279724720653,,7.0958557773353235,,12.791028610234873,,8.209485057079775,,16.921877087656217,,174.06804048780486,,20.019999999999996,,547.3446831750994
15,99,39699,,5.414279724720653,,7.0958557773353235,,12.791028610234873,,8.209485057079775,,16.921877087656217,,174.06804048780486,,20.019999999999996,,547.3446831750994
16,106,39706,,5.414279724720653,,7.0958557773353235,,12.791028610234873,,8.209485057079775,,16.921877087656217,,174.06804048780486,,20.019999999999996,,547.3446831750994
17,113,39713,TricoZam,5.414279724720653,,7.0958557773353235,,12.791028610234873,,8.209485057079775,,16.921877087656217,,174.06804048780486,,20.019999999999996,1.001,947.7446831750993
18,120,39720,,5.414279724720653,,7.0958557773353235,,12.791028610234873,,8.209485057079775,,16.921877087656217,,174.06804048780486,,20.019999999999996,,547.3446831750994
19,127,39727,,5.414279724720653,,7.0958557773353235,,12.791028610234873,,8.209485057079775,,16.921877087656217,,174.06804048780486,,20.019999999999996,,547.3446831750994
20,134,39734,,5.414279724720653,,7.0958557773353235,,12.791028610234873,,8.209485057079775,,16.921877087656217,,174.06804048780486,,20.019999999999996,,547.3446831750994
21,141,39741,PaZam,5.414279724720653,,7.0958557773353235,,12.791028610234873,,8.209485057079775,,16.921877087656217,,174.06804048780486,,20.019999999999996,1.001,947.7446831750993
22,148,39748,,5.414279724720653,,7.0958557773353235,,12.791028610234873,,8.209485057079775,,16.921877087656217,,174.06804048780486,,20.019999999999996,,547.3446831750994
23,155,39755,,5.414279724720653,,7.0958557773353235,,12.791028610234873,,8.209485057079775,,16.921877087656217,,174.06804048780486,,20.019999999999996,,547.3446831750994
24,162,39762,,5.414279724720653,,7.0958557773353235,,12.791028610234873,,8.209485057079775,,16.921877087656217,,174.06804048780486,,20.019999999999996,,547.3446831750994
25,169,39769,TricoZam,5.414279724720653,,7.0958557773353235,,12.791028610234873,,8.209485057079775,,16.921877087656217,,174.06804048780486,,20.019999999999996,1.001,947.7446831750993
