Semana,DDT,FECHA,Admin_col_3_Cambios,Urea (Lbs),Admin_Urea_Cambios,FofatoMonoPotasico (Lbs),Admin_FofatoMonoPotasico_Cambios,Kcl (Lbs),Admin_Kcl_Cambios,Sulfato de Magnesio (Lbs),Admin_Sulfato de Magnesio_Cambios,Nitrato de Calcio (Lbs),Admin_Nitrato de Calcio_Cambios,Solubor (Gramos),Admin_Solubor_Cambios,Melaza (Lts),Admin_Melaza_Cambios,Admin_Costo / Aplicación
1,1,39966,,,,,,,,7.862244313077228,,16.206123888888882,,243.4511219512195,,28.0,,
2,8,39973,,,,,,,,7.862244313077228,,16.206123888888882,,354.74360975609756,,28.0,,
3,15,39980,,,,,,,,7.862244313077228,,16.206123888888882,,521.6802926829268,,28.0,,
4,22,39987,,,,,,,,7.862244313077228,,16.206123888888882,,584.2807804878049,,28.0,,
5,29,39994,,,,,,,,7.862244313077228,,16.206123888888882,,688.619024390244,,28.0,,
6,36,40001,,,,,,,,25.68333142271894,,52.94000470370369,,827.7366829268294,,28.0,,
7,43,40008,,,,,,,,70.23604919682323,,144.77470674074073,,911.2053658536587,,28.0,,
8,50,40015,,,,,,,,70.23604919682323,,144.77470674074073,,1119.8770731707316,,28.0,,
9,57,40022,,,,,,,,83.33402983267494,,171.7730406039886,,1161.6120975609756,,28.0,,
10,64,40029,,,,,,,,100.79800401381058,,207.77081908831906,,1412.0222439024392,,28.0,,
11,71,40036,,,,,,,,58.60272527235584,,120.79541008547002,,1412.0222439024392,,28.0,,
12,78,40043,,,,,,,,26.956266216264783,,55.563853333333334,,1578.9596097560973,,28.0,,
13,85,40050,,,,,,,,77.44578071657024,,159.6358325925926,,1704.1626341463416,,28.0,,
14,92,40057,,,,,,,,115.31291659179936,,237.68981703703705,,1704.1626341463416,,28.0,,
15,99,40064,,,,,,,,115.31291659179936,,237.68981703703705,,1704.1626341463416,,28.0,,
16,106,40071,,,,,,,,0.0,,0.0,,1704.1626341463416,,28.0,,
