Semana (Semana),DDT (DDT),FECHA,FECHA (Cambios),Urea (Lbs),Urea (Cambios),FofatoMonoPotasico (Lbs),FofatoMonoPotasico (Cambios),Kcl (Lbs),Kcl (Cambios),Sulfato de Magnesio (Lbs),Sulfato de Magnesio (Cambios),Nitrato de Calcio (Lbs),Nitrato de Calcio (Cambios),Solubor (Gramos),Solubor (Cambios),Melaza (Lts),Melaza (Cambios),Admin_Costo / Aplicación (Costo / Aplicación)
1,1,39966,,,,,,,,2.2463555180220647,,4.63032111111111,,69.55746341463414,,28.0,,
2,8,39973,,,,,,,,2.2463555180220647,,4.63032111111111,,69.55746341463414,,28.0,,
3,15,39980,,,,,,,,2.2463555180220647,,4.63032111111111,,125.20370731707317,,28.0,,
4,22,39987,,,,,,,,2.2463555180220647,,4.63032111111111,,166.93736585365855,,28.0,,
5,29,39994,,,,,,,,2.2463555180220647,,4.63032111111111,,166.93736585365855,,28.0,,
6,36,40001,,,,,,,,2.2463555180220647,,4.63032111111111,,236.49619512195125,,28.0,,
7,43,40008,,,,,,,,20.06744262766378,,41.364201925925926,,236.49619512195125,,28.0,,
8,50,40015,,,,,,,,20.06744262766378,,41.364201925925926,,319.96487804878046,,28.0,,
9,57,40022,,,,,,,,20.06744262766378,,41.364201925925926,,319.96487804878046,,28.0,,
10,64,40029,,,,,,,,28.799429718231597,,59.36309116809116,,403.4349268292683,,28.0,,
11,71,40036,,,,,,,,28.799429718231597,,59.36309116809116,,403.4349268292683,,28.0,,
12,78,40043,,,,,,,,7.701790347504223,,15.875386666666667,,403.4349268292683,,28.0,,
13,85,40050,,,,,,,,7.701790347504223,,15.875386666666667,,486.9036097560976,,28.0,,
14,92,40057,,,,,,,,32.94654759765696,,67.9113762962963,,486.9036097560976,,28.0,,
15,99,40064,,,,,,,,32.94654759765696,,67.9113762962963,,486.9036097560976,,28.0,,
16,106,40071,,,,,,,,0.0,,0.0,,486.9036097560976,,28.0,,
