Semana,DDT,FECHA,Admin_col_3_Cambios,Urea (Lbs),Admin_Urea_Cambios,FofatoMonoPotasico (Lbs),Admin_FofatoMonoPotasico_Cambios,Kcl (Lbs),Admin_Kcl_Cambios,Sulfato de Magnesio (Lbs),Admin_Sulfato de Magnesio_Cambios,Nitrato de Calcio (Lbs),Admin_Nitrato de Calcio_Cambios,Solubor (Gramos),Admin_Solubor_Cambios,Melaza (Lts),Admin_Melaza_Cambios,Admin_Costo / Aplicación
1,1,39966,,,,,,,,1.1231777590110323,,2.315160555555555,,34.77873170731707,,28.0,,
2,8,39973,,,,,,,,1.1231777590110323,,2.315160555555555,,34.77873170731707,,28.0,,
3,15,39980,,,,,,,,1.1231777590110323,,2.315160555555555,,62.601853658536584,,28.0,,
4,22,39987,,,,,,,,1.1231777590110323,,2.315160555555555,,83.46868292682927,,28.0,,
5,29,39994,,,,,,,,1.1231777590110323,,2.315160555555555,,83.46868292682927,,28.0,,
6,36,40001,,,,,,,,1.1231777590110323,,2.315160555555555,,118.24809756097562,,28.0,,
7,43,40008,,,,,,,,10.03372131383189,,20.682100962962963,,118.24809756097562,,28.0,,
8,50,40015,,,,,,,,10.03372131383189,,20.682100962962963,,159.98243902439023,,28.0,,
9,57,40022,,,,,,,,10.03372131383189,,20.682100962962963,,159.98243902439023,,28.0,,
10,64,40029,,,,,,,,14.399714859115798,,29.68154558404558,,201.71746341463415,,28.0,,
11,71,40036,,,,,,,,14.399714859115798,,29.68154558404558,,201.71746341463415,,28.0,,
12,78,40043,,,,,,,,3.8508951737521113,,7.937693333333334,,201.71746341463415,,28.0,,
13,85,40050,,,,,,,,3.8508951737521113,,7.937693333333334,,243.4518048780488,,28.0,,
14,92,40057,,,,,,,,16.47327379882848,,33.95568814814815,,243.4518048780488,,28.0,,
15,99,40064,,,,,,,,16.47327379882848,,33.95568814814815,,243.4518048780488,,28.0,,
16,106,40071,,,,,,,,0.0,,0.0,,243.4518048780488,,28.0,,
