Semana (Semana),DDT (DDT),FECHA,Seleccioné su opción (Preventivos),Preventivos (Dosis),Preventivos (Unidades),Urea (Lbs),Urea (Cambios),FofatoMonoPotasico (Lbs),FofatoMonoPotasico (Cambios),Kcl (Lbs),Kcl (Cambios),Sulfato de Magnesio (Lbs),Sulfato de Magnesio (Cambios),Nitrato de Calcio (Lbs),Nitrato de Calcio (Cambios),Solubor (Gramos),Solubor (Cambios),Melaza (Lts),Admin_Costo / Aplicación (Costo / Aplicación)
1,1,39966,,0.0,0,,,,,,,1.1231777590110323,,2.315160555555555,,34.77873170731707,,28.0,
2,8,39973,,0.0,0,,,,,,,1.1231777590110323,,2.315160555555555,,34.77873170731707,,28.0,
3,15,39980,,0.0,0,,,,,,,1.1231777590110323,,2.315160555555555,,62.601853658536584,,28.0,
4,22,39987,,0.0,0,,,,,,,1.1231777590110323,,2.315160555555555,,83.46868292682927,,28.0,
5,29,39994,0,0.0,0,,,,,,,1.1231777590110323,,2.315160555555555,,83.46868292682927,,28.0,
6,36,40001,,0.0,0,,,,,,,1.1231777590110323,,2.315160555555555,,118.24809756097562,,28.0,
7,43,40008,,0.0,0,,,,,,,10.03372131383189,,20.682100962962963,,118.24809756097562,,28.0,
8,50,40015,,0.0,0,,,,,,,10.03372131383189,,20.682100962962963,,159.98243902439023,,28.0,
9,57,40022,0,0.0,0,,,,,,,10.03372131383189,,20.682100962962963,,159.98243902439023,,28.0,
10,64,40029,,0.0,0,,,,,,,14.399714859115798,,29.68154558404558,,201.71746341463415,,28.0,
11,71,40036,,0.0,0,,,,,,,14.399714859115798,,29.68154558404558,,201.71746341463415,,28.0,
12,78,40043,,0.0,0,,,,,,,3.8508951737521113,,7.937693333333334,,201.71746341463415,,28.0,
13,85,40050,0,0.0,0,,,,,,,3.8508951737521113,,7.937693333333334,,243.4518048780488,,28.0,
14,92,40057,,0.0,0,,,,,,,16.47327379882848,,33.95568814814815,,243.4518048780488,,28.0,
15,99,40064,,0.0,0,,,,,,,16.47327379882848,,33.95568814814815,,243.4518048780488,,28.0,
16,106,40071,,0.0,0,,,,,,,0.0,,0.0,,243.4518048780488,,28.0,
