Columna_0,N,Columna_2,P2O5,Columna_4,K2O,Columna_6,MgO,Columna_8,Ca,Columna_10,B,Columna_12
Porcentaje de Elemento,,46.0,,52.0,,60.0,,16.0,,27.0,,20.5
,,0.46,,0.52,,0.6,,0.16,,0.27,,0.205
1,0.65,,0.05,,0.75,,0.1283631724584037,0.8022698278650231,0.44649525,1.653686111111111,5.0926,24.841951219512197
,0.65,,0.05,,0.75,,0.1283631724584037,0.8022698278650231,0.44649525,1.653686111111111,5.0926,24.841951219512197
,0.65,,0.05,,0.75,,0.1283631724584037,0.8022698278650231,0.44649525,1.653686111111111,5.0926,24.841951219512197
,0.65,,0.05,,0.75,,0.1283631724584037,0.8022698278650231,0.44649525,1.653686111111111,5.0926,24.841951219512197
,0.65,,0.05,,0.75,,0.1283631724584037,0.8022698278650231,0.44649525,1.653686111111111,5.0926,24.841951219512197
,0.65,,0.05,,0.75,,0.1283631724584037,0.8022698278650231,0.44649525,1.653686111111111,5.0926,24.841951219512197
,0.65,,0.05,,0.75,,0.1283631724584037,0.8022698278650231,0.44649525,1.653686111111111,5.0926,24.841951219512197
2,0.65,,0.05,,0.75,,0.1283631724584037,0.8022698278650231,0.44649525,1.653686111111111,5.0926,24.841951219512197
,0.65,,0.05,,0.75,,0.1283631724584037,0.8022698278650231,0.44649525,1.653686111111111,5.0926,24.841951219512197
,0.65,,0.05,,0.75,,0.1283631724584037,0.8022698278650231,0.44649525,1.653686111111111,5.0926,24.841951219512197
,0.65,,0.05,,0.75,,0.1283631724584037,0.8022698278650231,0.44649525,1.653686111111111,9.1667,44.715609756097564
,0.65,,0.05,,0.75,,0.1283631724584037,0.8022698278650231,0.44649525,1.653686111111111,9.1667,44.715609756097564
,0.65,,0.05,,0.75,,0.1283631724584037,0.8022698278650231,0.44649525,1.653686111111111,9.1667,44.715609756097564
,0.65,,0.05,,0.75,,0.1283631724584037,0.8022698278650231,0.44649525,1.653686111111111,9.1667,44.715609756097564
3,0.65,,0.05,,0.75,,0.1283631724584037,0.8022698278650231,0.44649525,1.653686111111111,9.1667,44.715609756097564
,0.65,,0.05,,0.75,,0.1283631724584037,0.8022698278650231,0.44649525,1.653686111111111,9.1667,44.715609756097564
,0.65,,0.05,,0.75,,0.1283631724584037,0.8022698278650231,0.44649525,1.653686111111111,9.1667,44.715609756097564
,0.65,,0.05,,0.75,,0.1283631724584037,0.8022698278650231,0.44649525,1.653686111111111,12.2222,59.62048780487805
,0.65,,0.05,,0.75,,0.1283631724584037,0.8022698278650231,0.44649525,1.653686111111111,12.2222,59.62048780487805
,0.65,,0.05,,0.75,,0.1283631724584037,0.8022698278650231,0.44649525,1.653686111111111,12.2222,59.62048780487805
,0.65,,0.05,,0.75,,0.1283631724584037,0.8022698278650231,0.44649525,1.653686111111111,12.2222,59.62048780487805
4,0.65,,0.05,,0.75,,0.1283631724584037,0.8022698278650231,0.44649525,1.653686111111111,12.2222,59.62048780487805
,0.65,,0.05,,0.75,,0.1283631724584037,0.8022698278650231,0.44649525,1.653686111111111,12.2222,59.62048780487805
,0.65,,0.05,,0.75,,0.1283631724584037,0.8022698278650231,0.44649525,1.653686111111111,12.2222,59.62048780487805
,0.65,,0.05,,0.75,,0.1283631724584037,0.8022698278650231,0.44649525,1.653686111111111,12.2222,59.62048780487805
,0.65,,0.05,,0.75,,0.1283631724584037,0.8022698278650231,0.44649525,1.653686111111111,12.2222,59.62048780487805
,0.65,,0.05,,0.75,,0.1283631724584037,0.8022698278650231,0.44649525,1.653686111111111,12.2222,59.62048780487805
,0.65,,0.05,,0.75,,0.1283631724584037,0.8022698278650231,0.44649525,1.653686111111111,12.2222,59.62048780487805
5,0.65,,0.05,,0.75,,0.1283631724584037,0.8022698278650231,0.44649525,1.653686111111111,12.2222,59.62048780487805
,0.65,,0.05,,0.75,,0.1283631724584037,0.8022698278650231,0.44649525,1.653686111111111,12.2222,59.62048780487805
,0.65,,0.05,,0.75,,0.1283631724584037,0.8022698278650231,0.44649525,1.653686111111111,12.2222,59.62048780487805
,0.65,,0.05,,0.75,,0.1283631724584037,0.8022698278650231,0.44649525,1.653686111111111,12.2222,59.62048780487805
,0.65,,0.05,,0.75,,0.1283631724584037,0.8022698278650231,0.44649525,1.653686111111111,17.3149,84.46292682926831
,0.65,,0.05,,0.75,,0.1283631724584037,0.8022698278650231,0.44649525,1.653686111111111,17.3149,84.46292682926831
,0.65,,0.05,,0.75,,0.1283631724584037,0.8022698278650231,0.44649525,1.653686111111111,17.3149,84.46292682926831
6,0.65,,0.05,,0.75,,0.1283631724584037,0.8022698278650231,0.44649525,1.653686111111111,17.3149,84.46292682926831
,0.65,,0.05,,0.75,,0.1283631724584037,0.8022698278650231,0.44649525,1.653686111111111,17.3149,84.46292682926831
,0.65,,0.05,,0.75,,0.1283631724584037,0.8022698278650231,0.44649525,1.653686111111111,17.3149,84.46292682926831
