Fase,Día Después Siembra,Semana,N,P2O5,K20,MgO,CaO,B Gramos/Ha,Relación N:K N/(K2O/3.36),Relación Ca:Mg (1:0.5) (CaO/1.39)/MgO,Relación K:Ca (1:1)     (CaO/1.19)/K2O,Columna_12,Columna_13,Kilos/Ha,Columna_15,Columna_16,Columna_17,Columna_18,Columna_19,Columna_20,Columna_21,Columna_22,Columna_23,Columna_24,Columna_25
,1.0,1,0.65,0.05,0.75,0.1283631724584037,0.44649525,5.0926,2.9141874666666667,0.4,0.5,,,,,,,,,,0.65,0.05,0.75,0.1,0.05
,2.0,1,0.65,0.05,0.75,0.1283631724584037,0.44649525,5.0926,2.9141874666666667,0.4,0.5,,,,,,,,,,0.65,0.05,0.75,0.1,0.05
,3.0,1,0.65,0.05,0.75,0.1283631724584037,0.44649525,5.0926,2.9141874666666667,0.4,0.5,,,,,,,,,,0.65,0.05,0.75,0.1,0.05
,4.0,1,0.65,0.05,0.75,0.1283631724584037,0.44649525,5.0926,2.9141874666666667,0.4,0.5,,,,,,,,,,0.65,0.05,0.75,0.1,0.05
,5.0,1,0.65,0.05,0.75,0.1283631724584037,0.44649525,5.0926,2.9141874666666667,0.4,0.5,,,,,,,,,,0.65,0.05,0.75,0.1,0.05
,6.0,1,0.65,0.05,0.75,0.1283631724584037,0.44649525,5.0926,2.9141874666666667,0.4,0.5,,,,,,,,,,0.65,0.05,0.75,0.1,0.05
,7.0,1,0.65,0.05,0.75,0.1283631724584037,0.44649525,5.0926,2.9141874666666667,0.4,0.5,,,,,,,,,,0.65,0.05,0.75,0.1,0.05
,8.0,2,0.65,0.05,0.75,0.1283631724584037,0.44649525,5.0926,2.9141874666666667,0.4,0.5,,,,,,,,,,0.65,0.05,0.75,0.1,0.05
,9.0,2,0.65,0.05,0.75,0.1283631724584037,0.44649525,5.0926,2.9141874666666667,0.4,0.5,,,,,,,,,,0.65,0.05,0.75,0.1,0.05
,10.0,2,0.65,0.05,0.75,0.1283631724584037,0.44649525,5.0926,2.9141874666666667,0.4,0.5,,,,,,,,,,0.65,0.05,0.75,0.1,0.05
,11.0,2,0.65,0.05,0.75,0.1283631724584037,0.44649525,9.1667,2.9141874666666667,0.4,0.5,,,,,,,,,,0.65,0.05,0.75,0.1,0.05
,12.0,2,0.65,0.05,0.75,0.1283631724584037,0.44649525,9.1667,2.9141874666666667,0.4,0.5,,,,,,,,,,0.65,0.05,0.75,0.1,0.05
,13.0,2,0.65,0.05,0.75,0.1283631724584037,0.44649525,9.1667,2.9141874666666667,0.4,0.5,,,,,,,,,,0.65,0.05,0.75,0.1,0.05
,14.0,2,0.65,0.05,0.75,0.1283631724584037,0.44649525,9.1667,2.9141874666666667,0.4,0.5,,,,,,,,,,0.65,0.05,0.75,0.1,0.05
,15.0,3,0.65,0.05,0.75,0.1283631724584037,0.44649525,9.1667,2.9141874666666667,0.4,0.5,,,,,,,,,,0.65,0.05,0.75,0.1,0.05
,16.0,3,0.65,0.05,0.75,0.1283631724584037,0.44649525,9.1667,2.9141874666666667,0.4,0.5,,,,,,,,,,0.65,0.05,0.75,0.1,0.05
,17.0,3,0.65,0.05,0.75,0.1283631724584037,0.44649525,9.1667,2.9141874666666667,0.4,0.5,,,,,,,,,,0.65,0.05,0.75,0.1,0.05
,18.0,3,0.65,0.05,0.75,0.1283631724584037,0.44649525,12.2222,2.9141874666666667,0.4,0.5,,,,,,,,,,0.65,0.05,0.75,0.1,0.05
,19.0,3,0.65,0.05,0.75,0.1283631724584037,0.44649525,12.2222,2.9141874666666667,0.4,0.5,,,,,,,,,,0.65,0.05,0.75,0.1,0.05
,20.0,3,0.65,0.05,0.75,0.1283631724584037,0.44649525,12.2222,2.9141874666666667,0.4,0.5,,,,,,,,,,0.65,0.05,0.75,0.1,0.05
,21.0,3,0.65,0.05,0.75,0.1283631724584037,0.44649525,12.2222,2.9141874666666667,0.4,0.5,,,,,,,,,,0.65,0.05,0.75,0.1,0.05
,22.0,4,0.65,0.05,0.75,0.1283631724584037,0.44649525,12.2222,2.9141874666666667,0.4,0.5,,,,,,,,,,0.65,0.05,0.75,0.1,0.05
,23.0,4,0.65,0.05,0.75,0.1283631724584037,0.44649525,12.2222,2.9141874666666667,0.4,0.5,,,,,,,,,,0.65,0.05,0.75,0.1,0.05
,24.0,4,0.65,0.05,0.75,0.1283631724584037,0.44649525,12.2222,2.9141874666666667,0.4,0.5,,,,,,,,,,0.65,0.05,0.75,0.1,0.05
,25.0,4,0.65,0.05,0.75,0.1283631724584037,0.44649525,12.2222,2.9141874666666667,0.4,0.5,,,,,,,,,,0.65,0.05,0.75,0.1,0.05
,26.0,4,0.65,0.05,0.75,0.1283631724584037,0.44649525,12.2222,2.9141874666666667,0.4,0.5,,,,,,,,,,0.65,0.05,0.75,0.1,0.05
,27.0,4,0.65,0.05,0.75,0.1283631724584037,0.44649525,12.2222,2.9141874666666667,0.4,0.5,,,,,,,,,,0.65,0.05,0.75,0.1,0.05
,28.0,4,0.65,0.05,0.75,0.1283631724584037,0.44649525,12.2222,2.9141874666666667,0.4,0.5,,,,,,,,,,0.65,0.05,0.75,0.1,0.05
,29.0,5,0.65,0.05,0.75,0.1283631724584037,0.44649525,12.2222,2.9141874666666667,0.4,0.5,,,,,,,,,,0.65,0.05,0.75,0.1,0.05
,30.0,5,0.65,0.05,0.75,0.1283631724584037,0.44649525,12.2222,2.9141874666666667,0.4,0.5,,,,,,,,,,0.65,0.05,0.75,0.1,0.05
,31.0,5,0.65,0.05,0.75,0.1283631724584037,0.44649525,12.2222,2.9141874666666667,0.4,0.5,,,,,,,,,,0.65,0.05,0.75,0.1,0.05
