Semana (Semana),DDT (DDT),FECHA,FECHA (Cambios),Urea (Lbs),Urea (Cambios),MAP 12-61-0 (Lbs),MAP 12-61-0 (Cambios),Kcl Soluble (Lbs),Kcl Soluble (Cambios),Sulfato de Magnesio (Lbs),Sulfato de Magnesio (Cambios),Nitrato de Calcio (Lbs),Nitrato de Calcio (Cambios),Solubor (Gramos),Solubor (Cambios),",@ Melaza (Lts)",",@ Melaza (Cambios)",Admin_Costo / Aplicación (Costo / Aplicación)
2,14,38533,,17.275362164515393,,59.04503968477869,,29.91802243532602,,17.695979225597114,,8.302257874252401,,427.70923317073164,,20.019999999999996,,1021.7110740739352
4,28,38547,,21.592500870622537,,73.79170420290521,,37.392484093965,,22.11699062498763,,10.376422645516195,,790.7621673170731,,20.019999999999996,,1272.8135288273943
6,42,38561,,25.921638957433675,,88.57684751093866,,44.88712155337409,,26.5499356524132,,12.456186205977211,,1084.1943307317072,,20.019999999999996,,1523.7105454104776
8,56,38575,,30.657140719545158,,103.32483888388957,,52.744923426645435,,31.19768598446995,,14.6367279719882,,1452.2239439024386,,20.019999999999996,,1779.0741823080593
10,70,38589,,35.364197792768316,,118.10865533709864,,60.585239605916016,,35.83509383889632,,16.812417454028274,,1840.148554146341,,20.019999999999996,,2034.8925568467014
12,84,38603,,39.91199384326543,,132.85531985522516,,68.27087464594896,,40.38101054505384,,18.945182885556314,,2138.5520253658533,,20.019999999999996,,2287.5053102296174
14,98,38617,,44.21874846813831,,147.641790018083,,75.74533630458794,,44.802021944444355,,21.019347656820102,,2436.9525668292686,,20.019999999999996,,2538.258017638026
16,112,38631,,48.53735632930525,,162.3884545362095,,83.22114301661159,,49.22382891903721,,23.093885680697046,,2436.9525668292686,,20.019999999999996,,2784.909605932208
18,126,38645,,83.2324002506298,,118.05160057965041,,104.39631845155013,,61.74856932943937,,28.970001569487028,,2436.9525668292686,,20.019999999999996,,2519.902520946061
20,140,38659,,114.6698738513759,,62.6275477105967,,119.9411004182391,,70.943031942856,,33.28368201963921,,2436.9525668292686,,20.019999999999996,,2069.3453543602495
22,154,38673,,106.55619148572904,,62.6275477105967,,149.96315561452494,,88.70054469997933,,41.61480900817635,,2436.9525668292686,,20.019999999999996,,2270.3036118340083
24,168,38687,,98.44250912008219,,62.6275477105967,,179.98521081081074,,106.45805745710267,,49.945935996713494,,2436.9525668292686,,20.019999999999996,,2471.2618693077675
26,182,38701,,98.44250912008219,,62.6275477105967,,179.98521081081074,,106.45805745710267,,49.945935996713494,,2436.9525668292686,,20.019999999999996,,2471.2618693077675
28,196,38715,,98.44250912008219,,62.6275477105967,,179.98521081081074,,106.45805745710267,,49.945935996713494,,2436.9525668292686,,20.019999999999996,,2471.2618693077675
30,210,38729,,98.44250912008219,,62.6275477105967,,179.98521081081074,,106.45805745710267,,49.945935996713494,,2436.9525668292686,,20.019999999999996,,2471.2618693077675
32,224,38743,,98.44250912008219,,62.6275477105967,,179.98521081081074,,106.45805745710267,,49.945935996713494,,2436.9525668292686,,20.019999999999996,,2471.2618693077675
34,238,38757,,98.44250912008219,,62.6275477105967,,179.98521081081074,,106.45805745710267,,49.945935996713494,,2436.9525668292686,,20.019999999999996,,2471.2618693077675
36,252,38771,,123.34251415480603,,82.64447959114888,,227.2188296756756,,134.39590461893542,,63.053275728073245,,2436.9525668292686,,20.019999999999996,,3144.3943821568623
38,266,38785,,123.34251415480603,,82.64447959114888,,227.2188296756756,,134.39590461893542,,63.053275728073245,,2436.9525668292686,,20.019999999999996,,3144.3943821568623
40,280,38799,,118.38506457763505,,82.64447959114888,,280.2365566,,165.75494903002033,,77.76570673129034,,2436.9525668292686,,20.019999999999996,,3528.32852901024
42,294,38813,,118.38506457763505,,82.64447959114888,,280.2365566,,165.75494903002033,,77.76570673129034,,2436.9525668292686,,20.019999999999996,,3528.32852901024
44,308,38827,,118.38506457763505,,82.64447959114888,,280.2365566,,165.75494903002033,,77.76570673129034,,2436.9525668292686,,20.019999999999996,,3528.32852901024
46,322,38841,,118.38506457763505,,82.64447959114888,,280.2365566,,165.75494903002033,,77.76570673129034,,2436.9525668292686,,20.019999999999996,,3528.32852901024
48,336,38855,,118.38506457763505,,82.64447959114888,,280.2365566,,165.75494903002033,,77.76570673129034,,2436.9525668292686,,20.019999999999996,,3528.32852901024
50,350,38869,,118.38506457763505,,82.64447959114888,,280.2365566,,165.75494903002033,,77.76570673129034,,2436.9525668292686,,20.019999999999996,,3528.32852901024
52,364,38883,,118.38506457763505,,82.64447959114888,,280.2365566,,165.75494903002033,,77.76570673129034,,2436.9525668292686,,20.019999999999996,,3528.32852901024
