Calendario de Fertilización para Goteo 1 Vez Por Semana,Calendario de Fertilización para Goteo 1 Vez Por Semana_1,Calendario de Fertilización para Goteo 1 Vez Por Semana_2,Calendario de Fertilización para Goteo 1 Vez Por Semana_3,Calendario de Fertilización para Goteo 1 Vez Por Semana_4,Calendario de Fertilización para Goteo 1 Vez Por Semana_5,Calendario de Fertilización para Goteo 1 Vez Por Semana_6,Calendario de Fertilización para Goteo 1 Vez Por Semana_7,Calendario de Fertilización para Goteo 1 Vez Por Semana_8,Calendario de Fertilización para Goteo 1 Vez Por Semana_9,Calendario de Fertilización para Goteo 1 Vez Por Semana_10,Calendario de Fertilización para Goteo 1 Vez Por Semana_11,Calendario de Fertilización para Goteo 1 Vez Por Semana_12,Columna_13,Columna_14,Columna_15,Columna_16,Columna_17,Columna_18
1,7,38526,,8.102458708650683,,27.67421107203212,,14.027561748775573,,8.297053785179711,,3.892651502521166,,174.06755219512195,,20.019999999999996,,494.02656339170227
2,14,38533,,9.172903455864711,,31.370828612746575,,15.890460686550448,,9.3989254404174,,4.409606371731234,,253.64168097560972,,20.019999999999996,,556.713510682233
3,21,38540,,10.250009398755687,,35.047543331095376,,17.75470467771,,10.501592670857434,,4.926934493554453,,373.0014092682927,,20.019999999999996,,619.6817669350119
4,28,38547,,11.34249147186685,,38.74416087180983,,19.637779416254997,,11.615397954130193,,5.449488151961742,,417.7607580487805,,20.019999999999996,,682.1607618923824
5,35,38554,,12.41440537414069,,42.44077841252429,,21.502023407414548,,12.718065184570223,,5.9668162737849615,,492.3626024390243,,20.019999999999996,,744.8012347156359
6,42,38561,,13.507233583292985,,46.136069098414374,,23.385098145959542,,13.831870467842979,,6.4893699321922504,,591.8317282926829,,20.019999999999996,,807.9383106948418
7,49,38568,,14.582524235083,,49.81411067158756,,25.247997083734422,,14.933742123080672,,7.006324801402321,,651.5118365853658,,20.019999999999996,,870.1726722270629
8,56,38575,,16.074616484462158,,53.510728212302006,,27.496926342911014,,16.26394386138928,,7.63040317058588,,800.712107317073,,20.019999999999996,,937.9305100809967
9,63,38582,,17.146876522777138,,57.2060188981921,,29.361170334070568,,17.366611091829316,,8.147731292409103,,830.5526497560974,,20.019999999999996,,1000.0055696540853
10,70,38589,,18.217321269991178,,60.90263643890654,,31.224069271845448,,18.468482747067007,,8.664686161619171,,1009.5959043902436,,20.019999999999996,,1063.9159871926158
11,77,38596,,19.420774548025697,,64.57935115725535,,33.203987854087046,,19.639569444908076,,9.214114008173121,,1009.5959043902436,,20.019999999999996,,1126.6789970295433
12,84,38603,,20.49121929523973,,68.27596869796982,,35.06688679186192,,20.741441100145767,,9.731068877383192,,1128.9561209756098,,20.019999999999996,,1189.8553132000743
13,91,38610,,21.563133197513576,,71.97258623868426,,36.93113078302147,,21.8441083305858,,10.248396999206406,,1218.4762834146343,,20.019999999999996,,1252.679281335328
14,98,38617,,22.655615270624732,,75.66920377939873,,38.81420552156647,,22.957913613858555,,10.770950657613696,,1218.4762834146343,,20.019999999999996,,1314.6077363026986
15,105,38624,,23.732721213515706,,79.34591849774755,,40.67844951272602,,24.06058084429859,,11.288278779436915,,1218.4762834146343,,20.019999999999996,,1376.1078678974777
16,112,38631,,24.804635115789548,,83.04253603846198,,42.54269350388557,,25.16324807473862,,11.805606901260132,,1218.4762834146343,,20.019999999999996,,1437.8307380347308
