Semana (Semana),DDT (DDT),FECHA,FECHA (Cambios),Urea (Lbs),Urea (Cambios),MAP 12-61-0 (Lbs),MAP 12-61-0 (Cambios),Kcl Soluble (Lbs),Kcl Soluble (Cambios),Sulfato de Magnesio (Lbs),Sulfato de Magnesio (Cambios),Nitrato de Calcio (Lbs),Nitrato de Calcio (Cambios),Solubor (Gramos),Solubor (Cambios),",@ Melaza (Lts)",",@ Melaza (Cambios)",Admin_Costo / Aplicación (Costo / Aplicación)
1,1,38520,,1.1574941012358122,,3.953458724576016,,2.003937392682225,,1.1852933978828157,,0.5560930717887379,,24.866793170731707,,20.019999999999996,,95.45722334167174
2,8,38527,,1.3104147794092447,,4.481546944678081,,2.2700658123643493,,1.342703634345343,,0.6299437673901763,,24.866793170731707,,20.019999999999996,,104.27267841403327
3,15,38534,,1.4642870569650976,,5.006791904442196,,2.5363863825299995,,1.500227524408205,,0.7038477847934933,,44.76032536585365,,20.019999999999996,,113.30310194500167
4,22,38541,,1.6203559245524066,,5.534880124544262,,2.8053970594649997,,1.6593425648757416,,0.7784983074231061,,59.680108292682924,,20.019999999999996,,122.3335374131975
5,29,38548,,1.773486482020098,,6.062968344646327,,3.0717176296306494,,1.8168664549386033,,0.8524023248264229,,59.680108292682924,,20.019999999999996,,131.151090289948
6,36,38555,,1.929604797613284,,6.590867014059197,,3.3407283065656497,,1.9759814954061399,,0.9270528474560358,,84.54738975609757,,20.019999999999996,,140.3017586706917
7,43,38562,,2.083217747869,,7.116301524512507,,3.6068567262477744,,2.1333917318686675,,1.0009035430574742,,84.54738975609757,,20.019999999999996,,149.08751527072323
8,50,38569,,2.2963737834945945,,7.644389744614572,,3.9281323347015737,,2.3234205516270396,,1.090057595797983,,114.387443902439,,20.019999999999996,,158.8720728687138
9,57,38576,,2.4495537889681636,,8.172288414027442,,4.194452904867225,,2.480944441689902,,1.1639616132013002,,114.387443902439,,20.019999999999996,,167.6875044260122
10,64,38583,,2.6024744671415965,,8.700376634129507,,4.4605813245493495,,2.638354678152429,,1.2378123088027386,,144.2279863414634,,20.019999999999996,,176.86999817037372
11,71,38590,,2.7743963640036715,,9.22562159389362,,4.743426836298149,,2.8056527778440103,,1.3163020011675888,,144.2279863414634,,20.019999999999996,,185.83614243279192
12,78,38597,,2.927317042177105,,9.753709813995686,,5.009555255980274,,2.963063014306538,,1.3901526967690272,,144.2279863414634,,20.019999999999996,,194.65159750515343
13,85,38604,,3.080447599644795,,10.281798034097752,,5.275875826145923,,3.1205869043693992,,1.464056714172344,,174.06804048780486,,20.019999999999996,,203.83618304790397
14,92,38611,,3.236516467232105,,10.809886254199817,,5.544886503080924,,3.279701944836937,,1.5387072368019568,,174.06804048780486,,20.019999999999996,,212.6831051860998
15,99,38618,,3.390388744787957,,11.335131213963935,,5.811207073246575,,3.437225834899798,,1.6126112542052737,,174.06804048780486,,20.019999999999996,,221.46883827106822
16,106,38625,,3.543519302255648,,11.863219434066,,6.077527643412224,,3.5947497249626594,,1.6865152716085905,,174.06804048780486,,20.019999999999996,,230.28639114781868
17,113,38632,,3.699637617848835,,12.391118103478867,,6.346538320347224,,3.753864765430196,,1.7611657942382035,,174.06804048780486,,20.019999999999996,,239.1311919665624
18,120,38639,,8.190705275098276,,4.473396265042622,,8.56722145844565,,5.067359424489713,,2.377405858545658,,174.06804048780486,,20.019999999999996,,174.76588245430352
19,127,38646,,8.190705275098276,,4.473396265042622,,8.56722145844565,,5.067359424489713,,2.377405858545658,,174.06804048780486,,20.019999999999996,,174.76588245430352
20,134,38653,,8.190705275098276,,4.473396265042622,,8.56722145844565,,5.067359424489713,,2.377405858545658,,174.06804048780486,,20.019999999999996,,174.76588245430352
21,141,38660,,8.190705275098276,,4.473396265042622,,8.56722145844565,,5.067359424489713,,2.377405858545658,,174.06804048780486,,20.019999999999996,,174.76588245430352
