Semana,N,Urea,P2O5,MAP 12-61-0,K2O,Kcl Soluble,MgO,Sulfato de Magnesio,Ca,Nitrato de Calcio,B,Solubor
1,1.09196479485,1.15633776347234,2.40920062137,3.949509215360656,1.201161274335,2.001935457225,0.18945748617507546,1.1841092885942217,0.14999513424871055,0.5555375342544835,5.0926,24.841951219512197
2,1.2369807351,1.3091056737355093,2.73101262363,4.477069874803279,1.3606788086099997,2.2677980143499994,0.2146179635317232,1.3413622720732699,0.1699149022930546,0.6293144529372392,5.0926,24.841951219512197
3,1.3821013800000002,1.4628242327323655,3.05109196974,5.001790114327869,1.520311518,2.53385253,0.2397966072980148,1.4987287956125925,0.1898490528414018,0.70314464015334,9.1667,44.715609756097564
4,1.52868789,1.6187371873650418,3.372903972,5.529350773770492,1.6815566789999998,2.802594465,0.26522958079931935,1.657684879995746,0.2099845584457929,0.7777205868362699,12.2222,59.62048780487805
5,1.6738085349,1.7717147672528453,3.6947159742599998,6.056911433213115,1.84118938839,3.06864898065,0.29040822456561094,1.8150514035350684,0.22991870899414008,0.8515507740523706,12.2222,59.62048780487805
6,1.8203950449,1.9276771204927914,4.01641246611,6.584282731327869,2.0024345493899998,3.33739091565,0.3158411980669155,1.974007487918222,0.25005421459853117,0.9261267207353006,17.3149,84.46292682926831
7,1.96541098515,2.0811366112577425,4.33660732263,7.109192332180328,2.1619520836649997,3.6032534727749996,0.34100167542356324,2.1312604713972703,0.2699739826428752,0.9999036394180563,17.3149,84.46292682926831
8,2.1404771599499997,2.294079703790804,4.65841932489,7.63675299162295,2.3545248759449993,3.924208126574999,0.3713759123479784,2.321099452174865,0.29402152933611936,1.0889686271708123,23.426,114.27317073170731
9,2.28559780485,2.447106682285878,4.98011581674,8.164124289737705,2.514157585335,4.190262642225,0.3965545561142701,2.478465975714188,0.31395567988446665,1.1627988143869135,23.426,114.27317073170731
10,2.4306137451,2.599874592549048,5.301927818999999,8.691684949180328,2.67367511961,4.45612519935,0.4217150334709178,2.635718959193236,0.3338754479288107,1.2365757330696692,29.5372,144.0839024390244
11,2.5847389899,2.7716247392644076,5.622007165109999,9.216405188704917,2.8432128888899997,4.73868814815,0.4484559884665752,2.8028499279160948,0.3550464938214276,1.3149870141534354,29.5372,144.0839024390244
12,2.72975493015,2.9243926495275776,5.943819167369999,9.743965848147539,3.0027304231649996,5.004550705274999,0.4736164658232229,2.9601029113951434,0.37496626186577164,1.3887639328361912,29.5372,144.0839024390244
13,2.87487557505,3.07737022941538,6.26563116963,10.271526507590163,3.1623631325549995,5.270605220924999,0.49879510958951445,3.117469434934465,0.39490041241411883,1.4625941200522918,35.6483,173.89414634146343
14,3.02146208505,3.2332831840480574,6.5874431718899995,10.799087167032786,3.3236082935549995,5.539347155924999,0.5242280830908191,3.2764255193176197,0.4150359180185099,1.5371700667352217,35.6483,173.89414634146343
15,3.16658272995,3.3870017430449124,6.907522518,11.323807406557378,3.483241002945,5.805401671575,0.5494067268571107,3.4337920428569415,0.43497006856685716,1.6110002539513226,35.6483,173.89414634146343
16,3.31170337485,3.5399793229327154,7.22933452026,11.851368066000001,3.6428737123349997,6.0714561872249995,0.5745853706234022,3.5911585663962637,0.45490421911520434,1.6848304411674233,35.6483,173.89414634146343
17,3.45828988485,3.6959416761726627,7.551031012109999,12.378739364114754,3.8041188733349998,6.340198122225,0.6000183441247068,3.7501146507794174,0.47503972471959544,1.7594063878503534,35.6483,173.89414634146343
18,4.6683615249,8.182522752345932,2.7260456759999996,4.468927337704917,5.13519767739,8.558662795650001,0.8099675403779764,5.062297127362352,0.641258323483844,2.3750308277179406,35.6483,173.89414634146343
19,4.6683615249,8.182522752345932,2.7260456759999996,4.468927337704917,5.13519767739,8.558662795650001,0.8099675403779764,5.062297127362352,0.641258323483844,2.3750308277179406,35.6483,173.89414634146343
20,4.6683615249,8.182522752345932,2.7260456759999996,4.468927337704917,5.13519767739,8.558662795650001,0.8099675403779764,5.062297127362352,0.641258323483844,2.3750308277179406,35.6483,173.89414634146343
21,4.6683615249,8.182522752345932,2.7260456759999996,4.468927337704917,5.13519767739,8.558662795650001,0.8099675403779764,5.062297127362352,0.641258323483844,2.3750308277179406,35.6483,173.89414634146343
22,4.32,7.024583211080504,2.7260456759999996,4.468927337704917,7.705945945945945,12.843243243243244,1.2154480657297295,7.596550410810809,0.9622807705945945,3.5640028540540536,35.6483,173.89414634146343
23,4.32,7.024583211080504,2.7260456759999996,4.468927337704917,7.705945945945945,12.843243243243244,1.2154480657297295,7.596550410810809,0.9622807705945945,3.5640028540540536,35.6483,173.89414634146343
24,4.32,7.024583211080504,2.7260456759999996,4.468927337704917,7.705945945945945,12.843243243243244,1.2154480657297295,7.596550410810809,0.9622807705945945,3.5640028540540536,35.6483,173.89414634146343
25,4.32,7.024583211080504,2.7260456759999996,4.468927337704917,7.705945945945945,12.843243243243244,1.2154480657297295,7.596550410810809,0.9622807705945945,3.5640028540540536,35.6483,173.89414634146343
26,4.32,7.024583211080504,2.7260456759999996,4.468927337704917,7.705945945945945,12.843243243243244,1.2154480657297295,7.596550410810809,0.9622807705945945,3.5640028540540536,35.6483,173.89414634146343
27,4.32,7.024583211080504,2.7260456759999996,4.468927337704917,7.705945945945945,12.843243243243244,1.2154480657297295,7.596550410810809,0.9622807705945945,3.5640028540540536,35.6483,173.89414634146343
28,4.32,7.024583211080504,2.7260456759999996,4.468927337704917,7.705945945945945,12.843243243243244,1.2154480657297295,7.596550410810809,0.9622807705945945,3.5640028540540536,35.6483,173.89414634146343
29,4.32,7.024583211080504,2.7260456759999996,4.468927337704917,7.705945945945945,12.843243243243244,1.2154480657297295,7.596550410810809,0.9622807705945945,3.5640028540540536,35.6483,173.89414634146343
30,4.32,7.024583211080504,2.7260456759999996,4.468927337704917,7.705945945945945,12.843243243243244,1.2154480657297295,7.596550410810809,0.9622807705945945,3.5640028540540536,35.6483,173.89414634146343
31,4.32,7.024583211080504,2.7260456759999996,4.468927337704917,7.705945945945945,12.843243243243244,1.2154480657297295,7.596550410810809,0.9622807705945945,3.5640028540540536,35.6483,173.89414634146343
32,4.32,7.024583211080504,2.7260456759999996,4.468927337704917,7.705945945945945,12.843243243243244,1.2154480657297295,7.596550410810809,0.9622807705945945,3.5640028540540536,35.6483,173.89414634146343
33,4.32,7.024583211080504,2.7260456759999996,4.468927337704917,7.705945945945945,12.843243243243244,1.2154480657297295,7.596550410810809,0.9622807705945945,3.5640028540540536,35.6483,173.89414634146343
34,4.32,7.024583211080504,2.7260456759999996,4.468927337704917,7.705945945945945,12.843243243243244,1.2154480657297295,7.596550410810809,0.9622807705945945,3.5640028540540536,35.6483,173.89414634146343
35,5.4537,8.801378204281864,3.59734069863,5.897279833819672,9.728221621621621,16.213702702702705,1.5344187768681081,9.590117355425676,1.2148126478221621,4.499306103045044,35.6483,173.89414634146343
36,5.4537,8.801378204281864,3.59734069863,5.897279833819672,9.728221621621621,16.213702702702705,1.5344187768681081,9.590117355425676,1.2148126478221621,4.499306103045044,35.6483,173.89414634146343
37,5.4537,8.801378204281864,3.59734069863,5.897279833819672,9.728221621621621,16.213702702702705,1.5344187768681081,9.590117355425676,1.2148126478221621,4.499306103045044,35.6483,173.89414634146343
38,5.4537,8.801378204281864,3.59734069863,5.897279833819672,9.728221621621621,16.213702702702705,1.5344187768681081,9.590117355425676,1.2148126478221621,4.499306103045044,35.6483,173.89414634146343
39,5.4537,8.4476284128468,3.59734069863,5.897279833819672,11.99814,19.9969,1.8924498248039998,11.827811405024999,1.498268932314,5.549144193755555,35.6483,173.89414634146343
40,5.4537,8.4476284128468,3.59734069863,5.897279833819672,11.99814,19.9969,1.8924498248039998,11.827811405024999,1.498268932314,5.549144193755555,35.6483,173.89414634146343
41,5.4537,8.4476284128468,3.59734069863,5.897279833819672,11.99814,19.9969,1.8924498248039998,11.827811405024999,1.498268932314,5.549144193755555,35.6483,173.89414634146343
42,5.4537,8.4476284128468,3.59734069863,5.897279833819672,11.99814,19.9969,1.8924498248039998,11.827811405024999,1.498268932314,5.549144193755555,35.6483,173.89414634146343
43,5.4537,8.4476284128468,3.59734069863,5.897279833819672,11.99814,19.9969,1.8924498248039998,11.827811405024999,1.498268932314,5.549144193755555,35.6483,173.89414634146343
44,5.4537,8.4476284128468,3.59734069863,5.897279833819672,11.99814,19.9969,1.8924498248039998,11.827811405024999,1.498268932314,5.549144193755555,35.6483,173.89414634146343
45,5.4537,8.4476284128468,3.59734069863,5.897279833819672,11.99814,19.9969,1.8924498248039998,11.827811405024999,1.498268932314,5.549144193755555,35.6483,173.89414634146343
46,5.4537,8.4476284128468,3.59734069863,5.897279833819672,11.99814,19.9969,1.8924498248039998,11.827811405024999,1.498268932314,5.549144193755555,35.6483,173.89414634146343
47,5.4537,8.4476284128468,3.59734069863,5.897279833819672,11.99814,19.9969,1.8924498248039998,11.827811405024999,1.498268932314,5.549144193755555,35.6483,173.89414634146343
48,5.4537,8.4476284128468,3.59734069863,5.897279833819672,11.99814,19.9969,1.8924498248039998,11.827811405024999,1.498268932314,5.549144193755555,35.6483,173.89414634146343
49,5.4537,8.4476284128468,3.59734069863,5.897279833819672,11.99814,19.9969,1.8924498248039998,11.827811405024999,1.498268932314,5.549144193755555,35.6483,173.89414634146343
50,5.4537,8.4476284128468,3.59734069863,5.897279833819672,11.99814,19.9969,1.8924498248039998,11.827811405024999,1.498268932314,5.549144193755555,35.6483,173.89414634146343
51,5.4537,8.4476284128468,3.59734069863,5.897279833819672,11.99814,19.9969,1.8924498248039998,11.827811405024999,1.498268932314,5.549144193755555,35.6483,173.89414634146343
52,5.4537,8.4476284128468,3.59734069863,5.897279833819672,11.99814,19.9969,1.8924498248039998,11.827811405024999,1.498268932314,5.549144193755555,35.6483,173.89414634146343
