Fase,Día después Siembra,Semana,N,P2O5,K20,MgO,Ca,B Gramos/Ha,Relación N:K N/(K2O/3.3),Relación Ca:Mg (1:0.5) CaO/(Mg/1.14175),Relación K:Ca (1:1) CaO/(K2O/2.29)
1.0,1.0,1,1.09196479485,2.40920062137,1.201161274335,0.18945748617507546,0.14999513424871055,5.0926,2.9727272727272727,0.253943046,0.1248751
,2.0,1,1.09196479485,2.40920062137,1.201161274335,0.18945748617507546,0.14999513424871055,5.0926,2.9727272727272727,0.253943046,0.1248751
,3.0,1,1.09196479485,2.40920062137,1.201161274335,0.18945748617507546,0.14999513424871055,5.0926,2.9727272727272727,0.253943046,0.1248751
,4.0,1,1.09196479485,2.40920062137,1.201161274335,0.18945748617507546,0.14999513424871055,5.0926,2.9727272727272727,0.253943046,0.1248751
,5.0,1,1.09196479485,2.40920062137,1.201161274335,0.18945748617507546,0.14999513424871055,5.0926,2.9727272727272727,0.253943046,0.1248751
,6.0,1,1.09196479485,2.40920062137,1.201161274335,0.18945748617507546,0.14999513424871055,5.0926,2.9727272727272727,0.253943046,0.1248751
,7.0,1,1.09196479485,2.40920062137,1.201161274335,0.18945748617507546,0.14999513424871055,5.0926,2.9727272727272727,0.253943046,0.1248751
,8.0,2,1.2369807351,2.73101262363,1.3606788086099997,0.2146179635317232,0.1699149022930546,5.0926,2.972727272727273,0.253943046,0.12487510000000002
,9.0,2,1.2369807351,2.73101262363,1.3606788086099997,0.2146179635317232,0.1699149022930546,5.0926,2.972727272727273,0.253943046,0.12487510000000002
,10.0,2,1.2369807351,2.73101262363,1.3606788086099997,0.2146179635317232,0.1699149022930546,5.0926,2.972727272727273,0.253943046,0.12487510000000002
,11.0,2,1.2369807351,2.73101262363,1.3606788086099997,0.2146179635317232,0.1699149022930546,9.1667,2.972727272727273,0.253943046,0.12487510000000002
,12.0,2,1.2369807351,2.73101262363,1.3606788086099997,0.2146179635317232,0.1699149022930546,9.1667,2.972727272727273,0.253943046,0.12487510000000002
,13.0,2,1.2369807351,2.73101262363,1.3606788086099997,0.2146179635317232,0.1699149022930546,9.1667,2.972727272727273,0.253943046,0.12487510000000002
,14.0,2,1.2369807351,2.73101262363,1.3606788086099997,0.2146179635317232,0.1699149022930546,9.1667,2.972727272727273,0.253943046,0.12487510000000002
1.0,15.0,3,1.3821013800000002,3.05109196974,1.520311518,0.2397966072980148,0.1898490528414018,9.1667,2.972727272727273,0.253943046,0.1248751
2.0,16.0,3,1.3821013800000002,3.05109196974,1.520311518,0.2397966072980148,0.1898490528414018,9.1667,2.972727272727273,0.253943046,0.1248751
,17.0,3,1.3821013800000002,3.05109196974,1.520311518,0.2397966072980148,0.1898490528414018,9.1667,2.972727272727273,0.253943046,0.1248751
,18.0,3,1.3821013800000002,3.05109196974,1.520311518,0.2397966072980148,0.1898490528414018,12.2222,2.972727272727273,0.253943046,0.1248751
,19.0,3,1.3821013800000002,3.05109196974,1.520311518,0.2397966072980148,0.1898490528414018,12.2222,2.972727272727273,0.253943046,0.1248751
,20.0,3,1.3821013800000002,3.05109196974,1.520311518,0.2397966072980148,0.1898490528414018,12.2222,2.972727272727273,0.253943046,0.1248751
,21.0,3,1.3821013800000002,3.05109196974,1.520311518,0.2397966072980148,0.1898490528414018,12.2222,2.972727272727273,0.253943046,0.1248751
,22.0,4,1.52868789,3.372903972,1.6815566789999998,0.26522958079931935,0.2099845584457929,12.2222,2.9727272727272736,0.253943046,0.1248751
,23.0,4,1.52868789,3.372903972,1.6815566789999998,0.26522958079931935,0.2099845584457929,12.2222,2.9727272727272736,0.253943046,0.1248751
,24.0,4,1.52868789,3.372903972,1.6815566789999998,0.26522958079931935,0.2099845584457929,12.2222,2.9727272727272736,0.253943046,0.1248751
2.0,25.0,4,1.52868789,3.372903972,1.6815566789999998,0.26522958079931935,0.2099845584457929,12.2222,2.9727272727272736,0.253943046,0.1248751
3.0,26.0,4,1.52868789,3.372903972,1.6815566789999998,0.26522958079931935,0.2099845584457929,12.2222,2.9727272727272736,0.253943046,0.1248751
,27.0,4,1.52868789,3.372903972,1.6815566789999998,0.26522958079931935,0.2099845584457929,12.2222,2.9727272727272736,0.253943046,0.1248751
,28.0,4,1.52868789,3.372903972,1.6815566789999998,0.26522958079931935,0.2099845584457929,12.2222,2.9727272727272736,0.253943046,0.1248751
,29.0,5,1.6738085349,3.6947159742599998,1.84118938839,0.29040822456561094,0.22991870899414008,12.2222,2.9727272727272727,0.253943046,0.1248751
3.0,30.0,5,1.6738085349,3.6947159742599998,1.84118938839,0.29040822456561094,0.22991870899414008,12.2222,2.9727272727272727,0.253943046,0.1248751
4.0,31.0,5,1.6738085349,3.6947159742599998,1.84118938839,0.29040822456561094,0.22991870899414008,12.2222,2.9727272727272727,0.253943046,0.1248751
,32.0,5,1.6738085349,3.6947159742599998,1.84118938839,0.29040822456561094,0.22991870899414008,12.2222,2.9727272727272727,0.253943046,0.1248751
,33.0,5,1.6738085349,3.6947159742599998,1.84118938839,0.29040822456561094,0.22991870899414008,17.3149,2.9727272727272727,0.253943046,0.1248751
,34.0,5,1.6738085349,3.6947159742599998,1.84118938839,0.29040822456561094,0.22991870899414008,17.3149,2.9727272727272727,0.253943046,0.1248751
4.0,35.0,5,1.6738085349,3.6947159742599998,1.84118938839,0.29040822456561094,0.22991870899414008,17.3149,2.9727272727272727,0.253943046,0.1248751
5.0,36.0,6,1.8203950449,4.01641246611,2.0024345493899998,0.3158411980669155,0.25005421459853117,17.3149,2.9727272727272727,0.253943046,0.1248751
,37.0,6,1.8203950449,4.01641246611,2.0024345493899998,0.3158411980669155,0.25005421459853117,17.3149,2.9727272727272727,0.253943046,0.1248751
,38.0,6,1.8203950449,4.01641246611,2.0024345493899998,0.3158411980669155,0.25005421459853117,17.3149,2.9727272727272727,0.253943046,0.1248751
,39.0,6,1.8203950449,4.01641246611,2.0024345493899998,0.3158411980669155,0.25005421459853117,17.3149,2.9727272727272727,0.253943046,0.1248751
,40.0,6,1.8203950449,4.01641246611,2.0024345493899998,0.3158411980669155,0.25005421459853117,17.3149,2.9727272727272727,0.253943046,0.1248751
,41.0,6,1.8203950449,4.01641246611,2.0024345493899998,0.3158411980669155,0.25005421459853117,17.3149,2.9727272727272727,0.253943046,0.1248751
,42.0,6,1.8203950449,4.01641246611,2.0024345493899998,0.3158411980669155,0.25005421459853117,17.3149,2.9727272727272727,0.253943046,0.1248751
