Columna_0,N,Columna_2,P2O5,Columna_4,K2O,Columna_6,MgO,Columna_8,Ca,Columna_10,B,Columna_12
Porcentaje de Elemento,,46.0,,46.0,,60.0,,16.0,,1000000.0,,100000.0
,,0.46,,0.46,,0.6,,0.16,,10000.0,,1000.0
1,5.315,10.82788279773157,0.854,1.8565217391304347,4.464,7.440000000000001,1.145986650693137,7.162416566832107,5.315079456000001e-09,5.315079456000001e-13,5.0926,0.0050926
,5.315,10.82788279773157,0.854,1.8565217391304347,4.464,7.440000000000001,1.145986650693137,7.162416566832107,5.315079456000001e-09,5.315079456000001e-13,5.0926,0.0050926
,5.315,10.82788279773157,0.854,1.8565217391304347,4.464,7.440000000000001,1.145986650693137,7.162416566832107,5.315079456000001e-09,5.315079456000001e-13,5.0926,0.0050926
,5.315,10.82788279773157,0.854,1.8565217391304347,4.464,7.440000000000001,1.145986650693137,7.162416566832107,5.315079456000001e-09,5.315079456000001e-13,5.0926,0.0050926
,5.315,10.82788279773157,0.854,1.8565217391304347,4.464,7.440000000000001,1.145986650693137,7.162416566832107,5.315079456000001e-09,5.315079456000001e-13,5.0926,0.0050926
,5.315,10.82788279773157,0.854,1.8565217391304347,4.464,7.440000000000001,1.145986650693137,7.162416566832107,5.315079456000001e-09,5.315079456000001e-13,5.0926,0.0050926
,5.315,10.82788279773157,0.854,1.8565217391304347,4.464,7.440000000000001,1.145986650693137,7.162416566832107,5.315079456000001e-09,5.315079456000001e-13,5.0926,0.0050926
2,5.315,10.82788279773157,0.854,1.8565217391304347,4.464,7.440000000000001,1.145986650693137,7.162416566832107,5.315079456000001e-09,5.315079456000001e-13,5.0926,0.0050926
,5.315,10.82788279773157,0.854,1.8565217391304347,4.464,7.440000000000001,1.145986650693137,7.162416566832107,5.315079456000001e-09,5.315079456000001e-13,5.0926,0.0050926
,5.315,10.82788279773157,0.854,1.8565217391304347,4.464,7.440000000000001,1.145986650693137,7.162416566832107,5.315079456000001e-09,5.315079456000001e-13,5.0926,0.0050926
,5.315,10.82788279773157,0.854,1.8565217391304347,4.464,7.440000000000001,1.145986650693137,7.162416566832107,5.315079456000001e-09,5.315079456000001e-13,9.1667,0.0091667
,5.315,10.82788279773157,0.854,1.8565217391304347,4.464,7.440000000000001,1.145986650693137,7.162416566832107,5.315079456000001e-09,5.315079456000001e-13,9.1667,0.0091667
,5.315,10.82788279773157,0.854,1.8565217391304347,4.464,7.440000000000001,1.145986650693137,7.162416566832107,5.315079456000001e-09,5.315079456000001e-13,9.1667,0.0091667
,5.315,10.82788279773157,0.854,1.8565217391304347,4.464,7.440000000000001,1.145986650693137,7.162416566832107,5.315079456000001e-09,5.315079456000001e-13,9.1667,0.0091667
3,5.315,10.82788279773157,0.854,1.8565217391304347,4.464,7.440000000000001,1.145986650693137,7.162416566832107,5.315079456000001e-09,5.315079456000001e-13,9.1667,0.0091667
,5.315,10.82788279773157,0.854,1.8565217391304347,4.464,7.440000000000001,1.145986650693137,7.162416566832107,5.315079456000001e-09,5.315079456000001e-13,9.1667,0.0091667
,5.315,10.82788279773157,0.854,1.8565217391304347,4.464,7.440000000000001,1.145986650693137,7.162416566832107,5.315079456000001e-09,5.315079456000001e-13,9.1667,0.0091667
,5.315,10.82788279773157,0.854,1.8565217391304347,4.464,7.440000000000001,1.145986650693137,7.162416566832107,5.315079456000001e-09,5.315079456000001e-13,12.2222,0.0122222
,5.315,10.82788279773157,0.854,1.8565217391304347,4.464,7.440000000000001,1.145986650693137,7.162416566832107,5.315079456000001e-09,5.315079456000001e-13,12.2222,0.0122222
,5.315,10.82788279773157,0.854,1.8565217391304347,4.464,7.440000000000001,1.145986650693137,7.162416566832107,5.315079456000001e-09,5.315079456000001e-13,12.2222,0.0122222
,5.315,10.82788279773157,0.854,1.8565217391304347,4.464,7.440000000000001,1.145986650693137,7.162416566832107,5.315079456000001e-09,5.315079456000001e-13,12.2222,0.0122222
4,5.315,10.82788279773157,0.854,1.8565217391304347,4.464,7.440000000000001,1.145986650693137,7.162416566832107,5.315079456000001e-09,5.315079456000001e-13,12.2222,0.0122222
,5.315,10.82788279773157,0.854,1.8565217391304347,4.464,7.440000000000001,1.145986650693137,7.162416566832107,5.315079456000001e-09,5.315079456000001e-13,12.2222,0.0122222
,5.315,10.82788279773157,0.854,1.8565217391304347,4.464,7.440000000000001,1.145986650693137,7.162416566832107,5.315079456000001e-09,5.315079456000001e-13,12.2222,0.0122222
,5.315,10.82788279773157,0.854,1.8565217391304347,4.464,7.440000000000001,1.145986650693137,7.162416566832107,5.315079456000001e-09,5.315079456000001e-13,12.2222,0.0122222
,5.315,10.82788279773157,0.854,1.8565217391304347,4.464,7.440000000000001,1.145986650693137,7.162416566832107,5.315079456000001e-09,5.315079456000001e-13,12.2222,0.0122222
,5.315,10.82788279773157,0.854,1.8565217391304347,4.464,7.440000000000001,1.145986650693137,7.162416566832107,5.315079456000001e-09,5.315079456000001e-13,12.2222,0.0122222
,5.315,10.82788279773157,0.854,1.8565217391304347,4.464,7.440000000000001,1.145986650693137,7.162416566832107,5.315079456000001e-09,5.315079456000001e-13,12.2222,0.0122222
