Semana (Semana),DDT (DDT),FECHA,FECHA (Cambios),Nitrato de Amonio (Lbs),Nitrato de Amonio (Cambios),FofatoMonoPotasico (Lbs),FofatoMonoPotasico (Cambios),Kcl Soluble (Lbs),Kcl Soluble (Cambios),Sulfato de Magnesio (Lbs),Sulfato de Magnesio (Cambios),Nitrato de Calcio (Lbs),Nitrato de Calcio (Cambios),Solubor (Gramos),Solubor (Cambios),Melaza (Lts),Melaza (Cambios),Admin_Costo / Aplicación (Costo / Aplicación)
2,1,39449,,25.146626001395838,,10.078754531999998,,26.829324731706855,,20.885085421504606,,43.04957570549693,,427.70923317073175,,20.019999999999996,,960.3061486422132
4,15,39463,,25.146626001395838,,10.078754531999998,,26.829324731706855,,20.885085421504606,,43.04957570549693,,790.7621673170731,,20.019999999999996,,974.8282660080667
6,29,39477,,35.7047622222689,,14.310449999999992,,38.093963781719985,,29.653958703056407,,61.12449695036672,,1084.1943307317076,,20.019999999999996,,1359.0435045657152
8,43,39491,,35.7047622222689,,15.884599500000002,,37.20194573172001,,29.653958703056407,,61.12449695036672,,1452.2239439024388,,20.019999999999996,,1387.7420872195448
10,57,39505,,34.55251529800306,,17.458749,,46.474635813698384,,36.1778296177288,,74.57188627944738,,1840.148554146341,,20.019999999999996,,1629.9184712130004
12,71,39519,,37.988885671902814,,19.195083599999993,,51.096703419213746,,39.775843273699664,,81.98832524275855,,2138.5520253658533,,20.019999999999996,,1791.0604506555412
14,85,39533,,28.085783616335654,,19.195083599999993,,51.096703419213746,,39.775843273699664,,81.98832524275855,,2436.952566829269,,20.019999999999996,,1762.8889089890308
16,99,39547,,30.639036672366167,,21.489525749999995,,55.4305120305059,,43.39182902585416,,89.4418093557366,,2436.952566829269,,20.019999999999996,,1914.0725038956814
18,113,39561,,30.639036672366167,,23.783967899999993,,54.13032814550589,,43.39182902585416,,89.4418093557366,,2436.952566829269,,20.019999999999996,,1934.4456205595814
20,127,39575,,34.30140661257693,,23.783967899999993,,62.211691139690366,,48.578575984461494,,100.13303954960071,,2436.952566829269,,20.019999999999996,,2122.079338357086
22,141,39589,,35.73275961581601,,23.783967899999993,,70.29305413387483,,53.7653229430688,,110.82426974346484,,2436.952566829269,,20.019999999999996,,2300.6774375598548
24,155,39603,,33.50174267884429,,23.783967899999993,,70.29305413387483,,53.7653229430688,,110.82426974346484,,2436.952566829269,,20.019999999999996,,2291.6418189651195
26,169,39617,,33.50174267884429,,23.783967899999993,,70.29305413387483,,53.7653229430688,,110.82426974346484,,2436.952566829269,,20.019999999999996,,2291.6418189651195
28,183,39631,,33.50174267884429,,23.783967899999993,,70.29305413387483,,53.7653229430688,,110.82426974346484,,2436.952566829269,,20.019999999999996,,2291.6418189651195
30,197,39645,,33.50174267884429,,23.783967899999993,,70.29305413387483,,53.7653229430688,,110.82426974346484,,2436.952566829269,,20.019999999999996,,2291.6418189651195
32,211,39659,,33.50174267884429,,23.783967899999993,,70.29305413387483,,53.7653229430688,,110.82426974346484,,2436.952566829269,,20.019999999999996,,2291.6418189651195
34,225,39673,,33.50174267884429,,23.783967899999993,,70.29305413387483,,53.7653229430688,,110.82426974346484,,2436.952566829269,,20.019999999999996,,2291.6418189651195
36,239,39687,,33.50174267884429,,23.783967899999993,,70.29305413387483,,53.7653229430688,,110.82426974346484,,2436.952566829269,,20.019999999999996,,2291.6418189651195
38,253,39701,,33.50174267884429,,23.783967899999993,,70.29305413387483,,53.7653229430688,,110.82426974346484,,2436.952566829269,,20.019999999999996,,2291.6418189651195
40,267,39715,,33.50174267884429,,23.783967899999993,,70.29305413387483,,53.7653229430688,,110.82426974346484,,2436.952566829269,,20.019999999999996,,2291.6418189651195
42,281,39729,,33.50174267884429,,23.783967899999993,,70.29305413387483,,53.7653229430688,,110.82426974346484,,2436.952566829269,,20.019999999999996,,2291.6418189651195
44,295,39743,,33.50174267884429,,23.783967899999993,,70.29305413387483,,53.7653229430688,,110.82426974346484,,2436.952566829269,,20.019999999999996,,2291.6418189651195
46,309,39757,,33.50174267884429,,23.783967899999993,,70.29305413387483,,53.7653229430688,,110.82426974346484,,2436.952566829269,,20.019999999999996,,2291.6418189651195
48,223,39671,,33.50174267884429,,23.783967899999993,,70.29305413387483,,53.7653229430688,,110.82426974346484,,2436.952566829269,,20.019999999999996,,2291.6418189651195
50,337,39785,,33.50174267884429,,23.783967899999993,,70.29305413387483,,53.7653229430688,,110.82426974346484,,2436.952566829269,,20.019999999999996,,2291.6418189651195
52,351,39799,,33.50174267884429,,23.783967899999993,,70.29305413387483,,53.7653229430688,,110.82426974346484,,2436.952566829269,,20.019999999999996,,2291.6418189651195
