Semana (Semana),DDT (DDT),FECHA,FECHA (Cambios),Nitrato de Amonio (Lbs),Nitrato de Amonio (Cambios),FofatoMonoPotasico (Lbs),FofatoMonoPotasico (Cambios),Kcl Soluble (Lbs),Kcl Soluble (Cambios),Sulfato de Magnesio (Lbs),Sulfato de Magnesio (Cambios),Nitrato de Calcio (Lbs),Nitrato de Calcio (Cambios),Solubor (Gramos),Solubor (Cambios),Melaza (Lts),Melaza (Cambios),Admin_Costo / Aplicación (Costo / Aplicación)
1,1,39449,,3.5923751430565485,,1.4398220759999996,,3.8327606759581214,,2.983583631643515,,6.149939386499562,,49.733586341463415,,20.019999999999996,,184.77988335585624
2,8,39456,,3.5923751430565485,,1.4398220759999996,,3.8327606759581214,,2.983583631643515,,6.149939386499562,,49.733586341463415,,20.019999999999996,,184.77988335585624
3,15,39463,,3.5923751430565485,,1.4398220759999996,,3.8327606759581214,,2.983583631643515,,6.149939386499562,,89.5206507317073,,20.019999999999996,,186.371365931466
4,22,39470,,3.5923751430565485,,1.4398220759999996,,3.8327606759581214,,2.983583631643515,,6.149939386499562,,119.36021658536585,,20.019999999999996,,187.56494856561233
5,29,39477,,5.100680317466986,,2.0443499999999997,,5.44199482596,,4.2362798147223435,,8.732070992909529,,119.36021658536585,,20.019999999999996,,240.77608456862134
6,36,39484,,5.100680317466986,,2.0443499999999997,,5.44199482596,,4.2362798147223435,,8.732070992909529,,169.09477951219515,,20.019999999999996,,242.7654670856945
7,43,39491,,5.100680317466986,,2.0443499999999997,,5.44199482596,,4.2362798147223435,,8.732070992909529,,169.09477951219515,,20.019999999999996,,242.7654670856945
8,50,39498,,5.100680317466986,,2.4941069999999996,,5.187132525959999,,4.2362798147223435,,8.732070992909529,,228.774887804878,,20.019999999999996,,249.14621373940182
9,57,39505,,4.9360736140004375,,2.4941069999999996,,6.639233687671198,,5.168261373961259,,10.653126611349625,,228.774887804878,,20.019999999999996,,279.52935680464464
10,64,39512,,4.9360736140004375,,2.4941069999999996,,6.639233687671198,,5.168261373961259,,10.653126611349625,,288.4559726829268,,20.019999999999996,,281.9166001997666
11,71,39519,,5.42698366741469,,2.7421547999999993,,7.29952905988768,,5.682263324814237,,11.71261789182265,,288.4559726829268,,20.019999999999996,,303.2317202845895
12,78,39526,,5.42698366741469,,2.7421547999999993,,7.29952905988768,,5.682263324814237,,11.71261789182265,,288.4559726829268,,20.019999999999996,,303.2317202845895
13,85,39533,,4.012254802333665,,2.7421547999999993,,7.29952905988768,,5.682263324814237,,11.71261789182265,,348.13608097560973,,20.019999999999996,,299.88927271271865
14,92,39540,,4.012254802333665,,2.7421547999999993,,7.29952905988768,,5.682263324814237,,11.71261789182265,,348.13608097560973,,20.019999999999996,,299.88927271271865
15,99,39547,,4.377005238909453,,2.7421547999999993,,8.104385130786559,,6.198832717979166,,12.777401336533798,,348.13608097560973,,20.019999999999996,,318.57648389025445
16,106,39554,,4.377005238909453,,3.397709699999999,,7.732904020786557,,6.198832717979166,,12.777401336533798,,348.13608097560973,,20.019999999999996,,324.39737436565446
17,113,39561,,4.377005238909453,,3.397709699999999,,7.732904020786557,,6.198832717979166,,12.777401336533798,,348.13608097560973,,20.019999999999996,,324.39737436565446
18,120,39568,,4.377005238909453,,3.397709699999999,,7.732904020786557,,6.198832717979166,,12.777401336533798,,348.13608097560973,,20.019999999999996,,324.39737436565446
19,127,39575,,4.377005238909453,,3.397709699999999,,7.732904020786557,,6.198832717979166,,12.777401336533798,,348.13608097560973,,20.019999999999996,,324.39737436565446
20,134,39582,,5.423396650398246,,3.397709699999999,,10.041864876267836,,7.6807604204384,,15.832038534780692,,348.13608097560973,,20.019999999999996,,378.00700802208434
21,141,39589,,5.423396650398246,,3.397709699999999,,10.041864876267836,,7.6807604204384,,15.832038534780692,,348.13608097560973,,20.019999999999996,,378.00700802208434
22,148,39596,,4.7859632398348975,,3.397709699999999,,10.041864876267836,,7.6807604204384,,15.832038534780692,,348.13608097560973,,20.019999999999996,,375.4254027093028
