Fase,Día Después Siembra,Semana,N,P2O5,K20,MgO,Ca,B Gramos/Ha,Relación N:K N/(K2O/3.36),Relación Ca:Mg (1:0.5) (CaO/1.39)/MgO,Relación K:Ca (1:1)     (CaO/1.19)/K2O,Columna_12
,1.0,1,1.0772658730426454,0.37397975999999994,1.39320475095648,0.23844824228919204,0.8294124047726684,5.0926,2.6,0.4,0.5,
,2.0,1,1.0772658730426454,0.37397975999999994,1.39320475095648,0.23844824228919204,0.8294124047726684,5.0926,2.6,0.4,0.5,
,3.0,1,1.0772658730426454,0.37397975999999994,1.39320475095648,0.23844824228919204,0.8294124047726684,5.0926,2.6,0.4,0.5,
,4.0,1,1.0772658730426454,0.37397975999999994,1.39320475095648,0.23844824228919204,0.8294124047726684,5.0926,2.6,0.4,0.5,
,5.0,1,1.0772658730426454,0.37397975999999994,1.39320475095648,0.23844824228919204,0.8294124047726684,5.0926,2.6,0.4,0.5,
,6.0,1,1.0772658730426454,0.37397975999999994,1.39320475095648,0.23844824228919204,0.8294124047726684,5.0926,2.6,0.4,0.5,
,7.0,1,1.0772658730426454,0.37397975999999994,1.39320475095648,0.23844824228919204,0.8294124047726684,5.0926,2.6,0.4,0.5,
,8.0,2,1.0772658730426454,0.37397975999999994,1.39320475095648,0.23844824228919204,0.8294124047726684,5.0926,2.6,0.4,0.5,
,9.0,2,1.0772658730426454,0.37397975999999994,1.39320475095648,0.23844824228919204,0.8294124047726684,5.0926,2.6,0.4,0.5,
,10.0,2,1.0772658730426454,0.37397975999999994,1.39320475095648,0.23844824228919204,0.8294124047726684,5.0926,2.6,0.4,0.5,
,11.0,2,1.0772658730426454,0.37397975999999994,1.39320475095648,0.23844824228919204,0.8294124047726684,9.1667,2.6,0.4,0.5,
,12.0,2,1.0772658730426454,0.37397975999999994,1.39320475095648,0.23844824228919204,0.8294124047726684,9.1667,2.6,0.4,0.5,
,13.0,2,1.0772658730426454,0.37397975999999994,1.39320475095648,0.23844824228919204,0.8294124047726684,9.1667,2.6,0.4,0.5,
,14.0,2,1.0772658730426454,0.37397975999999994,1.39320475095648,0.23844824228919204,0.8294124047726684,9.1667,2.6,0.4,0.5,
,15.0,3,1.0772658730426454,0.37397975999999994,1.39320475095648,0.23844824228919204,0.8294124047726684,9.1667,2.6,0.4,0.5,
,16.0,3,1.0772658730426454,0.37397975999999994,1.39320475095648,0.23844824228919204,0.8294124047726684,9.1667,2.6,0.4,0.5,
,17.0,3,1.0772658730426454,0.37397975999999994,1.39320475095648,0.23844824228919204,0.8294124047726684,9.1667,2.6,0.4,0.5,
,18.0,3,1.0772658730426454,0.37397975999999994,1.39320475095648,0.23844824228919204,0.8294124047726684,12.2222,2.6,0.4,0.5,
,19.0,3,1.0772658730426454,0.37397975999999994,1.39320475095648,0.23844824228919204,0.8294124047726684,12.2222,2.6,0.4,0.5,
,20.0,3,1.0772658730426454,0.37397975999999994,1.39320475095648,0.23844824228919204,0.8294124047726684,12.2222,2.6,0.4,0.5,
,21.0,3,1.0772658730426454,0.37397975999999994,1.39320475095648,0.23844824228919204,0.8294124047726684,12.2222,2.6,0.4,0.5,
,22.0,4,1.0772658730426454,0.37397975999999994,1.39320475095648,0.23844824228919204,0.8294124047726684,12.2222,2.6,0.4,0.5,
,23.0,4,1.0772658730426454,0.37397975999999994,1.39320475095648,0.23844824228919204,0.8294124047726684,12.2222,2.6,0.4,0.5,
,24.0,4,1.0772658730426454,0.37397975999999994,1.39320475095648,0.23844824228919204,0.8294124047726684,12.2222,2.6,0.4,0.5,
,25.0,4,1.0772658730426454,0.37397975999999994,1.39320475095648,0.23844824228919204,0.8294124047726684,12.2222,2.6,0.4,0.5,
,26.0,4,1.0772658730426454,0.37397975999999994,1.39320475095648,0.23844824228919204,0.8294124047726684,12.2222,2.6,0.4,0.5,
,27.0,4,1.0772658730426454,0.37397975999999994,1.39320475095648,0.23844824228919204,0.8294124047726684,12.2222,2.6,0.4,0.5,
