Semana,DDT,FECHA,Admin_col_3_Cambios,Nitrato de Amonio (Lbs),Admin_Nitrato de Amonio_Cambios,FofatoMonoPotasico (Lbs),Admin_FofatoMonoPotasico_Cambios,Kcl Soluble (Lbs),Admin_Kcl Soluble_Cambios,Sulfato de Magnesio (Lbs),Admin_Sulfato de Magnesio_Cambios,Nitrato de Calcio (Lbs),Admin_Nitrato de Calcio_Cambios,Solubor (Gramos),Admin_Solubor_Cambios,Melaza (Lts),Admin_Melaza_Cambios,Admin_Costo / Aplicación
1,1,39449,,21.404252136309292,,11.474142722415253,,15.209761802483206,,13.934962242937857,,28.72356995068383,,174.06755219512195,,20.019999999999996,,715.8444067508815
2,8,39456,,30.57750305187042,,16.391632460593218,,21.72823114640458,,19.907088918482657,,41.03367135811977,,253.64168097560975,,20.019999999999996,,998.8098167577052
3,15,39463,,46.630692154102384,,24.99723950240465,,33.13555249826698,,30.358310600686046,,62.57634882113265,,373.00140926829266,,20.019999999999996,,1493.20348438672
4,22,39470,,85.61700854523717,,45.896570889661014,,60.83904720993282,,55.73984897175143,,114.89427980273533,,417.7607580487805,,20.019999999999996,,2684.069248974258
5,29,39477,,113.13676129192055,,60.64904010419489,,80.39445524169693,,73.6562289983858,,151.82458402504312,,492.36260243902444,,20.019999999999996,,3526.40065731668
6,36,39484,,141.77371328503537,,77.86025418781777,,103.20909794542176,,94.55867236279263,,194.90993895106888,,591.831728292683,,20.019999999999996,,4495.5668031894775
7,43,39491,,125.5437814747211,,80.31899905690675,,106.46833261738246,,97.54473570056503,,201.06498965478684,,651.5118365853659,,20.019999999999996,,4553.538173013202
8,50,39498,,141.40732079192222,,73.14765985539722,,189.2372795412008,,148.05897383121473,,305.1879307260157,,800.7121073170731,,20.019999999999996,,6243.003884531691
9,57,39505,,136.14122743541014,,73.14765985539722,,189.2372795412008,,148.05897383121473,,305.1879307260157,,830.5526497560975,,20.019999999999996,,6222.869828135378
10,64,39512,,129.1197696267274,,73.14765985539722,,189.2372795412008,,148.05897383121473,,305.1879307260157,,1009.595904390244,,20.019999999999996,,6201.594654195579
11,71,39519,,129.1197696267274,,73.14765985539722,,189.2372795412008,,148.05897383121473,,305.1879307260157,,1009.595904390244,,20.019999999999996,,6201.594654195579
12,78,39526,,129.1197696267274,,73.14765985539722,,189.2372795412008,,148.05897383121473,,305.1879307260157,,1128.9561209756096,,20.019999999999996,,6206.369062858994
13,85,39533,,129.1197696267274,,73.14765985539722,,189.2372795412008,,148.05897383121473,,305.1879307260157,,1218.4762834146343,,20.019999999999996,,6209.949869356555
14,92,39540,,129.1197696267274,,73.14765985539722,,189.2372795412008,,148.05897383121473,,305.1879307260157,,1218.4762834146343,,20.019999999999996,,6209.949869356555
