Semana,DDT,FECHA,Admin_col_3_Cambios,Nitrato de Amonio (Lbs),Admin_Nitrato de Amonio_Cambios,FofatoMonoPotasico (Lbs),Admin_FofatoMonoPotasico_Cambios,Kcl Soluble (Lbs),Admin_Kcl Soluble_Cambios,Sulfato de Magnesio (Lbs),Admin_Sulfato de Magnesio_Cambios,Nitrato de Calcio (Lbs),Admin_Nitrato de Calcio_Cambios,Solubor (Gramos),Admin_Solubor_Cambios,Melaza (Lts),Admin_Melaza_Cambios,Admin_Costo / Aplicación
1,3,39451,Furadan 48 SC,10.702126068154646,,5.737071361207627,,7.604880901241603,,6.9674811214689285,,14.361784975341916,,87.03377609756097,,20.019999999999996,3.788785,1837.0548583754407
2,10,39458,Actara 25 WG,15.28875152593521,,8.195816230296609,,10.86411557320229,,9.953544459241328,,20.516835679059884,,126.82084048780487,,20.019999999999996,400.4,1828.7329083788527
3,17,39465,,23.315346077051192,,12.498619751202325,,16.56777624913349,,15.179155300343023,,31.288174410566324,,186.50070463414633,,20.019999999999996,,774.62974219336
4,24,39472,Actara 25 WG,42.808504272618585,,22.948285444830507,,30.41952360496641,,27.869924485875714,,57.44713990136766,,208.88037902439024,,20.019999999999996,400.4,2671.362624487129
5,31,39479,BaZam,56.568380645960275,,30.324520052097444,,40.197227620848466,,36.8281144991929,,75.91229201252156,,246.18130121951222,,20.019999999999996,1.001,2171.60832865834
6,38,39486,,70.88685664251769,,38.93012709390889,,51.60454897271088,,47.27933618139632,,97.45496947553444,,295.9158641463415,,20.019999999999996,,2275.811401594739
7,45,39493,,62.77189073736055,,40.159499528453374,,53.23416630869123,,48.772367850282514,,100.53249482739342,,325.75591829268296,,20.019999999999996,,2304.7970865066013
8,52,39500,,70.70366039596111,,36.57382992769861,,94.6186397706004,,74.02948691560736,,152.59396536300784,,400.35605365853655,,20.019999999999996,,3149.529942265846
9,59,39507,TricoZam,68.07061371770507,,36.57382992769861,,94.6186397706004,,74.02948691560736,,152.59396536300784,,415.27632487804874,,20.019999999999996,1.001,3519.8429140676894
10,66,39514,,64.5598848133637,,36.57382992769861,,94.6186397706004,,74.02948691560736,,152.59396536300784,,504.797952195122,,20.019999999999996,,3128.82532709779
11,73,39521,,64.5598848133637,,36.57382992769861,,94.6186397706004,,74.02948691560736,,152.59396536300784,,504.797952195122,,20.019999999999996,,3128.82532709779
12,80,39528,,64.5598848133637,,36.57382992769861,,94.6186397706004,,74.02948691560736,,152.59396536300784,,564.4780604878048,,20.019999999999996,,3131.212531429497
13,87,39535,,64.5598848133637,,36.57382992769861,,94.6186397706004,,74.02948691560736,,152.59396536300784,,609.2381417073171,,20.019999999999996,,3133.0029346782776
14,94,39542,,64.5598848133637,,36.57382992769861,,94.6186397706004,,74.02948691560736,,152.59396536300784,,609.2381417073171,,20.019999999999996,,3133.0029346782776
