Semana,DDT,FECHA,Admin_col_3_Cambios,Nitrato de Amonio (Lbs),Admin_Nitrato de Amonio_Cambios,MAP 12-61-0 (Lbs),Admin_MAP 12-61-0_Cambios,Kcl Soluble (Lbs),Admin_Kcl Soluble_Cambios,Sulfato de Magnesio (Lbs),Admin_Sulfato de Magnesio_Cambios,Nitrato de Calcio (Lbs),Admin_Nitrato de Calcio_Cambios,Solubor (Gramos),Admin_Solubor_Cambios,Melaza (Lts),Admin_Melaza_Cambios,Admin_Costo / Aplicación
1,1,37789,,1.618549930401378,,1.7852706189147283,,3.628968276266666,,2.9114117543280873,,4.800939548900012,,38.79219734634147,,20.019999999999996,,107.11042289076619
2,8,37796,,1.618549930401378,,1.7852706189147283,,3.628968276266666,,2.9114117543280873,,4.800939548900012,,38.79219734634147,,20.019999999999996,,107.11042289076619
3,15,37803,,2.832462378202412,,3.1242235831007745,,6.350694483466666,,5.094970570074154,,8.401644210575022,,69.82610757073171,,20.019999999999996,,165.73278654482328
4,22,37810,,4.046374826003445,,4.463176547286821,,9.072420690666664,,7.27852938582022,,12.00234887225003,,93.10096893658537,,20.019999999999996,,224.1099642549506
5,29,37817,,4.046374826003445,,4.463176547286821,,9.072420690666664,,7.27852938582022,,12.00234887225003,,93.10096893658537,,20.019999999999996,,224.1099642549506
6,36,37824,,6.474199721605512,,7.141082475658913,,14.515873105066664,,11.64564701731235,,19.20375819560005,,131.8939280195122,,20.019999999999996,,340.6192059439038
7,43,37831,,6.474199721605512,,7.141082475658913,,14.515873105066664,,11.64564701731235,,19.20375819560005,,131.8939280195122,,20.019999999999996,,340.6192059439038
8,50,37838,,6.474199721605512,,7.141082475658913,,14.515873105066664,,11.64564701731235,,19.20375819560005,,178.44441248780487,,20.019999999999996,,342.09020125310184
9,57,37845,,6.474199721605512,,7.141082475658913,,14.515873105066664,,11.64564701731235,,19.20375819560005,,178.44441248780487,,20.019999999999996,,342.09020125310184
10,64,37852,,6.474199721605512,,7.141082475658913,,14.515873105066664,,11.64564701731235,,19.20375819560005,,224.99565869268292,,20.019999999999996,,343.561220633176
11,71,37859,,6.474199721605512,,7.141082475658913,,14.515873105066664,,11.64564701731235,,19.20375819560005,,224.99565869268292,,20.019999999999996,,343.561220633176
12,78,37866,,6.474199721605512,,7.141082475658913,,14.515873105066664,,11.64564701731235,,19.20375819560005,,224.99565869268292,,20.019999999999996,,343.561220633176
13,85,37873,,6.474199721605512,,7.141082475658913,,14.515873105066664,,11.64564701731235,,19.20375819560005,,271.5461431609756,,20.019999999999996,,345.0322159423741
14,92,37880,,6.474199721605512,,7.141082475658913,,14.515873105066664,,11.64564701731235,,19.20375819560005,,271.5461431609756,,20.019999999999996,,345.0322159423741
15,99,37887,,6.474199721605512,,7.141082475658913,,14.515873105066664,,11.64564701731235,,19.20375819560005,,271.5461431609756,,20.019999999999996,,345.0322159423741
16,106,37894,,6.474199721605512,,7.141082475658913,,14.515873105066664,,11.64564701731235,,19.20375819560005,,271.5461431609756,,20.019999999999996,,345.0322159423741
17,113,37901,,6.474199721605512,,7.141082475658913,,14.515873105066664,,11.64564701731235,,19.20375819560005,,271.5461431609756,,20.019999999999996,,345.0322159423741
18,120,37908,,6.474199721605512,,7.141082475658913,,14.515873105066664,,11.64564701731235,,19.20375819560005,,271.5461431609756,,20.019999999999996,,345.0322159423741
19,127,37915,,6.474199721605512,,7.141082475658913,,14.515873105066664,,11.64564701731235,,19.20375819560005,,271.5461431609756,,20.019999999999996,,345.0322159423741
20,134,37922,,6.474199721605512,,7.141082475658913,,14.515873105066664,,11.64564701731235,,19.20375819560005,,271.5461431609756,,20.019999999999996,,345.0322159423741
21,141,37929,,6.474199721605512,,7.141082475658913,,14.515873105066664,,11.64564701731235,,19.20375819560005,,271.5461431609756,,20.019999999999996,,345.0322159423741
22,148,37936,,6.474199721605512,,7.141082475658913,,14.515873105066664,,11.64564701731235,,19.20375819560005,,271.5461431609756,,20.019999999999996,,345.0322159423741
23,155,37943,,6.474199721605512,,7.141082475658913,,14.515873105066664,,11.64564701731235,,19.20375819560005,,271.5461431609756,,20.019999999999996,,345.0322159423741
24,162,37950,,6.474199721605512,,7.141082475658913,,14.515873105066664,,11.64564701731235,,19.20375819560005,,271.5461431609756,,20.019999999999996,,345.0322159423741
25,169,37957,,6.474199721605512,,7.141082475658913,,14.515873105066664,,11.64564701731235,,19.20375819560005,,271.5461431609756,,20.019999999999996,,345.0322159423741
26,176,37964,,6.474199721605512,,7.141082475658913,,14.515873105066664,,11.64564701731235,,19.20375819560005,,271.5461431609756,,20.019999999999996,,345.0322159423741
27,183,37971,,6.474199721605512,,7.141082475658913,,14.515873105066664,,11.64564701731235,,19.20375819560005,,271.5461431609756,,20.019999999999996,,345.0322159423741
28,190,37978,,6.474199721605512,,7.141082475658913,,14.515873105066664,,11.64564701731235,,19.20375819560005,,271.5461431609756,,20.019999999999996,,345.0322159423741
29,197,37985,,6.474199721605512,,7.141082475658913,,14.515873105066664,,11.64564701731235,,19.20375819560005,,271.5461431609756,,20.019999999999996,,345.0322159423741
30,204,37992,,6.474199721605512,,7.141082475658913,,14.515873105066664,,11.64564701731235,,19.20375819560005,,271.5461431609756,,20.019999999999996,,345.0322159423741
31,211,37999,,0.6245783928260867,,4.760721650439275,,19.19320999447703,,15.398133278446329,,25.391635836404504,,271.5461431609756,,20.019999999999996,,362.5196082436646
32,218,38006,,0.6245783928260867,,4.760721650439275,,19.19320999447703,,15.398133278446329,,25.391635836404504,,271.5461431609756,,20.019999999999996,,362.5196082436646
33,225,38013,,0.6245783928260867,,4.760721650439275,,19.19320999447703,,15.398133278446329,,25.391635836404504,,271.5461431609756,,20.019999999999996,,362.5196082436646
34,232,38020,,0.6245783928260867,,4.760721650439275,,19.19320999447703,,15.398133278446329,,25.391635836404504,,271.5461431609756,,20.019999999999996,,362.5196082436646
