Semana (Semana),DDT (DDT),FECHA,FECHA (Cambios),Nitrato de Amonio (Lbs),Nitrato de Amonio (Cambios),MAP 12-61-0 (Lbs),MAP 12-61-0 (Cambios),Kcl Soluble (Lbs),Kcl Soluble (Cambios),Sulfato de Magnesio (Lbs),Sulfato de Magnesio (Cambios),Nitrato de Calcio (Lbs),Nitrato de Calcio (Cambios),Solubor (Gramos),Solubor (Cambios),",@ Melaza (Lts)",",@ Melaza (Cambios)",Admin_Costo / Aplicación (Costo / Aplicación)
1,1,37789,,0.809274965200689,,0.8926353094573641,,1.814484138133333,,1.4557058771640436,,2.400469774450006,,19.396098673170734,,20.019999999999996,,68.06971144538309
2,8,37796,,0.809274965200689,,0.8926353094573641,,1.814484138133333,,1.4557058771640436,,2.400469774450006,,19.396098673170734,,20.019999999999996,,68.06971144538309
3,15,37803,,1.416231189101206,,1.5621117915503873,,3.175347241733333,,2.547485285037077,,4.200822105287511,,34.913053785365854,,20.019999999999996,,97.38089327241164
4,22,37810,,2.0231874130017227,,2.2315882736434105,,4.536210345333332,,3.63926469291011,,6.001174436125015,,46.55048446829269,,20.019999999999996,,126.5694821274753
5,29,37817,,2.0231874130017227,,2.2315882736434105,,4.536210345333332,,3.63926469291011,,6.001174436125015,,46.55048446829269,,20.019999999999996,,126.5694821274753
6,36,37824,,3.237099860802756,,3.5705412378294565,,7.257936552533332,,5.822823508656175,,9.601879097800024,,65.9469640097561,,20.019999999999996,,184.8241029719519
7,43,37831,,3.237099860802756,,3.5705412378294565,,7.257936552533332,,5.822823508656175,,9.601879097800024,,65.9469640097561,,20.019999999999996,,184.8241029719519
8,50,37838,,3.237099860802756,,3.5705412378294565,,7.257936552533332,,5.822823508656175,,9.601879097800024,,89.22220624390243,,20.019999999999996,,185.55960062655092
9,57,37845,,3.237099860802756,,3.5705412378294565,,7.257936552533332,,5.822823508656175,,9.601879097800024,,89.22220624390243,,20.019999999999996,,185.55960062655092
10,64,37852,,3.237099860802756,,3.5705412378294565,,7.257936552533332,,5.822823508656175,,9.601879097800024,,112.49782934634146,,20.019999999999996,,186.295110316588
11,71,37859,,3.237099860802756,,3.5705412378294565,,7.257936552533332,,5.822823508656175,,9.601879097800024,,112.49782934634146,,20.019999999999996,,186.295110316588
12,78,37866,,3.237099860802756,,3.5705412378294565,,7.257936552533332,,5.822823508656175,,9.601879097800024,,112.49782934634146,,20.019999999999996,,186.295110316588
13,85,37873,,3.237099860802756,,3.5705412378294565,,7.257936552533332,,5.822823508656175,,9.601879097800024,,135.7730715804878,,20.019999999999996,,187.03060797118704
14,92,37880,,3.237099860802756,,3.5705412378294565,,7.257936552533332,,5.822823508656175,,9.601879097800024,,135.7730715804878,,20.019999999999996,,187.03060797118704
15,99,37887,,3.237099860802756,,3.5705412378294565,,7.257936552533332,,5.822823508656175,,9.601879097800024,,135.7730715804878,,20.019999999999996,,187.03060797118704
16,106,37894,,3.237099860802756,,3.5705412378294565,,7.257936552533332,,5.822823508656175,,9.601879097800024,,135.7730715804878,,20.019999999999996,,187.03060797118704
17,113,37901,,3.237099860802756,,3.5705412378294565,,7.257936552533332,,5.822823508656175,,9.601879097800024,,135.7730715804878,,20.019999999999996,,187.03060797118704
18,120,37908,,3.237099860802756,,3.5705412378294565,,7.257936552533332,,5.822823508656175,,9.601879097800024,,135.7730715804878,,20.019999999999996,,187.03060797118704
19,127,37915,,3.237099860802756,,3.5705412378294565,,7.257936552533332,,5.822823508656175,,9.601879097800024,,135.7730715804878,,20.019999999999996,,187.03060797118704
20,134,37922,,3.237099860802756,,3.5705412378294565,,7.257936552533332,,5.822823508656175,,9.601879097800024,,135.7730715804878,,20.019999999999996,,187.03060797118704
21,141,37929,,3.237099860802756,,3.5705412378294565,,7.257936552533332,,5.822823508656175,,9.601879097800024,,135.7730715804878,,20.019999999999996,,187.03060797118704
22,148,37936,,3.237099860802756,,3.5705412378294565,,7.257936552533332,,5.822823508656175,,9.601879097800024,,135.7730715804878,,20.019999999999996,,187.03060797118704
