Semana,N,Nitrato de Amonio,P2O5,MAP 12-61-0,K2O,Kcl Soluble,MgO,Sulfato de Magnesio,Ca,Nitrato de Calcio,B,Solubor
1,0.7495466188979675,0.8084664987019871,0.5439635751937983,0.8917435658914727,1.08760288,1.8126714666666666,0.23268026008616088,1.4542516255385054,0.64747935974176,2.398071702747259,3.9722280000000003,19.376721951219515
2,0.7495466188979675,0.8084664987019871,0.5439635751937983,0.8917435658914727,1.08760288,1.8126714666666666,0.23268026008616088,1.4542516255385054,0.64747935974176,2.398071702747259,3.9722280000000003,19.376721951219515
3,1.3117065830714434,1.4148163727284777,0.9519362565891472,1.5605512403100774,1.9033050399999998,3.1721750666666666,0.4071904551507816,2.544940344692385,1.13308887954808,4.196625479807704,7.150026,34.8781756097561
4,1.873866547244919,2.021166246754968,1.359908937984496,2.229358914728682,2.7190071999999996,4.531678666666666,0.5817006502154023,3.635629063846264,1.6186983993544,5.9951792568681475,9.533316000000001,46.50398048780489
5,1.873866547244919,2.021166246754968,1.359908937984496,2.229358914728682,2.7190071999999996,4.531678666666666,0.5817006502154023,3.635629063846264,1.6186983993544,5.9951792568681475,9.533316000000001,46.50398048780489
6,2.99818647559187,3.2338659948079482,2.1758543007751934,3.566974263565891,4.35041152,7.250685866666666,0.9307210403446435,5.817006502154022,2.58991743896704,9.592286810989036,13.505622000000002,65.88108292682928
7,2.99818647559187,3.2338659948079482,2.1758543007751934,3.566974263565891,4.35041152,7.250685866666666,0.9307210403446435,5.817006502154022,2.58991743896704,9.592286810989036,13.505622000000002,65.88108292682928
8,2.99818647559187,3.2338659948079482,2.1758543007751934,3.566974263565891,4.35041152,7.250685866666666,0.9307210403446435,5.817006502154022,2.58991743896704,9.592286810989036,18.27228,89.1330731707317
9,2.99818647559187,3.2338659948079482,2.1758543007751934,3.566974263565891,4.35041152,7.250685866666666,0.9307210403446435,5.817006502154022,2.58991743896704,9.592286810989036,18.27228,89.1330731707317
10,2.99818647559187,3.2338659948079482,2.1758543007751934,3.566974263565891,4.35041152,7.250685866666666,0.9307210403446435,5.817006502154022,2.58991743896704,9.592286810989036,23.039016,112.38544390243904
