Fase,Día después Siembra,Semana,N,P2O5,K20,MgO,Ca,B Gramos/Ha,Relación N:K N/(K2O/3.36),Relación Ca:Mg (1:0.5) (CaO/1.39)/MgO,Relación K:Ca (1:1)     (CaO/1.19)/K2O,Columna_12
1.0,1.0,1,0.7495466188979675,0.5439635751937983,1.08760288,0.23268026008616088,0.64747935974176,3.9722280000000003,2.317360997759834,0.5,0.5,0.64747935974176
,2.0,1,0.7495466188979675,0.5439635751937983,1.08760288,0.23268026008616088,0.64747935974176,3.9722280000000003,2.317360997759834,0.5,0.5,0.64747935974176
,3.0,1,0.7495466188979675,0.5439635751937983,1.08760288,0.23268026008616088,0.64747935974176,3.9722280000000003,2.317360997759834,0.5,0.5,0.64747935974176
,4.0,1,0.7495466188979675,0.5439635751937983,1.08760288,0.23268026008616088,0.64747935974176,3.9722280000000003,2.317360997759834,0.5,0.5,0.64747935974176
,5.0,1,0.7495466188979675,0.5439635751937983,1.08760288,0.23268026008616088,0.64747935974176,3.9722280000000003,2.317360997759834,0.5,0.5,0.64747935974176
,6.0,1,0.7495466188979675,0.5439635751937983,1.08760288,0.23268026008616088,0.64747935974176,3.9722280000000003,2.317360997759834,0.5,0.5,0.64747935974176
,7.0,1,0.7495466188979675,0.5439635751937983,1.08760288,0.23268026008616088,0.64747935974176,3.9722280000000003,2.317360997759834,0.5,0.5,0.64747935974176
,8.0,2,0.7495466188979675,0.5439635751937983,1.08760288,0.23268026008616088,0.64747935974176,3.9722280000000003,2.317360997759834,0.5,0.5,0.64747935974176
,9.0,2,0.7495466188979675,0.5439635751937983,1.08760288,0.23268026008616088,0.64747935974176,3.9722280000000003,2.317360997759834,0.5,0.5,0.64747935974176
,10.0,2,0.7495466188979675,0.5439635751937983,1.08760288,0.23268026008616088,0.64747935974176,3.9722280000000003,2.317360997759834,0.5,0.5,0.64747935974176
,11.0,2,1.3117065830714434,0.9519362565891472,1.9033050399999998,0.4071904551507816,1.13308887954808,7.150026,2.317360997759835,0.5,0.5,1.13308887954808
,12.0,2,1.3117065830714434,0.9519362565891472,1.9033050399999998,0.4071904551507816,1.13308887954808,7.150026,2.317360997759835,0.5,0.5,1.13308887954808
,13.0,2,1.3117065830714434,0.9519362565891472,1.9033050399999998,0.4071904551507816,1.13308887954808,7.150026,2.317360997759835,0.5,0.5,1.13308887954808
,14.0,2,1.3117065830714434,0.9519362565891472,1.9033050399999998,0.4071904551507816,1.13308887954808,7.150026,2.317360997759835,0.5,0.5,1.13308887954808
1.0,15.0,3,1.3117065830714434,0.9519362565891472,1.9033050399999998,0.4071904551507816,1.13308887954808,7.150026,2.317360997759835,0.5,0.5,1.13308887954808
2.0,16.0,3,1.3117065830714434,0.9519362565891472,1.9033050399999998,0.4071904551507816,1.13308887954808,7.150026,2.317360997759835,0.5,0.5,1.13308887954808
,17.0,3,1.3117065830714434,0.9519362565891472,1.9033050399999998,0.4071904551507816,1.13308887954808,7.150026,2.317360997759835,0.5,0.5,1.13308887954808
,18.0,3,1.873866547244919,1.359908937984496,2.7190071999999996,0.5817006502154023,1.6186983993544,9.533316000000001,2.317360997759835,0.5,0.5,1.6186983993544
,19.0,3,1.873866547244919,1.359908937984496,2.7190071999999996,0.5817006502154023,1.6186983993544,9.533316000000001,2.317360997759835,0.5,0.5,1.6186983993544
,20.0,3,1.873866547244919,1.359908937984496,2.7190071999999996,0.5817006502154023,1.6186983993544,9.533316000000001,2.317360997759835,0.5,0.5,1.6186983993544
,21.0,3,1.873866547244919,1.359908937984496,2.7190071999999996,0.5817006502154023,1.6186983993544,9.533316000000001,2.317360997759835,0.5,0.5,1.6186983993544
,22.0,4,1.873866547244919,1.359908937984496,2.7190071999999996,0.5817006502154023,1.6186983993544,9.533316000000001,2.317360997759835,0.5,0.5,1.6186983993544
,23.0,4,1.873866547244919,1.359908937984496,2.7190071999999996,0.5817006502154023,1.6186983993544,9.533316000000001,2.317360997759835,0.5,0.5,1.6186983993544
,24.0,4,1.873866547244919,1.359908937984496,2.7190071999999996,0.5817006502154023,1.6186983993544,9.533316000000001,2.317360997759835,0.5,0.5,1.6186983993544
2.0,25.0,4,1.873866547244919,1.359908937984496,2.7190071999999996,0.5817006502154023,1.6186983993544,9.533316000000001,2.317360997759835,0.5,0.5,1.6186983993544
3.0,26.0,4,1.873866547244919,1.359908937984496,2.7190071999999996,0.5817006502154023,1.6186983993544,9.533316000000001,2.317360997759835,0.5,0.5,1.6186983993544
,27.0,4,1.873866547244919,1.359908937984496,2.7190071999999996,0.5817006502154023,1.6186983993544,9.533316000000001,2.317360997759835,0.5,0.5,1.6186983993544
,28.0,4,1.873866547244919,1.359908937984496,2.7190071999999996,0.5817006502154023,1.6186983993544,9.533316000000001,2.317360997759835,0.5,0.5,1.6186983993544
,29.0,5,1.873866547244919,1.359908937984496,2.7190071999999996,0.5817006502154023,1.6186983993544,9.533316000000001,2.317360997759835,0.5,0.5,1.6186983993544
3.0,30.0,5,1.873866547244919,1.359908937984496,2.7190071999999996,0.5817006502154023,1.6186983993544,9.533316000000001,2.317360997759835,0.5,0.5,1.6186983993544
4.0,31.0,5,1.873866547244919,1.359908937984496,2.7190071999999996,0.5817006502154023,1.6186983993544,9.533316000000001,2.317360997759835,0.5,0.5,1.6186983993544
