Semana,DDT,FECHA,Admin_col_3_Cambios,Nitrato de Amonio (Lbs),Admin_Nitrato de Amonio_Cambios,MAP 12-61-0 (Lbs),Admin_MAP 12-61-0_Cambios,Sulfato de Potasio (Lbs),Admin_Sulfato de Potasio_Cambios,Sulfato de Magnesio (Lbs),Admin_Sulfato de Magnesio_Cambios,Nitrato de Calcio (Lbs),Admin_Nitrato de Calcio_Cambios,Solubor (Gramos),Admin_Solubor_Cambios,Melaza (Lts),Admin_Melaza_Cambios,Admin_Costo / Aplicación
2,14,37802,,17.638044113348347,,19.45487212919896,,45.630518266666655,,31.726922963831722,,52.31793098160269,,427.70923317073164,,20.019999999999996,,888.439066225142
4,28,37816,,33.97917321836225,,37.47923895478035,,87.90585136666664,,61.12098394502877,,100.78895527338167,,790.7621673170731,,20.019999999999996,,1683.6078717498672
6,42,37830,,51.87660033337749,,57.22021214470282,,134.2074066666666,,93.31447930538742,,153.87626759294906,,1084.1943307317072,,20.019999999999996,,2551.214406900965
8,56,37844,,58.1017923733828,,64.08663760206716,,150.3122954666666,,104.5122168220339,,172.34141970410295,,1452.2239439024386,,20.019999999999996,,2861.3951266031418
10,70,37858,,58.1017923733828,,64.08663760206716,,150.3122954666666,,104.5122168220339,,172.34141970410295,,1840.148554146341,,20.019999999999996,,2873.653544286849
12,84,37872,,58.1017923733828,,64.08663760206716,,150.3122954666666,,104.5122168220339,,172.34141970410295,,2138.5520253658533,,20.019999999999996,,2883.0830939773855
14,98,37886,,58.1017923733828,,64.08663760206716,,150.3122954666666,,104.5122168220339,,172.34141970410295,,2436.9525668292686,,20.019999999999996,,2892.5125510876296
16,112,37900,,58.1017923733828,,64.08663760206716,,150.3122954666666,,104.5122168220339,,172.34141970410295,,2436.9525668292686,,20.019999999999996,,2892.5125510876296
18,126,37914,,58.1017923733828,,64.08663760206716,,150.3122954666666,,104.5122168220339,,172.34141970410295,,2436.9525668292686,,20.019999999999996,,2892.5125510876296
20,140,37928,,58.1017923733828,,64.08663760206716,,150.3122954666666,,104.5122168220339,,172.34141970410295,,2436.9525668292686,,20.019999999999996,,2892.5125510876296
22,154,37942,,58.1017923733828,,64.08663760206716,,150.3122954666666,,104.5122168220339,,172.34141970410295,,2436.9525668292686,,20.019999999999996,,2892.5125510876296
24,168,37956,,58.1017923733828,,64.08663760206716,,150.3122954666666,,104.5122168220339,,172.34141970410295,,2436.9525668292686,,20.019999999999996,,2892.5125510876296
26,182,37970,,58.1017923733828,,64.08663760206716,,150.3122954666666,,104.5122168220339,,172.34141970410295,,2436.9525668292686,,20.019999999999996,,2892.5125510876296
28,196,37984,,58.1017923733828,,64.08663760206716,,150.3122954666666,,104.5122168220339,,172.34141970410295,,2436.9525668292686,,20.019999999999996,,2892.5125510876296
30,210,37998,OJO,58.1017923733828,,64.08663760206716,,150.3122954666666,,104.5122168220339,,172.34141970410295,,2436.9525668292686,,20.019999999999996,,2892.5125510876296
32,224,38012,,0,,42.72442506804478,,233.81912628148137,,142.60469214513066,,239.9880993687019,,2436.9525668292686,,20.019999999999996,,3247.7450905099827
34,238,38026,,0,,42.72442506804478,,233.81912628148137,,145.53488255459965,,239.9880993687019,,2436.9525668292686,,20.019999999999996,,3258.5867950250176
36,252,38040,,0,,42.72442506804478,,233.81912628148137,,145.53488255459965,,239.9880993687019,,2436.9525668292686,,20.019999999999996,,3258.5867950250176
38,266,38054,,0,,42.72442506804478,,233.81912628148137,,145.53488255459965,,239.9880993687019,,2436.9525668292686,,20.019999999999996,,3258.5867950250176
40,280,38068,,0,,42.72442506804478,,233.81912628148137,,145.53488255459965,,239.9880993687019,,2436.9525668292686,,20.019999999999996,,3258.5867950250176
42,294,38082,,0,,42.72442506804478,,233.81912628148137,,145.53488255459965,,239.9880993687019,,2436.9525668292686,,20.019999999999996,,3258.5867950250176
44,308,38096,,0,,42.72442506804478,,233.81912628148137,,145.53488255459965,,239.9880993687019,,2436.9525668292686,,20.019999999999996,,3258.5867950250176
46,322,38110,,0,,42.72442506804478,,233.81912628148137,,145.53488255459965,,239.9880993687019,,2436.9525668292686,,20.019999999999996,,3258.5867950250176
48,336,38124,,0,,42.72442506804478,,233.81912628148137,,145.53488255459965,,239.9880993687019,,2436.9525668292686,,20.019999999999996,,3258.5867950250176
50,350,38138,,0,,42.72442506804478,,233.81912628148137,,145.53488255459965,,239.9880993687019,,2436.9525668292686,,20.019999999999996,,3258.5867950250176
52,364,38152,,0,,42.72442506804478,,233.81912628148137,,145.53488255459965,,239.9880993687019,,2436.9525668292686,,20.019999999999996,,3258.5867950250176
