Semana,DDT,FECHA,Admin_col_3_Cambios,Nitrato de Amonio (Lbs),Admin_Nitrato de Amonio_Cambios,MAP 12-61-0 (Lbs),Admin_MAP 12-61-0_Cambios,Sulfato de Potasio (Lbs),Admin_Sulfato de Potasio_Cambios,Sulfato de Magnesio (Lbs),Admin_Sulfato de Magnesio_Cambios,Nitrato de Calcio (Lbs),Admin_Nitrato de Calcio_Cambios,Solubor (Gramos),Admin_Solubor_Cambios,Melaza (Lts),Admin_Melaza_Cambios,Admin_Costo / Aplicación
2,14,37802,,2.6539301436412692e-15,,19.45487212919896,,45.630518266666655,,55.77063343703703,,90.43886503303301,,427.70923317073164,,20.019999999999996,,1119.1879108807248
4,28,37816,,0,,37.47923895478035,,87.90585136666664,,107.44048500370367,,174.22781351951951,,790.7621673170731,,20.019999999999996,,2128.138734248122
6,42,37830,,0,,57.22021214470282,,134.2074066666666,,164.03127481481482,,265.99666186186175,,1084.1943307317072,,20.019999999999996,,3229.887479417385
8,56,37844,,0,,64.08663760206716,,150.3122954666666,,183.71502779259256,,297.91626128528515,,1452.2239439024386,,20.019999999999996,,3621.5089678215313
10,70,37858,,0,,64.08663760206716,,150.3122954666666,,183.71502779259256,,297.91626128528515,,1840.148554146341,,20.019999999999996,,3633.7673855052385
12,84,37872,,0,,64.08663760206716,,150.3122954666666,,183.71502779259256,,297.91626128528515,,2138.5520253658533,,20.019999999999996,,3643.196935195775
14,98,37886,,0,,64.08663760206716,,150.3122954666666,,183.71502779259256,,297.91626128528515,,2436.9525668292686,,20.019999999999996,,3652.626392306019
16,112,37900,,0,,64.08663760206716,,150.3122954666666,,183.71502779259256,,297.91626128528515,,2436.9525668292686,,20.019999999999996,,3652.626392306019
18,126,37914,,0,,64.08663760206716,,150.3122954666666,,183.71502779259256,,297.91626128528515,,2436.9525668292686,,20.019999999999996,,3652.626392306019
20,140,37928,,0,,64.08663760206716,,150.3122954666666,,183.71502779259256,,297.91626128528515,,2436.9525668292686,,20.019999999999996,,3652.626392306019
22,154,37942,,0,,64.08663760206716,,150.3122954666666,,183.71502779259256,,297.91626128528515,,2436.9525668292686,,20.019999999999996,,3652.626392306019
24,168,37956,,0,,64.08663760206716,,150.3122954666666,,183.71502779259256,,297.91626128528515,,2436.9525668292686,,20.019999999999996,,3652.626392306019
26,182,37970,,0,,64.08663760206716,,150.3122954666666,,183.71502779259256,,297.91626128528515,,2436.9525668292686,,20.019999999999996,,3652.626392306019
28,196,37984,,0,,64.08663760206716,,150.3122954666666,,183.71502779259256,,297.91626128528515,,2436.9525668292686,,20.019999999999996,,3652.626392306019
30,210,37998,OJO,0,,64.08663760206716,,150.3122954666666,,183.71502779259256,,297.91626128528515,,2436.9525668292686,,20.019999999999996,,3652.626392306019
32,224,38012,,0,,42.72442506804478,,233.81912628148137,,183.71502779259256,,239.9880993687019,,2436.9525668292686,,20.019999999999996,,3399.8533324055916
34,238,38026,,0,,42.72442506804478,,233.81912628148137,,183.71502779259256,,239.9880993687019,,2436.9525668292686,,20.019999999999996,,3399.8533324055916
36,252,38040,,0,,42.72442506804478,,233.81912628148137,,183.71502779259256,,239.9880993687019,,2436.9525668292686,,20.019999999999996,,3399.8533324055916
38,266,38054,,0,,42.72442506804478,,233.81912628148137,,183.71502779259256,,239.9880993687019,,2436.9525668292686,,20.019999999999996,,3399.8533324055916
40,280,38068,,0,,42.72442506804478,,233.81912628148137,,183.71502779259256,,239.9880993687019,,2436.9525668292686,,20.019999999999996,,3399.8533324055916
42,294,38082,,0,,42.72442506804478,,233.81912628148137,,183.71502779259256,,239.9880993687019,,2436.9525668292686,,20.019999999999996,,3399.8533324055916
44,308,38096,,0,,42.72442506804478,,233.81912628148137,,183.71502779259256,,239.9880993687019,,2436.9525668292686,,20.019999999999996,,3399.8533324055916
46,322,38110,,0,,42.72442506804478,,233.81912628148137,,183.71502779259256,,239.9880993687019,,2436.9525668292686,,20.019999999999996,,3399.8533324055916
48,336,38124,,0,,42.72442506804478,,233.81912628148137,,183.71502779259256,,239.9880993687019,,2436.9525668292686,,20.019999999999996,,3399.8533324055916
50,350,38138,,0,,42.72442506804478,,233.81912628148137,,183.71502779259256,,239.9880993687019,,2436.9525668292686,,20.019999999999996,,3399.8533324055916
52,364,38152,,0,,42.72442506804478,,233.81912628148137,,183.71502779259256,,239.9880993687019,,2436.9525668292686,,20.019999999999996,,3399.8533324055916
