Semana,DDT,FECHA,Admin_col_3_Cambios,Nitrato de Amonio (Lbs),Admin_Nitrato de Amonio_Cambios,MAP 12-61-0 (Lbs),Admin_MAP 12-61-0_Cambios,Sulfato de Potasio (Lbs),Admin_Sulfato de Potasio_Cambios,Sulfato de Magnesio (Lbs),Admin_Sulfato de Magnesio_Cambios,Nitrato de Calcio (Lbs),Admin_Nitrato de Calcio_Cambios,Solubor (Gramos),Admin_Solubor_Cambios,Melaza (Lts),Admin_Melaza_Cambios,Admin_Costo / Aplicación
1,1,37789,,0.0,,2.2888084857881132,,5.368296266666666,,6.5612509925925915,,10.63986647447447,,49.733586341463415,,20.019999999999996,,157.26449887104076
2,8,37796,,0.0,,2.2888084857881132,,5.368296266666666,,6.5612509925925915,,10.63986647447447,,49.733586341463415,,20.019999999999996,,157.26449887104076
3,15,37803,,0.0,,4.005414850129197,,9.394518466666664,,11.482189237037035,,18.619766330330325,,89.5206507317073,,20.019999999999996,,253.51970826276036
4,22,37810,,0.0,,5.722021214470283,,13.420740666666664,,16.40312748148148,,26.59966618618618,,119.36021658536585,,20.019999999999996,,349.46057670072395
5,29,37817,,0.0,,5.722021214470283,,13.420740666666664,,16.40312748148148,,26.59966618618618,,119.36021658536585,,20.019999999999996,,349.46057670072395
6,36,37824,,0.0,,9.155233943152453,,21.473185066666662,,26.245003970370366,,42.55946589789788,,169.09477951219515,,20.019999999999996,,541.0280652031875
7,43,37831,,0.0,,9.155233943152453,,21.473185066666662,,26.245003970370366,,42.55946589789788,,169.09477951219515,,20.019999999999996,,541.0280652031875
8,50,37838,,0.0,,9.155233943152453,,21.473185066666662,,26.245003970370366,,42.55946589789788,,228.774887804878,,20.019999999999996,,542.9139566252362
9,57,37845,,0.0,,9.155233943152453,,21.473185066666662,,26.245003970370366,,42.55946589789788,,228.774887804878,,20.019999999999996,,542.9139566252362
10,64,37852,,0.0,,9.155233943152453,,21.473185066666662,,26.245003970370366,,42.55946589789788,,288.4559726829268,,20.019999999999996,,544.7998789073825
11,71,37859,,0.0,,9.155233943152453,,21.473185066666662,,26.245003970370366,,42.55946589789788,,288.4559726829268,,20.019999999999996,,544.7998789073825
12,78,37866,,0.0,,9.155233943152453,,21.473185066666662,,26.245003970370366,,42.55946589789788,,288.4559726829268,,20.019999999999996,,544.7998789073825
13,85,37873,,0.0,,9.155233943152453,,21.473185066666662,,26.245003970370366,,42.55946589789788,,348.13608097560973,,20.019999999999996,,546.6857703294313
14,92,37880,,0.0,,9.155233943152453,,21.473185066666662,,26.245003970370366,,42.55946589789788,,348.13608097560973,,20.019999999999996,,546.6857703294313
15,99,37887,,0.0,,9.155233943152453,,21.473185066666662,,26.245003970370366,,42.55946589789788,,348.13608097560973,,20.019999999999996,,546.6857703294313
16,106,37894,,0.0,,9.155233943152453,,21.473185066666662,,26.245003970370366,,42.55946589789788,,348.13608097560973,,20.019999999999996,,546.6857703294313
17,113,37901,,0.0,,9.155233943152453,,21.473185066666662,,26.245003970370366,,42.55946589789788,,348.13608097560973,,20.019999999999996,,546.6857703294313
