Semana (Semana),DDT (DDT),FECHA,Seleccioné su opción (Preventivos),Preventivos (Dosis),Preventivos (Unidades),Urea (Lbs),Urea (Cambios),DAP 18-46-0 (Lbs),DAP 18-46-0 (Cambios),Kcl (Lbs),Kcl (Cambios),Sulfato de Magnesio (Lbs),Sulfato de Magnesio (Cambios),Sin Calcio,Sin Calcio (Cambios),Sin Boro,Sin Boro (Cambios),Melaza (Lts),Admin_Costo / Aplicación (Costo / Aplicación)
1,3,39929,,0.0,0,116.32066430395989,,28.074400869565217,,109.39579116666665,,70.21195403875176,,0.00390757609007269,,0.268252705,,301.0,2786.1849783959306
2,10,39936,,0.0,0,116.32066430395989,,28.074400869565217,,109.39579116666665,,70.21195403875176,,0.00390757609007269,,0.390883115,,301.0,2786.1849783959306
3,17,39943,,0.0,0,116.32066430395989,,28.074400869565217,,109.39579116666665,,70.21195403875176,,0.00390757609007269,,0.5748264725000001,,301.0,2786.1849783959306
4,24,39950,,0.0,0,110.46525554214512,,43.038223260869565,,109.39579116666665,,70.21195403875176,,0.00390757609007269,,0.643804385,,301.0,2877.522849070505
5,31,39957,,0.0,0,157.80750791735022,,61.483176086956526,,156.2797016666667,,100.30279148393107,,0.005582251557246701,,0.7587720874999999,,301.0,3749.5469272435794
6,38,39964,,0.0,0,157.80750791735022,,61.483176086956526,,156.2797016666667,,100.30279148393107,,0.005582251557246701,,0.9120623574999999,,301.0,3749.5469272435794
7,45,39971,,0.0,0,157.80750791735022,,61.483176086956526,,156.2797016666667,,100.30279148393107,,0.005582251557246701,,1.0040344125,,301.0,3749.5469272435794
8,52,39978,,0.0,0,150.007226631906,,81.41722826086955,,156.2797016666667,,100.30279148393107,,0.005582251557246701,,1.2339645499999998,,301.0,3871.2226483173026
9,59,39985,,0.0,0,225.010839947859,,122.12584239130435,,234.41955249999995,,150.4541872258966,,0.00837337733587005,,1.2799513299999998,,301.0,5385.433972475954
10,66,39992,,0.0,0,225.010839947859,,122.12584239130435,,234.41955249999995,,150.4541872258966,,0.00837337733587005,,1.5558720099999996,,301.0,5385.433972475954
11,73,39999,,0.0,0,230.40938021250923,,108.32957282608695,,234.41955249999995,,150.4541872258966,,0.00837337733587005,,1.5558720099999996,,301.0,5301.222742725481
12,80,40006,,0.0,0,230.40938021250923,,108.32957282608695,,234.41955249999995,,150.4541872258966,,0.00837337733587005,,1.7398161199999997,,301.0,5301.222742725481
13,87,40013,,0.0,0,276.4912562550111,,129.99548739130435,,281.30346299999997,,180.54502467107594,,0.01004805280304406,,1.8777742024999997,,301.0,6192.907291270578
14,94,40020,,0.0,0,321.15620437136664,,129.99548739130435,,319.68457500000005,,205.17863116508246,,0.0114190115388615,,1.8777742024999997,,301.0,6814.614455354584
15,101,40027,,0.0,0,321.15620437136664,,129.99548739130435,,319.68457500000005,,205.17863116508246,,0.0114190115388615,,1.8777742024999997,,301.0,6814.614455354584
16,108,40034,,0.0,0,321.15620437136664,,129.99548739130435,,319.68457500000005,,205.17863116508246,,0.0114190115388615,,1.8777742024999997,,301.0,6814.614455354584
17,115,40041,,0.0,0,356.8402270792962,,144.4394304347826,,355.20508333333333,,227.9762568500917,,0.012687790598735003,,1.8777742024999997,,301.0,7478.149394838426
18,122,40048,,0.0,0,356.8402270792962,,144.4394304347826,,355.20508333333333,,227.9762568500917,,0.012687790598735003,,1.8777742024999997,,301.0,7478.149394838426
19,129,40055,,0.0,0,356.8402270792962,,144.4394304347826,,355.20508333333333,,227.9762568500917,,0.012687790598735003,,1.8777742024999997,,301.0,7478.149394838426
