Semana (Semana),DDT (DDT),FECHA,FECHA (Cambios),Urea (Lbs),Urea (Cambios),DAP 18-46-0 (Lbs),DAP 18-46-0 (Cambios),Kcl (Lbs),Kcl (Cambios),Sulfato de Magnesio (Lbs),Sulfato de Magnesio (Cambios),Sin Calcio,Sin Calcio (Cambios),Sin Boro,Sin Boro (Cambios),Melaza (Lts),Melaza (Cambios),Admin_Costo / Aplicación (Costo / Aplicación)
1,1,39892,,2.3186843382849145,,0.5596226086956522,,2.1806469999999996,,1.3995738346595032,,7.789188219414e-05,,0.005347229999999999,,10.499999999999998,,68.13857099792551
2,8,39899,,2.3186843382849145,,0.5596226086956522,,2.1806469999999996,,1.3995738346595032,,7.789188219414e-05,,0.005347229999999999,,10.499999999999998,,68.13857099792551
3,15,39906,,2.3186843382849145,,0.5596226086956522,,2.1806469999999996,,1.3995738346595032,,7.789188219414e-05,,0.009625034999999999,,10.499999999999998,,68.13857099792551
4,22,39913,,2.2019652267537233,,0.8579047826086955,,2.1806469999999996,,1.3995738346595032,,7.789188219414e-05,,0.012833309999999999,,10.499999999999998,,69.95925944991038
5,29,39920,,3.145664609648177,,1.2255782608695651,,3.1152100000000003,,1.999391192370719,,0.00011127411742019999,,0.012833309999999999,,10.499999999999998,,87.3417992141577
6,36,39927,,3.145664609648177,,1.2255782608695651,,3.1152100000000003,,1.999391192370719,,0.00011127411742019999,,0.018180645,,10.499999999999998,,87.3417992141577
7,43,39934,,3.145664609648177,,1.2255782608695651,,3.1152100000000003,,1.999391192370719,,0.00011127411742019999,,0.018180645,,10.499999999999998,,87.3417992141577
8,50,39941,,2.990177275054604,,1.6229347826086953,,3.1152100000000003,,1.999391192370719,,0.00011127411742019999,,0.024597299999999996,,10.499999999999998,,89.76722887011233
9,57,39948,,4.485265912581906,,2.434402173913043,,4.672815,,2.999086788556078,,0.0001669111761303,,0.024597299999999996,,10.499999999999998,,119.95084330516849
10,64,39955,,4.485265912581906,,2.434402173913043,,4.672815,,2.999086788556078,,0.0001669111761303,,0.031014059999999993,,10.499999999999998,,119.95084330516849
11,71,39962,,4.5928780108805825,,2.1593934782608692,,4.672815,,2.999086788556078,,0.0001669111761303,,0.031014059999999993,,10.499999999999998,,118.27221414070723
12,78,39969,,4.5928780108805825,,2.1593934782608692,,4.672815,,2.999086788556078,,0.0001669111761303,,0.031014059999999993,,10.499999999999998,,118.27221414070723
13,85,39976,,5.5114536130567,,2.591272173913043,,5.607378,,3.598904146267294,,0.00020029341135636001,,0.037430714999999996,,10.499999999999998,,136.0466569688487
14,92,39983,,6.401784804744849,,2.591272173913043,,6.37245,,4.089939491662774,,0.00022762149246900002,,0.037430714999999996,,10.499999999999998,,148.4394908044103
15,99,39990,,6.401784804744849,,2.591272173913043,,6.37245,,4.089939491662774,,0.00022762149246900002,,0.037430714999999996,,10.499999999999998,,148.4394908044103
16,106,39997,,6.401784804744849,,2.591272173913043,,6.37245,,4.089939491662774,,0.00022762149246900002,,0.037430714999999996,,10.499999999999998,,148.4394908044103
17,113,40004,,7.113094227494276,,2.8791913043478257,,7.0805,,4.544377212958637,,0.00025291276941,,0.037430714999999996,,10.499999999999998,,161.66610089378918
18,120,40011,,7.113094227494276,,2.8791913043478257,,7.0805,,4.544377212958637,,0.00025291276941,,0.037430714999999996,,10.499999999999998,,161.66610089378918
19,127,40018,,7.113094227494276,,2.8791913043478257,,7.0805,,4.544377212958637,,0.00025291276941,,0.037430714999999996,,10.499999999999998,,161.66610089378918
20,134,40025,,7.113094227494276,,2.8791913043478257,,7.0805,,4.544377212958637,,0.00025291276941,,0.037430714999999996,,10.499999999999998,,161.66610089378918
21,141,40032,,7.113094227494276,,2.8791913043478257,,7.0805,,4.544377212958637,,0.00025291276941,,0.037430714999999996,,10.499999999999998,,161.66610089378918
22,148,40039,,7.113094227494276,,2.8791913043478257,,7.0805,,4.544377212958637,,0.00025291276941,,0.037430714999999996,,10.499999999999998,,161.66610089378918
23,155,40046,,7.113094227494276,,2.8791913043478257,,7.0805,,4.544377212958637,,0.00025291276941,,0.037430714999999996,,10.499999999999998,,161.66610089378918
24,162,40053,,7.113094227494276,,2.8791913043478257,,7.0805,,4.544377212958637,,0.00025291276941,,0.037430714999999996,,10.499999999999998,,161.66610089378918
25,169,40060,,7.113094227494276,,2.8791913043478257,,7.0805,,4.544377212958637,,0.00025291276941,,0.037430714999999996,,10.499999999999998,,161.66610089378918
26,176,40067,,7.113094227494276,,2.8791913043478257,,7.0805,,4.544377212958637,,0.00025291276941,,0.037430714999999996,,10.499999999999998,,161.66610089378918
27,183,40074,,7.528543015886307,,2.8791913043478257,,7.794499999999998,,5.002633738635138,,0.00027841657808999994,,0.037430714999999996,,10.499999999999998,,171.13364090264588
28,190,40081,,7.943991804278338,,2.8791913043478257,,7.794499999999998,,5.002633738635138,,0.00027841657808999994,,0.037430714999999996,,10.499999999999998,,173.23165728402563
29,197,40088,,7.943991804278338,,2.8791913043478257,,7.794499999999998,,5.002633738635138,,0.00027841657808999994,,0.037430714999999996,,10.499999999999998,,173.23165728402563
30,204,40095,,7.943991804278338,,2.8791913043478257,,7.794499999999998,,5.002633738635138,,0.00027841657808999994,,0.037430714999999996,,10.499999999999998,,173.23165728402563
31,211,40102,,7.036928616289068,,2.8791913043478257,,7.794499999999998,,5.002633738635138,,0.00027841657808999994,,0.037430714999999996,,10.499999999999998,,168.65098818467982
32,218,40109,,7.036928616289068,,2.8791913043478257,,7.794499999999998,,5.002633738635138,,0.00027841657808999994,,0.037430714999999996,,10.499999999999998,,168.65098818467982
33,225,40116,,7.036928616289068,,2.8791913043478257,,7.794499999999998,,5.002633738635138,,0.00027841657808999994,,0.037430714999999996,,10.499999999999998,,168.65098818467982
34,232,40123,,7.036928616289068,,2.8791913043478257,,7.794499999999998,,5.002633738635138,,0.00027841657808999994,,0.037430714999999996,,10.499999999999998,,168.65098818467982
35,239,40130,,7.036928616289068,,2.8791913043478257,,7.794499999999998,,5.002633738635138,,0.00027841657808999994,,0.037430714999999996,,10.499999999999998,,168.65098818467982
36,246,40137,,7.036928616289068,,2.8791913043478257,,7.794499999999998,,5.002633738635138,,0.00027841657808999994,,0.037430714999999996,,10.499999999999998,,168.65098818467982
