Semana (Semana),DDT (DDT),FECHA,Seleccioné su opción (Preventivos),Preventivos (Dosis),Preventivos (Unidades),Urea (Lbs),Urea (Cambios),DAP 18-46-0 (Lbs),DAP 18-46-0 (Cambios),Kcl (Lbs),Kcl (Cambios),Sulfato de Magnesio (Lbs),Sulfato de Magnesio (Cambios),Sin Calcio,Sin Calcio (Cambios),Sin Boro,Sin Boro (Cambios),Melaza (Lts),Admin_Costo / Aplicación (Costo / Aplicación)
1,1,39892,Furadan 48 SC,1.9871249999999998,Lts,1.1593421691424572,,0.2798113043478261,,1.0903234999999998,,0.6997869173297516,,3.894594109707e-05,,0.0026736149999999994,,10.499999999999998,809.8381604989627
2,8,39899,,0.0,0,1.1593421691424572,,0.2798113043478261,,1.0903234999999998,,0.6997869173297516,,3.894594109707e-05,,0.0026736149999999994,,10.499999999999998,48.769285498962745
3,15,39906,,0.0,0,1.1593421691424572,,0.2798113043478261,,1.0903234999999998,,0.6997869173297516,,3.894594109707e-05,,0.004812517499999999,,10.499999999999998,48.769285498962745
4,22,39913,,0.0,0,1.1009826133768617,,0.42895239130434776,,1.0903234999999998,,0.6997869173297516,,3.894594109707e-05,,0.006416654999999999,,10.499999999999998,49.67962972495519
5,29,39920,0,0.0,0,1.5728323048240884,,0.6127891304347826,,1.5576050000000001,,0.9996955961853595,,5.5637058710099996e-05,,0.006416654999999999,,10.499999999999998,58.37089960707885
6,36,39927,,0.0,0,1.5728323048240884,,0.6127891304347826,,1.5576050000000001,,0.9996955961853595,,5.5637058710099996e-05,,0.0090903225,,10.499999999999998,58.37089960707885
7,43,39934,,0.0,0,1.5728323048240884,,0.6127891304347826,,1.5576050000000001,,0.9996955961853595,,5.5637058710099996e-05,,0.0090903225,,10.499999999999998,58.37089960707885
8,50,39941,,0.0,0,1.495088637527302,,0.8114673913043476,,1.5576050000000001,,0.9996955961853595,,5.5637058710099996e-05,,0.012298649999999998,,10.499999999999998,59.58361443505616
9,57,39948,0,0.0,0,2.242632956290953,,1.2172010869565215,,2.3364075,,1.499543394278039,,8.345558806515e-05,,0.012298649999999998,,10.499999999999998,74.67542165258425
10,64,39955,,0.0,0,2.242632956290953,,1.2172010869565215,,2.3364075,,1.499543394278039,,8.345558806515e-05,,0.015507029999999996,,10.499999999999998,74.67542165258425
11,71,39962,,0.0,0,2.2964390054402912,,1.0796967391304346,,2.3364075,,1.499543394278039,,8.345558806515e-05,,0.015507029999999996,,10.499999999999998,73.83610707035362
12,78,39969,,0.0,0,2.2964390054402912,,1.0796967391304346,,2.3364075,,1.499543394278039,,8.345558806515e-05,,0.015507029999999996,,10.499999999999998,73.83610707035362
13,85,39976,0,0.0,0,2.75572680652835,,1.2956360869565215,,2.803689,,1.799452073133647,,0.00010014670567818001,,0.018715357499999998,,10.499999999999998,82.72332848442434
14,92,39983,,0.0,0,3.2008924023724243,,1.2956360869565215,,3.186225,,2.044969745831387,,0.00011381074623450001,,0.018715357499999998,,10.499999999999998,88.91974540220514
15,99,39990,,0.0,0,3.2008924023724243,,1.2956360869565215,,3.186225,,2.044969745831387,,0.00011381074623450001,,0.018715357499999998,,10.499999999999998,88.91974540220514
16,106,39997,,0.0,0,3.2008924023724243,,1.2956360869565215,,3.186225,,2.044969745831387,,0.00011381074623450001,,0.018715357499999998,,10.499999999999998,88.91974540220514
