Semana,N,Urea,P2O5,DAP 18-46-0,K2O,Kcl,MgO,Sulfato de Magnesio,Ca,Sin Calcio,B,Sin Boro
1,1.1117398715964555,2.2082707983665855,0.24516800000000002,0.5329739130434783,1.246084,2.0768066666666667,0.21326839385287674,1.3329274615804796,0.741827449468,7.418274494680001e-05,5.0926,0.0050926
2,1.1117398715964555,2.2082707983665855,0.24516800000000002,0.5329739130434783,1.246084,2.0768066666666667,0.21326839385287674,1.3329274615804796,0.741827449468,7.418274494680001e-05,5.0926,0.0050926
3,1.1117398715964555,2.2082707983665855,0.24516800000000002,0.5329739130434783,1.246084,2.0768066666666667,0.21326839385287674,1.3329274615804796,0.741827449468,7.418274494680001e-05,9.1667,0.0091667
4,1.1117398715964555,2.0971097397654512,0.375844,0.8170521739130435,1.246084,2.0768066666666667,0.21326839385287674,1.3329274615804796,0.741827449468,7.418274494680001e-05,12.2222,0.0122222
5,1.588199816566365,2.995871056807788,0.5369200000000001,1.167217391304348,1.7801200000000001,2.966866666666667,0.3046691340755382,1.9041820879721136,1.0597534992400002,0.00010597534992400001,12.2222,0.0122222
6,1.588199816566365,2.995871056807788,0.5369200000000001,1.167217391304348,1.7801200000000001,2.966866666666667,0.3046691340755382,1.9041820879721136,1.0597534992400002,0.00010597534992400001,17.3149,0.0173149
7,1.588199816566365,2.995871056807788,0.5369200000000001,1.167217391304348,1.7801200000000001,2.966866666666667,0.3046691340755382,1.9041820879721136,1.0597534992400002,0.00010597534992400001,17.3149,0.0173149
8,1.588199816566365,2.8477878810043853,0.711,1.5456521739130433,1.7801200000000001,2.966866666666667,0.3046691340755382,1.9041820879721136,1.0597534992400002,0.00010597534992400001,23.426,0.023426
9,2.3822997248495477,4.271681821506578,1.0665,2.3184782608695653,2.67018,4.4503,0.45700370111330724,2.85627313195817,1.5896302488600003,0.00015896302488600003,23.426,0.023426
10,2.3822997248495477,4.271681821506578,1.0665,2.3184782608695653,2.67018,4.4503,0.45700370111330724,2.85627313195817,1.5896302488600003,0.00015896302488600003,29.5372,0.0295372
11,2.3822997248495477,4.374169534171984,0.9460200000000001,2.0565652173913045,2.67018,4.4503,0.45700370111330724,2.85627313195817,1.5896302488600003,0.00015896302488600003,29.5372,0.0295372
12,2.3822997248495477,4.374169534171984,0.9460200000000001,2.0565652173913045,2.67018,4.4503,0.45700370111330724,2.85627313195817,1.5896302488600003,0.00015896302488600003,29.5372,0.0295372
13,2.8587596698194573,5.249003441006382,1.135224,2.4678782608695653,3.204216,5.34036,0.5484044413359687,3.4275277583498043,1.9075562986320003,0.00019075562986320003,35.6483,0.0356483
14,3.248809525225694,6.096937909280809,1.135224,2.4678782608695653,3.6414000000000004,6.069000000000001,0.6232288749200419,3.8951804682502615,2.1678237378000005,0.00021678237378000006,35.6483,0.0356483
15,3.248809525225694,6.096937909280809,1.135224,2.4678782608695653,3.6414000000000004,6.069000000000001,0.6232288749200419,3.8951804682502615,2.1678237378000005,0.00021678237378000006,35.6483,0.0356483
16,3.248809525225694,6.096937909280809,1.135224,2.4678782608695653,3.6414000000000004,6.069000000000001,0.6232288749200419,3.8951804682502615,2.1678237378000005,0.00021678237378000006,35.6483,0.0356483
