Semana (Semana),DDT (DDT),FECHA,FECHA (Cambios),Nitrato de Amonio (Lbs),Nitrato de Amonio (Cambios),DAP 18-46-0 (Lbs),DAP 18-46-0 (Cambios),Kcl Soluble (Lbs),Kcl Soluble (Cambios),Sulfato de Magnesio (Lbs),Sulfato de Magnesio (Cambios),Nitrato de Calcio (Lbs),Nitrato de Calcio (Cambios),Solubor (Gramos),Solubor (Cambios),Melaza (Lts),Melaza (Cambios),Admin_Costo / Aplicación (Costo / Aplicación)
3,1,39336,,37.01833622807814,,11.203644626086952,,43.65655294000001,,35.024335212354075,,57.755388204691954,,800.7106424390245,,20.019999999999996,,763.7154971768581
6,22,39357,,43.469627697415035,,22.08246910434783,,56.129853780000005,,45.031288130169514,,74.25692769174684,,1501.9550887804878,,20.019999999999996,,994.6854573556299
9,43,39378,,52.787542356336225,,35.2546542173913,,72.76092156666667,,58.37389202059012,,96.25898034115326,,2282.7765936585365,,20.019999999999996,,1295.6667976170236
12,64,39399,,68.01000620562036,,45.06628213043478,,93.54975629999997,,75.05214688361585,,123.7615461529113,,3148.1479297560973,,20.019999999999996,,1657.8800919255293
15,85,39420,,92.86184738927501,,51.87726892173915,,122.47086852000002,,98.25468260602028,,162.02269942979117,,3655.4288502439035,,20.019999999999996,,2128.9634608716115
18,106,39441,,105.14660267118472,,55.72002958260868,,137.0265563333334,,109.93227176248027,,181.27913044945413,,3655.4288502439035,,20.019999999999996,,2358.64266908694
21,127,39462,,101.94104760632938,,57.64140991304347,,141.75161000000006,,113.72303975428993,,187.53013494771116,,3655.4288502439035,,20.019999999999996,,2412.405995943935
24,148,39483,,94.39066341287781,,57.64140991304347,,141.75161000000006,,113.72303975428993,,187.53013494771116,,3655.4288502439035,,20.019999999999996,,2388.2447665248906
27,169,39504,,76.60597943376871,,57.64140991304347,,146.51637000000005,,117.5456629393081,,193.83366889553338,,3655.4288502439035,,20.019999999999996,,2389.499036253016
30,190,39525,,66.26498603150108,,57.64140991304347,,156.04589,,125.19090930934439,,206.4407367911778,,3655.4288502439035,,20.019999999999996,,2472.7383742883094
33,211,39546,,42.12128051334529,,57.64140991304347,,156.04589,,125.19090930934439,,206.4407367911778,,3655.4288502439035,,20.019999999999996,,2395.478516630211
36,232,39567,,39.74648980664144,,57.64140991304347,,156.04589,,125.19090930934439,,206.4407367911778,,3655.4288502439035,,20.019999999999996,,2387.879186368759
39,253,39588,,37.37169909993761,,57.64140991304347,,156.04589,,125.19090930934439,,206.4407367911778,,3655.4288502439035,,20.019999999999996,,2380.2798561073064
42,274,39609,,23.45421521445292,,57.64140991304347,,164.21044640000002,,131.74108656696657,,217.24202760882847,,3655.4288502439035,,20.019999999999996,,2435.411788790045
45,295,39630,,7.210433507971135,,57.64140991304347,,164.21044640000002,,131.74108656696657,,217.24202760882847,,3655.4288502439035,,20.019999999999996,,2383.4316873293037
48,316,39651,,5.325659102833062,,47.19619252173912,,164.21044640000002,,131.74108656696657,,217.24202760882847,,3655.4288502439035,,20.019999999999996,,2342.9311918415574
51,337,39672,,19.356548135928456,,21.083149043478244,,164.21044640000002,,131.74108656696657,,217.24202760882847,,3655.4288502439035,,20.019999999999996,,2301.656993269202
