Semana,DDT,FECHA,Admin_col_3_Cambios,Nitrato de Amonio (Lbs),Admin_Nitrato de Amonio_Cambios,DAP 18-46-0 (Lbs),Admin_DAP 18-46-0_Cambios,Kcl Soluble (Lbs),Admin_Kcl Soluble_Cambios,Sulfato de Magnesio (Lbs),Admin_Sulfato de Magnesio_Cambios,Nitrato de Calcio (Lbs),Admin_Nitrato de Calcio_Cambios,Solubor (Gramos),Admin_Solubor_Cambios,Melaza (Lts),Admin_Melaza_Cambios,Admin_Costo / Aplicación
1,1,39336,,1.7627779156227694,,0.5335068869565217,,2.0788834733333332,,1.6678254863025748,,2.7502565811758073,,24.866793170731707,,20.019999999999996,,83.61498308685154
2,8,39343,,1.7627779156227694,,0.5335068869565217,,2.0788834733333332,,1.6678254863025748,,2.7502565811758073,,24.866793170731707,,20.019999999999996,,83.61498308685154
3,15,39350,,1.7627779156227694,,0.5335068869565217,,2.0788834733333332,,1.6678254863025748,,2.7502565811758073,,44.76032536585365,,20.019999999999996,,84.2436187042174
4,22,39357,,1.6099862110153713,,0.8178692260869564,,2.0788834733333332,,1.6678254863025748,,2.7502565811758073,,59.680108292682924,,20.019999999999996,,85.16454610909196
5,29,39364,,2.2999803014505305,,1.1683846086956522,,2.9698335333333334,,2.3826078375751067,,3.9289379731082965,,59.680108292682924,,20.019999999999996,,99.40539811782476
6,36,39371,,2.2999803014505305,,1.1683846086956522,,2.9698335333333334,,2.3826078375751067,,3.9289379731082965,,84.54738975609757,,20.019999999999996,,100.19120421206867
7,43,39378,,2.2999803014505305,,1.1683846086956522,,2.9698335333333334,,2.3826078375751067,,3.9289379731082965,,84.54738975609757,,20.019999999999996,,100.19120421206867
8,50,39385,,2.0964388712104274,,1.547197826086956,,2.9698335333333334,,2.3826078375751067,,3.9289379731082965,,114.387443902439,,20.019999999999996,,101.73290096371602
9,57,39392,,3.1446583068156415,,2.3207967391304347,,4.4547503,,3.57391175636266,,5.893406959662444,,114.387443902439,,20.019999999999996,,125.76702983191552
10,64,39399,,3.1446583068156415,,2.3207967391304347,,4.4547503,,3.57391175636266,,5.893406959662444,,144.2279863414634,,20.019999999999996,,126.70999097298869
11,71,39406,,3.285528432707919,,2.0586217826086957,,4.4547503,,3.57391175636266,,5.893406959662444,,144.2279863414634,,20.019999999999996,,126.29559801932223
12,78,39413,,3.285528432707919,,2.0586217826086957,,4.4547503,,3.57391175636266,,5.893406959662444,,144.2279863414634,,20.019999999999996,,126.29559801932223
13,85,39420,,3.9426341192495027,,2.4703461391304344,,5.3457003599999995,,4.288694107635193,,7.0720883515949335,,174.06804048780486,,20.019999999999996,,141.57614246053302
14,92,39427,,4.6616720396091775,,2.4703461391304344,,6.075069,,4.873844560898138,,8.037005783473333,,174.06804048780486,,20.019999999999996,,152.78074740341998
15,99,39434,,4.6616720396091775,,2.4703461391304344,,6.075069,,4.873844560898138,,8.037005783473333,,174.06804048780486,,20.019999999999996,,152.78074740341998
16,106,39441,,4.6616720396091775,,2.4703461391304344,,6.075069,,4.873844560898138,,8.037005783473333,,174.06804048780486,,20.019999999999996,,152.78074740341998
17,113,39448,,5.179635599565752,,2.7448290434782607,,6.750076666666667,,5.415382845442376,,8.930006426081482,,174.06804048780486,,20.019999999999996,,163.58410266164282
18,120,39455,,5.179635599565752,,2.7448290434782607,,6.750076666666667,,5.415382845442376,,8.930006426081482,,174.06804048780486,,20.019999999999996,,163.58410266164282
19,127,39462,,5.179635599565752,,2.7448290434782607,,6.750076666666667,,5.415382845442376,,8.930006426081482,,174.06804048780486,,20.019999999999996,,163.58410266164282
20,134,39469,,4.820093495115678,,2.7448290434782607,,6.750076666666667,,5.415382845442376,,8.930006426081482,,174.06804048780486,,20.019999999999996,,162.43356792740258
21,141,39476,,4.820093495115678,,2.7448290434782607,,6.750076666666667,,5.415382845442376,,8.930006426081482,,174.06804048780486,,20.019999999999996,,162.43356792740258
22,148,39483,,4.820093495115678,,2.7448290434782607,,6.750076666666667,,5.415382845442376,,8.930006426081482,,174.06804048780486,,20.019999999999996,,162.43356792740258
23,155,39490,,4.460551390665604,,2.7448290434782607,,6.750076666666667,,5.415382845442376,,8.930006426081482,,174.06804048780486,,20.019999999999996,,161.28303319316234
24,162,39497,,4.460551390665604,,2.7448290434782607,,6.750076666666667,,5.415382845442376,,8.930006426081482,,174.06804048780486,,20.019999999999996,,161.28303319316234
25,169,39504,,4.460551390665604,,2.7448290434782607,,6.750076666666667,,5.415382845442376,,8.930006426081482,,174.06804048780486,,20.019999999999996,,161.28303319316234
26,176,39511,,3.381925077315382,,2.7448290434782607,,6.750076666666667,,5.415382845442376,,8.930006426081482,,174.06804048780486,,20.019999999999996,,157.83142899044162
27,183,39518,,3.8716822463789926,,2.7448290434782607,,7.430756666666666,,5.96147187187354,,9.83051127577037,,174.06804048780486,,20.019999999999996,,167.70797456877017
28,190,39525,,3.8716822463789926,,2.7448290434782607,,7.430756666666666,,5.96147187187354,,9.83051127577037,,174.06804048780486,,20.019999999999996,,167.70797456877017
29,197,39532,,3.080085344144375,,2.7448290434782607,,7.430756666666666,,5.96147187187354,,9.83051127577037,,174.06804048780486,,20.019999999999996,,165.17486448161938
30,204,39539,,3.080085344144375,,2.7448290434782607,,7.430756666666666,,5.96147187187354,,9.83051127577037,,174.06804048780486,,20.019999999999996,,165.17486448161938
31,211,39546,,3.080085344144375,,2.7448290434782607,,7.430756666666666,,5.96147187187354,,9.83051127577037,,174.06804048780486,,20.019999999999996,,165.17486448161938
32,218,39553,,1.8926899907924506,,2.7448290434782607,,7.430756666666666,,5.96147187187354,,9.83051127577037,,174.06804048780486,,20.019999999999996,,161.3751993508932
33,225,39560,,1.8926899907924506,,2.7448290434782607,,7.430756666666666,,5.96147187187354,,9.83051127577037,,174.06804048780486,,20.019999999999996,,161.3751993508932
34,232,39567,,1.8926899907924506,,2.7448290434782607,,7.430756666666666,,5.96147187187354,,9.83051127577037,,174.06804048780486,,20.019999999999996,,161.3751993508932
35,239,39574,,1.8926899907924506,,2.7448290434782607,,7.430756666666666,,5.96147187187354,,9.83051127577037,,174.06804048780486,,20.019999999999996,,161.3751993508932
36,246,39581,,1.8926899907924506,,2.7448290434782607,,7.430756666666666,,5.96147187187354,,9.83051127577037,,174.06804048780486,,20.019999999999996,,161.3751993508932
37,253,39588,,1.8926899907924506,,2.7448290434782607,,7.430756666666666,,5.96147187187354,,9.83051127577037,,174.06804048780486,,20.019999999999996,,161.3751993508932
38,260,39595,,1.8926899907924506,,2.7448290434782607,,7.430756666666666,,5.96147187187354,,9.83051127577037,,174.06804048780486,,20.019999999999996,,161.3751993508932
39,267,39602,,1.8926899907924506,,2.7448290434782607,,7.430756666666666,,5.96147187187354,,9.83051127577037,,174.06804048780486,,20.019999999999996,,161.3751993508932
40,274,39609,,1.235869454948174,,2.7448290434782607,,7.819545066666665,,6.2733850746174555,,10.344858457563259,,174.06804048780486,,20.019999999999996,,164.01946321315774
41,281,39616,,1.235869454948174,,2.7448290434782607,,7.819545066666665,,6.2733850746174555,,10.344858457563259,,174.06804048780486,,20.019999999999996,,164.01946321315774
42,288,39623,,1.235869454948174,,2.7448290434782607,,7.819545066666665,,6.2733850746174555,,10.344858457563259,,174.06804048780486,,20.019999999999996,,164.01946321315774
43,295,39630,,0.4028550084619289,,2.7448290434782607,,7.819545066666665,,6.2733850746174555,,10.344858457563259,,174.06804048780486,,20.019999999999996,,161.35381698440176
44,302,39637,,0.4028550084619289,,2.7448290434782607,,7.819545066666665,,6.2733850746174555,,10.344858457563259,,174.06804048780486,,20.019999999999996,,161.35381698440176
45,309,39644,,0.4028550084619289,,2.7448290434782607,,7.819545066666665,,6.2733850746174555,,10.344858457563259,,174.06804048780486,,20.019999999999996,,161.35381698440176
46,316,39651,,0.0,,2.7448290434782607,,7.819545066666665,,6.2733850746174555,,10.344858457563259,,174.06804048780486,,20.019999999999996,,160.0646809573236
47,323,39658,,0.0,,2.7448290434782607,,7.819545066666665,,6.2733850746174555,,10.344858457563259,,174.06804048780486,,20.019999999999996,,160.0646809573236
48,330,39665,,0.0,,2.7448290434782607,,7.819545066666665,,6.2733850746174555,,10.344858457563259,,174.06804048780486,,20.019999999999996,,160.0646809573236
49,337,39672,,0.9217403874251643,,1.0039594782608694,,7.819545066666665,,6.2733850746174555,,10.344858457563259,,174.06804048780486,,20.019999999999996,,157.26938063186674
50,344,39679,,0.9217403874251643,,1.0039594782608694,,7.819545066666665,,6.2733850746174555,,10.344858457563259,,174.06804048780486,,20.019999999999996,,157.26938063186674
51,351,39686,,0.9217403874251643,,1.0039594782608694,,7.819545066666665,,6.2733850746174555,,10.344858457563259,,174.06804048780486,,20.019999999999996,,157.26938063186674
52,358,39693,,0.9217403874251643,,1.0039594782608694,,7.819545066666665,,6.2733850746174555,,10.344858457563259,,174.06804048780486,,Acido Fosforoso,5.004999999999999,507.61938063186665
