Semana,DDT,FECHA,Admin_col_3_Cambios,Urea (Lbs),Admin_Urea_Cambios,DAP 18-46-0 (Lbs),Admin_DAP 18-46-0_Cambios,Kcl Soluble (Lbs),Admin_Kcl Soluble_Cambios,Sulfato de Magnesio (Lbs),Admin_Sulfato de Magnesio_Cambios,Nitrato de Calcio (Lbs),Admin_Nitrato de Calcio_Cambios,Solubor (Gramos),Admin_Solubor_Cambios,Melaza (Lts),Admin_Melaza_Cambios,Admin_Costo / Aplicación
1,1,39815,,25.232764762902544,,7.027716347826085,,54.73681546666667,,35.13095641785775,,72.4140092029428,,174.06755219512195,,20.019999999999996,,1868.9609266267823
2,8,39822,,25.232764762902544,,7.027716347826085,,54.73681546666667,,35.13095641785775,,72.4140092029428,,253.64168097560975,,20.019999999999996,,1872.1438917780017
3,15,39829,,25.232764762902544,,7.027716347826085,,54.73681546666667,,35.13095641785775,,72.4140092029428,,373.00140926829266,,20.019999999999996,,1876.9182809097092
4,22,39836,,25.232764762902544,,7.027716347826085,,54.73681546666667,,35.13095641785775,,72.4140092029428,,417.7607580487805,,20.019999999999996,,1878.7086548609286
5,29,39843,,25.232764762902544,,7.027716347826085,,54.73681546666667,,35.13095641785775,,72.4140092029428,,492.36260243902444,,20.019999999999996,,1881.6927286365383
6,36,39850,,25.232764762902544,,7.027716347826085,,54.73681546666667,,35.13095641785775,,72.4140092029428,,591.831728292683,,20.019999999999996,,1885.6714936706846
7,43,39857,,25.232764762902544,,7.027716347826085,,54.73681546666667,,35.13095641785775,,72.4140092029428,,651.5118365853659,,20.019999999999996,,1888.058698002392
8,50,39864,,25.232764762902544,,7.027716347826085,,54.73681546666667,,35.13095641785775,,72.4140092029428,,800.7121073170731,,20.019999999999996,,1894.0267088316602
9,57,39871,,25.232764762902544,,7.027716347826085,,54.73681546666667,,35.13095641785775,,72.4140092029428,,830.5526497560975,,20.019999999999996,,1895.2203305292212
10,64,39878,,25.232764762902544,,7.027716347826085,,54.73681546666667,,35.13095641785775,,72.4140092029428,,1009.595904390244,,20.019999999999996,,1902.3820607145872
