Semana (Semana),DDT (DDT),FECHA,FECHA (Cambios),Urea (Lbs),Urea (Cambios),DAP 18-46-0 (Lbs),DAP 18-46-0 (Cambios),Kcl Soluble (Lbs),Kcl Soluble (Cambios),Sulfato de Magnesio (Lbs),Sulfato de Magnesio (Cambios),Nitrato de Calcio (Lbs),Nitrato de Calcio (Cambios),Solubor (Gramos),Solubor (Cambios),Melaza (Lts),Melaza (Cambios),Admin_Costo / Aplicación (Costo / Aplicación)
1,1,39815,,3.604680680414649,,1.0039594782608694,,7.819545066666665,,5.018708059693965,,10.344858457563259,,24.866793170731707,,20.019999999999996,,315.0424180895404
2,8,39822,,3.604680680414649,,1.0039594782608694,,7.819545066666665,,5.018708059693965,,10.344858457563259,,24.866793170731707,,20.019999999999996,,315.0424180895404
3,15,39829,,3.604680680414649,,1.0039594782608694,,7.819545066666665,,5.018708059693965,,10.344858457563259,,44.76032536585365,,20.019999999999996,,315.8381593773453
4,22,39836,,3.604680680414649,,1.0039594782608694,,7.819545066666665,,5.018708059693965,,10.344858457563259,,59.680108292682924,,20.019999999999996,,316.43495069441843
5,29,39843,,3.604680680414649,,1.0039594782608694,,7.819545066666665,,5.018708059693965,,10.344858457563259,,59.680108292682924,,20.019999999999996,,316.43495069441843
6,36,39850,,3.604680680414649,,1.0039594782608694,,7.819545066666665,,5.018708059693965,,10.344858457563259,,84.54738975609757,,20.019999999999996,,317.429641952955
7,43,39857,,3.604680680414649,,1.0039594782608694,,7.819545066666665,,5.018708059693965,,10.344858457563259,,84.54738975609757,,20.019999999999996,,317.429641952955
8,50,39864,,3.604680680414649,,1.0039594782608694,,7.819545066666665,,5.018708059693965,,10.344858457563259,,114.387443902439,,20.019999999999996,,318.62324411880866
9,57,39871,,3.604680680414649,,1.0039594782608694,,7.819545066666665,,5.018708059693965,,10.344858457563259,,114.387443902439,,20.019999999999996,,318.62324411880866
10,64,39878,,3.604680680414649,,1.0039594782608694,,7.819545066666665,,5.018708059693965,,10.344858457563259,,144.2279863414634,,20.019999999999996,,319.81686581636967
11,71,39885,,3.604680680414649,,1.0039594782608694,,7.819545066666665,,5.018708059693965,,10.344858457563259,,144.2279863414634,,20.019999999999996,,319.81686581636967
12,78,39892,,3.604680680414649,,1.0039594782608694,,7.819545066666665,,5.018708059693965,,10.344858457563259,,144.2279863414634,,20.019999999999996,,319.81686581636967
13,85,39899,,3.604680680414649,,1.0039594782608694,,7.819545066666665,,5.018708059693965,,10.344858457563259,,174.06804048780486,,20.019999999999996,,321.0104679822233
