Semana (Semana),DDT (DDT),FECHA,FECHA (Cambios),Nitrato de Amonio (Lbs),Nitrato de Amonio (Cambios),FofatoMonoPotasico (Lbs),FofatoMonoPotasico (Cambios),Kcl Soluble (Lbs),Kcl Soluble (Cambios),Sin Magnecio,Sin Magnecio (Cambios),Sin Calcio,Sin Calcio (Cambios),Sin Boro,Sin Boro (Cambios),Melaza (Lts),Melaza (Cambios),Admin_Costo / Aplicación (Costo / Aplicación)
1,3,39451,Furadan 48 SC,17.165051525323832,,6.989256345453808,,8.150521460853948,,7.46217228109322e-05,,0.0003460831134433018,,0.017841924099999996,,20.019999999999996,3.788785,1698.810106801752
2,10,39458,,24.52150217903404,,9.98465192207687,,11.643602086934212,,0.00010660246115847461,,0.0004944044477761455,,0.025998272299999996,,20.019999999999996,,329.8409311453601
3,17,39465,,37.39529082302691,,15.226594181167233,,17.756493182574676,,0.00016256875326667376,,0.0007539667828586219,,0.03823264445,,20.019999999999996,,473.5780199966743
4,24,39472,,42.91262881330957,,17.47314086363453,,20.376303652134872,,0.0001865543070273305,,0.0008652077836082547,,0.0428204777,,20.019999999999996,,535.1796295043803
5,31,39479,BaZam,53.9473047938749,,21.966234228569114,,25.615924591255265,,0.00023452541454864413,,0.00108768978510752,,0.05046716674999999,,20.019999999999996,1.001,1038.7628485197922
6,38,39486,,66.23497722813477,,26.35948107428294,,38.12111335353595,,0.00032691421421932217,,0.001516173639846846,,0.060662752149999985,,20.019999999999996,,821.5307137658517
7,45,39493,,63.39539995837086,,23.563778536101417,,54.70004010002399,,0.00041930301389000015,,0.0019446574945861724,,0.06677996324999999,,20.019999999999996,,859.5801398145466
8,52,39500,,82.73636943719585,,30.752727919996765,,71.38818792714997,,0.0005472259672801697,,0.002537942831917548,,0.08207299099999998,,20.019999999999996,,1104.7230977240692
9,59,39507,TricoZam,82.73636943719585,,30.752727919996765,,71.38818792714997,,0.0005472259672801697,,0.002537942831917548,,0.08513164659999999,,20.019999999999996,1.001,1485.1030977240691
10,66,39514,,105.30083382915836,,39.13983553454135,,90.85769372546359,,0.0006964694129020339,,0.003230109058804151,,0.10348358019999997,,20.019999999999996,,1390.7232152851793
11,73,39521,,105.30083382915836,,39.13983553454135,,90.85769372546359,,0.0006964694129020339,,0.003230109058804151,,0.10348358019999997,,20.019999999999996,,1390.7232152851793
12,80,39528,,114.97131856857087,,42.734310226489015,,99.2017676390266,,0.0007604308895971189,,0.003526751727469839,,0.11571800239999998,,20.019999999999996,,1513.2946942399406
13,87,39535,,127.86529822112087,,47.526943149085916,,110.32719952377725,,0.0008457128585238987,,0.003922275285690755,,0.12489381904999998,,20.019999999999996,,1676.723332846289
