Semana (Semana),DDT (DDT),FECHA,FECHA (Cambios),Nitrato de Amonio (Lbs),Nitrato de Amonio (Cambios),FofatoMonoPotasico (Lbs),FofatoMonoPotasico (Cambios),Kcl Soluble (Lbs),Kcl Soluble (Cambios),Sin Magnecio,Sin Magnecio (Cambios),Sin Calcio,Sin Calcio (Cambios),Sin Boro,Sin Boro (Cambios),Melaza (Lts),Melaza (Cambios),Admin_Costo / Aplicación (Costo / Aplicación)
1,1,39449,,9.808600871613619,,3.9938607688307477,,4.657440834773685,,4.2640984463389835e-05,,0.0001977617791104582,,0.010195385199999999,,20.019999999999996,,165.56997245814404
2,8,39456,,9.808600871613619,,3.9938607688307477,,4.657440834773685,,4.2640984463389835e-05,,0.0001977617791104582,,0.010195385199999999,,20.019999999999996,,165.56997245814404
3,15,39463,,17.16505152532383,,6.989256345453809,,8.15052146085395,,7.462172281093222e-05,,0.0003460831134433018,,0.018351733399999997,,20.019999999999996,,247.70545180175213
4,22,39470,,24.52150217903404,,9.984651922076873,,11.643602086934212,,0.0001066024611584746,,0.0004944044477761455,,0.0244688444,,20.019999999999996,,329.84093114536023
5,29,39477,,24.52150217903404,,9.984651922076873,,11.643602086934212,,0.0001066024611584746,,0.0004944044477761455,,0.0244688444,,20.019999999999996,,329.84093114536023
6,36,39484,,39.234403486454475,,15.97544307532299,,18.62976333909474,,0.00017056393785355934,,0.0007910471164418328,,0.0346644298,,20.019999999999996,,494.11188983257625
7,43,39491,,34.38394574013335,,12.780354460258396,,29.667818359335048,,0.00022741858380474582,,0.0010547294885891103,,0.0346644298,,20.019999999999996,,491.8657029502626
8,50,39498,,47.277925392683336,,17.572987382855295,,40.7932502440857,,0.0003127005527315256,,0.0014502530468100273,,0.04689885199999999,,20.019999999999996,,655.294341556611
9,57,39505,,47.277925392683336,,17.572987382855295,,40.7932502440857,,0.0003127005527315256,,0.0014502530468100273,,0.04689885199999999,,20.019999999999996,,655.294341556611
10,64,39512,,60.17190504523335,,22.365620305452197,,51.918682128836345,,0.00039798252165830516,,0.0018457766050309435,,0.05913347439999999,,20.019999999999996,,818.7229801629594
11,71,39519,,60.17190504523335,,22.365620305452197,,51.918682128836345,,0.00039798252165830516,,0.0018457766050309435,,0.05913347439999999,,20.019999999999996,,818.7229801629594
12,78,39526,,60.17190504523335,,22.365620305452197,,51.918682128836345,,0.00039798252165830516,,0.0018457766050309435,,0.05913347439999999,,20.019999999999996,,818.7229801629594
13,85,39533,,73.06588469778336,,27.15825322804909,,63.044114013587006,,0.000483264490585085,,0.0022413001632518603,,0.0713678966,,20.019999999999996,,982.151618769308
