Semana (Semana),DDT (DDT),FECHA,FECHA (Cambios),Nitrato de Amonio (Lbs),Nitrato de Amonio (Cambios),FofatoMonoPotasico (Lbs),FofatoMonoPotasico (Cambios),Kcl Soluble (Lbs),Kcl Soluble (Cambios),Sin Magnecio,Sin Magnecio (Cambios),Sin Calcio,Sin Calcio (Cambios),Sin Boro,Sin Boro (Cambios),Melaza (Lts),Melaza (Cambios),Admin_Costo / Aplicación (Costo / Aplicación)
1,1,39449,,4.904300435806809,,1.9969303844153738,,2.3287204173868425,,2.1320492231694917e-05,,9.88808895552291e-05,,0.005097692599999999,,20.019999999999996,,110.81298622907201
2,8,39456,,4.904300435806809,,1.9969303844153738,,2.3287204173868425,,2.1320492231694917e-05,,9.88808895552291e-05,,0.005097692599999999,,20.019999999999996,,110.81298622907201
3,15,39463,,8.582525762661914,,3.4946281727269044,,4.075260730426975,,3.731086140546611e-05,,0.0001730415567216509,,0.009175866699999998,,20.019999999999996,,151.88072590087606
4,22,39470,,12.26075108951702,,4.9923259610384365,,5.821801043467106,,5.33012305792373e-05,,0.00024720222388807276,,0.0122344222,,20.019999999999996,,192.9484655726801
5,29,39477,,12.26075108951702,,4.9923259610384365,,5.821801043467106,,5.33012305792373e-05,,0.00024720222388807276,,0.0122344222,,20.019999999999996,,192.9484655726801
6,36,39484,,19.617201743227238,,7.987721537661495,,9.31488166954737,,8.528196892677967e-05,,0.0003955235582209164,,0.0173322149,,20.019999999999996,,275.08394491628815
7,43,39491,,17.191972870066675,,6.390177230129198,,14.833909179667524,,0.00011370929190237291,,0.0005273647442945551,,0.0173322149,,20.019999999999996,,273.9608514751313
8,50,39498,,23.638962696341668,,8.786493691427648,,20.39662512204285,,0.0001563502763657628,,0.0007251265234050136,,0.023449425999999995,,20.019999999999996,,355.67517077830547
9,57,39505,,23.638962696341668,,8.786493691427648,,20.39662512204285,,0.0001563502763657628,,0.0007251265234050136,,0.023449425999999995,,20.019999999999996,,355.67517077830547
10,64,39512,,30.085952522616676,,11.182810152726098,,25.959341064418172,,0.00019899126082915258,,0.0009228883025154717,,0.029566737199999995,,20.019999999999996,,437.3894900814797
11,71,39519,,30.085952522616676,,11.182810152726098,,25.959341064418172,,0.00019899126082915258,,0.0009228883025154717,,0.029566737199999995,,20.019999999999996,,437.3894900814797
12,78,39526,,30.085952522616676,,11.182810152726098,,25.959341064418172,,0.00019899126082915258,,0.0009228883025154717,,0.029566737199999995,,20.019999999999996,,437.3894900814797
13,85,39533,,36.53294234889168,,13.579126614024545,,31.522057006793503,,0.0002416322452925425,,0.0011206500816259301,,0.0356839483,,20.019999999999996,,519.1038093846539
