Semana (Semana),DDT (DDT),FECHA,FECHA (Cambios),Nitrato de Amonio (Lbs),Nitrato de Amonio (Cambios),DAP 18-46-0 (Lbs),DAP 18-46-0 (Cambios),Kcl Soluble (Lbs),Kcl Soluble (Cambios),Sin Magnecio,Sin Magnecio (Cambios),Sin Calcio,Sin Calcio (Cambios),Solubor (Gramos),Solubor (Cambios),Melaza (Lts),Melaza (Cambios),Admin_Costo / Aplicación (Costo / Aplicación)
1,1,39480,,30.03778858583905,,7.449418564471264,,22.82424151881889,,0.00021094502762249336,,0.0007337459104563902,,174.06755219512195,,20.019999999999996,,339.59672775483375
2,8,39487,,38.620013896078774,,9.57782386860591,,29.345453381338576,,0.0002712150355146343,,0.0009433875991582162,,253.64168097560975,,20.019999999999996,,421.8019859537758
3,15,39494,,49.29701262173479,,13.302533150841544,,40.75757414074803,,0.00037668754932588107,,0.0013102605543864113,,373.00140926829266,,20.019999999999996,,547.2807108715804
4,22,39501,,55.212654136342955,,14.898837128942528,,45.64848303763778,,0.0004218900552449867,,0.0014674918209127805,,417.7607580487805,,20.019999999999996,,606.2276433629017
5,29,39508,,67.04393716555931,,18.091445085144496,,55.430300831417306,,0.0005122950670831982,,0.0017819543539655193,,492.36260243902444,,20.019999999999996,,723.5248342187151
6,36,39515,,75.5245966515117,,22.34825569341379,,68.47272455645667,,0.0006328350828674802,,0.002201237731369171,,591.831728292683,,20.019999999999996,,850.3788312534721
7,43,39522,,82.71741538022712,,24.47666099754844,,74.99393641897636,,0.0006931050907596211,,0.0024108794200709965,,651.5118365853659,,20.019999999999996,,926.1612319777284
8,50,39529,,100.69946220201564,,29.797674257885056,,91.29696607527556,,0.0008437801104899734,,0.002934983641825561,,800.7121073170731,,20.019999999999996,,1115.6172337883693
9,57,39536,,111.2061696675458,,35.473421735577446,,106.33198231386262,,0.0009827359620190762,,0.0034183242018881034,,830.5526497560975,,20.019999999999996,,1265.7208871397968
10,64,39543,,151.96039654080712,,49.662790429808446,,145.82154303689845,,0.0013477043431437076,,0.004687821094582494,,1009.595904390244,,20.019999999999996,,1713.2659220358223
11,71,39550,,128.65889032982622,,49.662790429808446,,145.82154303689845,,0.0013477043431437076,,0.004687821094582494,,1009.595904390244,,20.019999999999996,,1618.8948218813498
12,78,39557,,113.12455285583899,,49.662790429808446,,145.82154303689845,,0.0013477043431437076,,0.004687821094582494,,1128.9561209756096,,20.019999999999996,,1560.7551637751158
13,85,39564,,105.35738411884535,,49.662790429808446,,145.82154303689845,,0.0013477043431437076,,0.004687821094582494,,1218.4762834146343,,20.019999999999996,,1532.8789368878524
