Semana (Semana),DDT (DDT),FECHA,FECHA (Cambios),Nitrato de Amonio (Lbs),Nitrato de Amonio (Cambios),DAP 18-46-0 (Lbs),DAP 18-46-0 (Cambios),Kcl Soluble (Lbs),Kcl Soluble (Cambios),Sin Magnecio,Sin Magnecio (Cambios),Sin Calcio,Sin Calcio (Cambios),Solubor (Gramos),Solubor (Cambios),Melaza (Lts),Melaza (Cambios),Admin_Costo / Aplicación (Costo / Aplicación)
1,3,39482,Furadan 48 SC,15.018894292919525,,3.724709282235632,,11.412120759409445,,0.00010547251381124668,,0.0003668729552281951,,87.03377609756097,,20.019999999999996,3.788785,1648.9310188774168
2,10,39489,,19.310006948039387,,4.788911934302955,,14.672726690669288,,0.00013560751775731715,,0.0004716937995791081,,126.82084048780487,,20.019999999999996,,238.92899297688788
3,17,39496,,24.648506310867393,,6.651266575420772,,20.378787070374013,,0.00018834377466294053,,0.0006551302771932056,,186.50070463414633,,20.019999999999996,,301.6683554357902
4,24,39503,,27.606327068171478,,7.449418564471264,,22.82424151881889,,0.00021094502762249336,,0.0007337459104563902,,208.88037902439024,,20.019999999999996,,331.14182168145084
5,31,39510,BaZam,33.52196858277966,,9.045722542572248,,27.715150415708653,,0.0002561475335415991,,0.0008909771769827597,,246.18130121951222,,20.019999999999996,1.001,770.1704171093575
6,38,39517,,37.76229832575585,,11.174127846706895,,34.236362278228334,,0.0003164175414337401,,0.0011006188656845855,,295.9158641463415,,20.019999999999996,,453.217415626736
7,45,39524,,41.35870769011356,,12.23833049877422,,37.49696820948818,,0.00034655254537981057,,0.0012054397100354983,,325.75591829268296,,20.019999999999996,,491.1086159888642
8,52,39531,,50.34973110100782,,14.898837128942528,,45.64848303763778,,0.0004218900552449867,,0.0014674918209127805,,400.35605365853655,,20.019999999999996,,585.8366168941845
9,59,39538,TricoZam,55.6030848337729,,17.736710867788723,,53.16599115693131,,0.0004913679810095381,,0.0017091621009440517,,415.27632487804874,,20.019999999999996,1.001,1041.2684435698982
10,66,39545,,75.98019827040356,,24.831395214904223,,72.91077151844922,,0.0006738521715718538,,0.002343910547291247,,504.797952195122,,20.019999999999996,,884.6609610179112
11,73,39552,,64.32944516491311,,24.831395214904223,,72.91077151844922,,0.0006738521715718538,,0.002343910547291247,,504.797952195122,,20.019999999999996,,837.4754109406749
12,80,39559,,56.56227642791949,,24.831395214904223,,72.91077151844922,,0.0006738521715718538,,0.002343910547291247,,564.4780604878048,,20.019999999999996,,808.4055818875579
13,87,39566,,52.67869205942267,,24.831395214904223,,72.91077151844922,,0.0006738521715718538,,0.002343910547291247,,609.2381417073171,,20.019999999999996,,794.4674684439262
