nombre,formula,precio,n,p2o5,k2o,mgo,cao,so3,b,unidad
Ácido Fosforico 85% (peso 1.7 gr/ml,85%.,1610.0,0.0,103.0,0.0,0.0,0.0,0.0,0.0,Lts
DAP 18-46-0,18-46-0,560.0,18.0,46.0,0.0,0.0,0.0,0.0,0.0,Lbs
DAP 21-53-0 Soluble,21-53-0,750.0,21.0,53.0,0.0,0.0,0.0,0.0,0.0,Lbs
MAP 12-61-0,12-61-0,1200.0,12.0,61.0,0.0,0.0,0.0,0.0,0.0,Lbs
FofatoMonoPotasico,"0-52-34,",1169.0,0.0,52.0,34.0,0.0,0.0,0.0,0.0,Lbs
Nitrato de Amonio,33.5-0-0,405.0,33.5,0.0,0.0,0.0,0.0,0.0,0.0,Lbs
Sulfato de Amonio,21-0-0,218.0,21.0,0.0,0.0,0.0,0.0,58.8,0.0,Lbs
Urea,46-0-0,410.0,46.0,0.0,0.0,0.0,0.0,0.0,0.0,Lbs
Kcl,0-0-60,390.0,0.0,0.0,60.0,0.0,0.0,0.0,0.0,Lbs
Nitrato de Potasio,13-0-46,670.0,13.0,0.0,46.0,0.0,0.0,0.0,0.0,Lbs
Sulfato de Potasio,0-0-50,505.0,0.0,0.0,52.0,0.0,0.0,47.5,0.0,Lbs
Kcl Soluble,0-0-60,496.0,0.0,0.0,60.0,0.0,0.0,0.0,0.0,Lbs
Sulpomag (K Mag),0-0-22-11-22,,0.0,0.0,22.0,11.0,0.0,22.0,0.0,Lbs
Nitrato de Magnesio,11-0-0-0-15.7,850.0,11.0,0.0,0.0,15.7,0.0,0.0,0.0,Lbs
Sulfato de Magnesio,0-0-0-31.7-16,951.0,0.0,0.0,0.0,16.0,0.0,31.7,0.0,Lbs
Aquafeed Mg Liquido,0-0-0-0-10,450.0,0.0,0.0,0.0,10.0,0.0,8.0,0.0,Lts
Sin Magnecio,0-0-0-0-0,,0.0,0.0,0.0,1000000.0,0.0,0.0,0.0,Lbs
Nitrato de Calcio,15.5-0-0-27,780.0,15.5,0.0,0.0,0.0,27.0,0.0,0.0,Lbs
Calcio,,85.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Lbs
Sin Calcio,0-0-0-0,,0.0,0.0,0.0,0.0,1000000.0,0.0,0.0,Lbs
Ácido Bórico,0-0-0-0-0-0-18,0.03,0.0,0.0,0.0,0.0,0.0,0.0,18.0,Gramos
Solubor,0-0-0-0-0-0-20.5,0.04,0.0,0.0,0.0,0.0,0.0,0.0,20.5,Gramos
Sin Boro,0-0-0-0-0-0-0,,0.0,0.0,0.0,0.0,0.0,0.0,100000.0,Lbs
Meteria Organica,Dosis por Hectárea,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Lbs
Melaza,20.0,2.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Lbs
Azucar,50.0,5.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Lbs
Acidos Humicos,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Lbs
Insecticida Post Transplante,Dosis por Hectárea,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Lbs
Diazol 60 EC,5.0,210.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Lbs
Furadan 48 SC,3.785,383.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Lbs
Lorsban 4E,5.0,210.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Lbs
Mocap 72 EC,8.0,220.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Lbs
Prevención de virus,Dosis por Hectárea,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Lbs
Actara 25 WG,400.0,3.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Lbs
Confidor 70 WG,700.0,1.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Lbs
Rescate,400.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Lbs
Activador Resistencia General,Dosis por Hectárea,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Lbs
Acido Salicílico,250.0,0.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Lbs
Activador Resistencia Oomicetos,Dosis por Hectárea,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Lbs
Acido Fosforoso,5.0,80.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Lbs
Aliette 80 WP,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Lbs
Atlante Plus,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Lbs
Best K,5.0,180.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Lbs
Phytos K,5.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Lbs
Protector K,5.0,80.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Lbs
Protectante Enfermedades Suelo,Dosis por Hectárea,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Lbs
Mycobac,1.0,380.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Lbs
TricoZam,1.0,380.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Lbs
Protectante Insectos de Suelo,Dosis por Hectárea,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Lbs
BaZam,1.0,380.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Lbs
MetaZam,1.0,380.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Lbs
