Semana (Semana),DDT (DDT),FECHA,FECHA (Cambios),Nitrato de Amonio (Lbs),Nitrato de Amonio (Cambios),FofatoMonoPotasico (Lbs),FofatoMonoPotasico (Cambios),Kcl Soluble (Lbs),Kcl Soluble (Cambios),Sulfato de Magnesio (Lbs),Sulfato de Magnesio (Cambios),Nitrato de Calcio (Lbs),Nitrato de Calcio (Cambios),Solubor (Gramos),Solubor (Cambios),Melaza (Lts),Melaza (Cambios),Admin_Costo / Aplicación (Costo / Aplicación)
1,1,39449,,23.567119105102215,,10.96353936541774,,21.26227226155333,,17.63385523973643,,36.347947389344114,,174.06755219512195,,20.019999999999996,,951.5787148528477
2,8,39456,,23.567119105102215,,10.96353936541774,,21.26227226155333,,17.63385523973643,,36.347947389344114,,253.64168097560975,,20.019999999999996,,954.7616800040671
3,15,39463,,35.96207217621112,,18.628652154919646,,39.34374514866779,,32.026599571206745,,66.01512490873851,,373.00140926829266,,20.019999999999996,,1635.4776505991792
4,22,39470,,21.955093958731418,,23.506056271614575,,68.09906149052951,,52.25610841101696,,107.71338731506438,,417.7607580487805,,20.019999999999996,,2360.8174654619147
5,29,39477,,38.01142634615974,,25.185060291015617,,61.331971590646695,,48.52352923880147,,100.01957393541691,,492.36260243902444,,20.019999999999996,,2328.135868671889
6,36,39484,,95.07179124703603,,43.87797170701386,,83.69469609195137,,69.67481121468929,,143.61784975341916,,591.831728292683,,20.019999999999996,,3607.4590885772773
7,43,39491,,95.07179124703603,,43.87797170701386,,83.69469609195137,,69.67481121468929,,143.61784975341916,,651.5118365853659,,20.019999999999996,,3609.8462929089847
8,50,39498,,117.66431572943104,,50.59398778461803,,127.57731881686453,,100.28196042685637,,206.7071194665283,,800.7121073170731,,20.019999999999996,,4897.999769242818
9,57,39505,,108.37226597850929,,51.71332379755206,,141.2883089887945,,109.4889890516546,,225.6851924696587,,830.5526497560975,,20.019999999999996,,5199.494265023451
10,64,39512,,30.02744299058372,,51.71332379755206,,179.67162729546124,,134.1240115882769,,276.4643607753319,,1009.595904390244,,20.019999999999996,,5726.2757742026815
11,71,39519,,21.838140356788152,,37.6096900345833,,130.6702743966991,,97.54473570056503,,201.06498965478684,,1009.595904390244,,20.019999999999996,,4190.86597292257
12,78,39526,,21.838140356788152,,37.6096900345833,,130.6702743966991,,97.54473570056503,,201.06498965478684,,1128.9561209756096,,20.019999999999996,,4195.640381585985
13,85,39533,,21.838140356788152,,37.6096900345833,,130.6702743966991,,97.54473570056503,,201.06498965478684,,1218.4762834146343,,20.019999999999996,,4199.221188083546
