Semana,DDT,FECHA,Admin_col_3_Cambios,Nitrato de Amonio (Lbs),Admin_Nitrato de Amonio_Cambios,FofatoMonoPotasico (Lbs),Admin_FofatoMonoPotasico_Cambios,Kcl Soluble (Lbs),Admin_Kcl Soluble_Cambios,Sulfato de Magnesio (Lbs),Admin_Sulfato de Magnesio_Cambios,Nitrato de Calcio (Lbs),Admin_Nitrato de Calcio_Cambios,Solubor (Gramos),Admin_Solubor_Cambios,Melaza (Lts),Admin_Melaza_Cambios,Admin_Costo / Aplicación
1,3,39451,,11.783559552551107,,5.48176968270887,,10.631136130776666,,8.816927619868215,,18.173973694672057,,87.03377609756097,,20.019999999999996,,503.8173574264238
2,10,39458,,11.783559552551107,,5.48176968270887,,10.631136130776666,,8.816927619868215,,18.173973694672057,,126.82084048780487,,20.019999999999996,,505.40884000203357
3,17,39465,,17.98103608810556,,9.314326077459823,,19.671872574333896,,16.013299785603373,,33.00756245436926,,186.50070463414633,,20.019999999999996,,845.7668252995895
4,24,39472,,10.977546979365709,,11.753028135807288,,34.049530745264754,,26.12805420550848,,53.85669365753219,,208.88037902439024,,20.019999999999996,,1208.4367327309574
5,31,39479,,19.00571317307987,,12.592530145507808,,30.665985795323348,,24.261764619400736,,50.00978696770846,,246.18130121951222,,20.019999999999996,,1192.0959343359445
6,38,39486,,47.535895623518016,,21.93898585350693,,41.847348045975686,,34.83740560734464,,71.80892487670958,,295.9158641463415,,20.019999999999996,,1831.7575442886387
7,45,39493,,47.535895623518016,,21.93898585350693,,41.847348045975686,,34.83740560734464,,71.80892487670958,,325.75591829268296,,20.019999999999996,,1832.9511464544923
8,52,39500,,58.83215786471552,,25.296993892309015,,63.78865940843227,,50.140980213428186,,103.35355973326415,,400.35605365853655,,20.019999999999996,,2477.027884621409
9,59,39507,,54.186132989254645,,25.85666189877603,,70.64415449439726,,54.7444945258273,,112.84259623482934,,415.27632487804874,,20.019999999999996,,2627.7751325117256
10,66,39514,,15.01372149529186,,25.85666189877603,,89.83581364773062,,67.06200579413844,,138.23218038766595,,504.797952195122,,20.019999999999996,,2891.165887101341
11,73,39521,,10.919070178394076,,18.80484501729165,,65.33513719834956,,48.772367850282514,,100.53249482739342,,504.797952195122,,20.019999999999996,,2123.4609864612853
12,80,39528,,10.919070178394076,,18.80484501729165,,65.33513719834956,,48.772367850282514,,100.53249482739342,,564.4780604878048,,20.019999999999996,,2125.8481907929927
13,87,39535,,10.919070178394076,,18.80484501729165,,65.33513719834956,,48.772367850282514,,100.53249482739342,,609.2381417073171,,20.019999999999996,,2127.638594041773
