Semana,N,Nitrato de Amonio,P2O5,FofatoMonoPotasico,K2O,Kcl Soluble,MgO,Sulfato de Magnesio,Ca,Nitrato de Calcio,B,Solubor
1,1.9307716206019099,3.3633679327960926,0.8136207321274761,1.5646552540913001,2.3526426061330143,3.034433032903287,0.4026568914453874,2.5166055715336713,1.4005916647813492,5.187376536227219,5.0926,24.841951219512197
2,1.9307716206019099,3.3633679327960926,0.8136207321274761,1.5646552540913001,2.3526426061330143,3.034433032903287,0.4026568914453874,2.5166055715336713,1.4005916647813492,5.187376536227219,5.0926,24.841951219512197
3,1.9307716206019099,3.3633679327960926,0.8136207321274761,1.5646552540913001,2.3526426061330143,3.034433032903287,0.4026568914453874,2.5166055715336713,1.4005916647813492,5.187376536227219,9.1667,44.715609756097564
4,3.4323578578578573,3.133308685419069,1.7444197604166665,3.354653385416666,6.9718133333333325,9.718718637152778,1.1932321030059534,7.457700643787208,4.150508716293333,15.372254504790122,12.2222,59.62048780487805
5,3.4323578578578573,3.133308685419069,1.7444197604166665,3.354653385416666,6.9718133333333325,9.718718637152778,1.1932321030059534,7.457700643787208,4.150508716293333,15.372254504790122,12.2222,59.62048780487805
6,7.7222515740740745,13.568116347514776,3.256250219444443,6.262019652777775,9.295751111111109,11.944440715277777,1.5909761373412712,9.943600858382945,5.534011621724444,20.496339339720162,17.3149,84.46292682926831
7,7.7222515740740745,13.568116347514776,3.256250219444443,6.262019652777775,9.295751111111109,11.944440715277777,1.5909761373412712,9.943600858382945,5.534011621724444,20.496339339720162,17.3149,84.46292682926831
8,7.7222515740740745,13.568116347514776,3.256250219444443,6.262019652777775,9.295751111111109,11.944440715277777,1.5909761373412712,9.943600858382945,5.534011621724444,20.496339339720162,23.426,114.27317073170731
9,10.610585324845678,17.329775435492635,3.8377234729166654,7.380237447916664,14.059823555555552,19.25090470543981,2.4063514077286725,15.039696298304204,8.370192577858221,31.000713251326744,23.426,114.27317073170731
10,7.551187287287284,4.285349363576954,3.8377234729166654,7.380237447916664,17.89432088888889,25.641733594328706,3.0626290643819476,19.141431652387173,10.652972371819557,39.45545322896132,29.5372,144.0839024390244
11,5.491772572572571,3.1166177189650575,2.7910716166666654,5.367445416666664,13.014051555555556,18.648533523148153,2.22736659227778,13.921041201736125,7.747616270414223,28.694875075608234,29.5372,144.0839024390244
12,5.491772572572571,3.1166177189650575,2.7910716166666654,5.367445416666664,13.014051555555556,18.648533523148153,2.22736659227778,13.921041201736125,7.747616270414223,28.694875075608234,29.5372,144.0839024390244
13,5.491772572572571,3.1166177189650575,2.7910716166666654,5.367445416666664,13.014051555555556,18.648533523148153,2.22736659227778,13.921041201736125,7.747616270414223,28.694875075608234,35.6483,173.89414634146343
