Semana (Semana),DDT (DDT),FECHA,FECHA (Cambios),Urea (Lbs),Urea (Cambios),DAP 18-46-0 (Lbs),DAP 18-46-0 (Cambios),Sulfato de Potasio (Lbs),Sulfato de Potasio (Cambios),Sulfato de Magnesio (Lbs),Sulfato de Magnesio (Cambios),Nitrato de Calcio (Lbs),Nitrato de Calcio (Cambios),Solubor (Gramos),Solubor (Cambios),Melaza (Lts),Melaza (Cambios),Admin_Costo / Aplicación (Costo / Aplicación)
1,1,39815,,6.387195842148188,,7.723166956521739,,15.16159088888889,,6.746791674182584,,13.90688680870213,,174.06755219512195,,20.019999999999996,,426.3283731925012
2,8,39822,,8.212108939904812,,9.92978608695652,,19.493474000000003,,8.674446438234751,,17.88028303975988,,253.64168097560975,,20.019999999999996,,533.3141015164911
3,15,39829,,11.405706860978908,,13.791369565217392,,27.074269444444443,,12.047842275326044,,24.833726444110944,,373.00140926829266,,20.019999999999996,,719.7433262005466
4,22,39836,,12.774391684296376,,15.446333913043478,,30.32318177777778,,13.493583348365169,,27.81377361740426,,417.7607580487805,,20.019999999999996,,799.385772531344
5,29,39843,,15.511761330931314,,18.756262608695646,,36.82100644444444,,16.38506549444342,,33.77386796399089,,492.36260243902444,,20.019999999999996,,958.0739910661091
6,36,39850,,19.161587526444567,,23.169500869565216,,45.48477266666665,,20.240375022547756,,41.720660426106384,,591.831728292683,,20.019999999999996,,1169.6582824457962
7,43,39857,,20.98650062420119,,25.376119999999997,,49.81665577777777,,22.168029786599924,,45.69405665716414,,651.5118365853659,,20.019999999999996,,1275.848249950274
8,50,39864,,25.54878336859275,,30.892667826086956,,60.64636355555556,,26.987166696730338,,55.62754723480852,,800.7121073170731,,20.019999999999996,,1541.3231687114683
9,57,39871,,26.46123991747106,,31.995977391304343,,62.812305111111115,,27.95099407875642,,57.6142453503374,,830.5526497560975,,20.019999999999996,,1594.4181719954145
10,64,39878,,31.935979210740925,,38.61583478260867,,75.80795444444445,,33.73395837091292,,69.53443404351067,,1009.595904390244,,20.019999999999996,,1912.9881916990914
11,71,39885,,31.935979210740925,,38.61583478260867,,75.80795444444445,,33.73395837091292,,69.53443404351067,,1009.595904390244,,20.019999999999996,,1912.9881916990914
12,78,39892,,35.58580540625419,,43.02907304347825,,84.47172066666667,,37.58926789901726,,77.48122650562617,,1128.9561209756096,,20.019999999999996,,2125.3681267080474
13,85,39899,,38.323175052889134,,46.33900173913043,,90.9695453333333,,40.48075004509551,,83.44132085221277,,1218.4762834146343,,20.019999999999996,,2284.6530779647633
14,92,39906,,38.323175052889134,,46.33900173913043,,90.9695453333333,,40.48075004509551,,83.44132085221277,,1218.4762834146343,,20.019999999999996,,2284.6530779647633
15,99,39913,,38.323175052889134,,46.33900173913043,,90.9695453333333,,40.48075004509551,,83.44132085221277,,1218.4762834146343,,20.019999999999996,,2284.6530779647633
