Semana (Semana),DDT (DDT),FECHA,Seleccioné su opción (Preventivos),Preventivos (Dosis),Preventivos (Unidades),Urea (Lbs),Urea (Cambios),DAP 18-46-0 (Lbs),DAP 18-46-0 (Cambios),Sulfato de Potasio (Lbs),Sulfato de Potasio (Cambios),Sulfato de Magnesio (Lbs),Sulfato de Magnesio (Cambios),Nitrato de Calcio (Lbs),Nitrato de Calcio (Cambios),Solubor (Gramos),Solubor (Cambios),Melaza (Lts),Admin_Costo / Aplicación (Costo / Aplicación)
1,3,39817,,0.0,0,3.193597921074094,,3.8615834782608696,,7.580795444444445,,3.373395837091292,,6.953443404351065,,87.03377609756097,,20.019999999999996,241.1921865962506
2,10,39824,,0.0,0,4.106054469952406,,4.96489304347826,,9.746737000000001,,4.337223219117376,,8.94014151987994,,126.82084048780487,,20.019999999999996,294.68505075824555
3,17,39831,,0.0,0,5.702853430489454,,6.895684782608696,,13.537134722222222,,6.023921137663022,,12.416863222055472,,186.50070463414633,,20.019999999999996,387.8996631002733
4,24,39838,,0.0,0,6.387195842148188,,7.723166956521739,,15.16159088888889,,6.746791674182584,,13.90688680870213,,208.88037902439024,,20.019999999999996,427.72088626567194
5,31,39845,,0.0,0,7.755880665465657,,9.378131304347823,,18.41050322222222,,8.19253274722171,,16.886933981995444,,246.18130121951222,,20.019999999999996,507.06499553305457
6,38,39852,,0.0,0,9.580793763222283,,11.584750434782608,,22.742386333333325,,10.120187511273878,,20.860330213053192,,295.9158641463415,,20.019999999999996,612.857141222898
7,45,39859,,0.0,0,10.493250312100596,,12.688059999999998,,24.908327888888884,,11.084014893299962,,22.84702832858207,,325.75591829268296,,20.019999999999996,665.9521249751369
8,52,39866,,0.0,0,12.774391684296376,,15.446333913043478,,30.32318177777778,,13.493583348365169,,27.81377361740426,,400.35605365853655,,20.019999999999996,798.689584355734
9,59,39873,,0.0,0,13.23061995873553,,15.997988695652172,,31.406152555555558,,13.97549703937821,,28.8071226751687,,415.27632487804874,,20.019999999999996,825.2370859977073
10,66,39880,,0.0,0,15.967989605370462,,19.307917391304336,,37.903977222222224,,16.86697918545646,,34.767217021755336,,504.797952195122,,20.019999999999996,984.5220958495456
11,73,39887,,0.0,0,15.967989605370462,,19.307917391304336,,37.903977222222224,,16.86697918545646,,34.767217021755336,,504.797952195122,,20.019999999999996,984.5220958495456
12,80,39894,,0.0,0,17.792902703127094,,21.514536521739124,,42.235860333333335,,18.79463394950863,,38.740613252813084,,564.4780604878048,,20.019999999999996,1090.7120633540237
13,87,39901,,0.0,0,19.161587526444567,,23.169500869565216,,45.48477266666665,,20.240375022547756,,41.720660426106384,,609.2381417073171,,20.019999999999996,1170.3545389823817
14,94,39908,,0.0,0,19.161587526444567,,23.169500869565216,,45.48477266666665,,20.240375022547756,,41.720660426106384,,609.2381417073171,,20.019999999999996,1170.3545389823817
15,101,39915,,0.0,0,19.161587526444567,,23.169500869565216,,45.48477266666665,,20.240375022547756,,41.720660426106384,,609.2381417073171,,20.019999999999996,1170.3545389823817
