Semana (Semana),DDT (DDT),FECHA,Seleccioné su opción (Preventivos),Preventivos (Dosis),Preventivos (Unidades),Urea (Lbs),Urea (Cambios),DAP 18-46-0 (Lbs),DAP 18-46-0 (Cambios),Sulfato de Potasio (Lbs),Sulfato de Potasio (Cambios),Sulfato de Magnesio (Lbs),Sulfato de Magnesio (Cambios),Nitrato de Calcio (Lbs),Nitrato de Calcio (Cambios),Solubor (Gramos),Solubor (Cambios),Melaza (Lts),Admin_Costo / Aplicación (Costo / Aplicación)
1,1,39815,,0.0,0,0.9124565488783126,,1.1033095652173912,,2.165941555555556,,0.9638273820260834,,1.9866981155288757,,24.866793170731707,,20.019999999999996,108.95205331321445
2,8,39822,,0.0,0,0.9124565488783126,,1.1033095652173912,,2.165941555555556,,0.9638273820260834,,1.9866981155288757,,24.866793170731707,,20.019999999999996,108.95205331321445
3,15,39829,,0.0,0,1.368684823317469,,1.6549643478260867,,3.248912333333333,,1.4457410730391254,,2.980047173293314,,44.76032536585365,,20.019999999999996,135.69848539421193
4,22,39836,,0.0,0,1.8249130977566252,,2.2066191304347824,,4.331883111111112,,1.9276547640521668,,3.9733962310577513,,59.680108292682924,,20.019999999999996,162.2459675044777
5,29,39843,0,0.0,0,1.8249130977566252,,2.2066191304347824,,4.331883111111112,,1.9276547640521668,,3.9733962310577513,,59.680108292682924,,20.019999999999996,162.2459675044777
6,36,39850,,0.0,0,2.737369646634938,,3.3099286956521734,,6.497824666666666,,2.8914821460782507,,5.960094346586628,,84.54738975609757,,20.019999999999996,215.1420403493995
7,43,39857,,0.0,0,2.737369646634938,,3.3099286956521734,,6.497824666666666,,2.8914821460782507,,5.960094346586628,,84.54738975609757,,20.019999999999996,215.1420403493995
8,50,39864,,0.0,0,3.6498261955132505,,4.413238260869565,,8.663766222222224,,3.8553095281043337,,7.946792462115503,,114.387443902439,,20.019999999999996,268.2370241016383
9,57,39871,0,0.0,0,3.6498261955132505,,4.413238260869565,,8.663766222222224,,3.8553095281043337,,7.946792462115503,,114.387443902439,,20.019999999999996,268.2370241016383
10,64,39878,,0.0,0,4.562282744391561,,5.5165478260869545,,10.829707777777779,,4.819136910130418,,9.933490577644381,,144.2279863414634,,20.019999999999996,321.3320273855845
11,71,39885,,0.0,0,4.562282744391561,,5.5165478260869545,,10.829707777777779,,4.819136910130418,,9.933490577644381,,144.2279863414634,,20.019999999999996,321.3320273855845
12,78,39892,,0.0,0,4.562282744391561,,5.5165478260869545,,10.829707777777779,,4.819136910130418,,9.933490577644381,,144.2279863414634,,20.019999999999996,321.3320273855845
13,85,39899,0,0.0,0,5.474739293269876,,6.619857391304347,,12.995649333333333,,5.782964292156501,,11.920188693173255,,174.06804048780486,,20.019999999999996,374.4270111378234
14,92,39906,,0.0,0,5.474739293269876,,6.619857391304347,,12.995649333333333,,5.782964292156501,,11.920188693173255,,174.06804048780486,,20.019999999999996,374.4270111378234
15,99,39913,,0.0,0,5.474739293269876,,6.619857391304347,,12.995649333333333,,5.782964292156501,,11.920188693173255,,174.06804048780486,,20.019999999999996,374.4270111378234
